condition,speed,pronk,trot,bound,pace
平地,0.5,0.003125,0.996875,0.0,0.0
平地,1.0,0.0010416666666666667,0.9989583333333333,0.0,0.0
平地,1.5,0.0,1.0,0.0,0.0
平地,2.0,0.0,1.0,0.0,0.0
上坡,0.5,0.9161458333333333,0.08385416666666667,0.0,0.0
上坡,1.0,0.8838541666666666,0.11510416666666666,0.0,0.0010416666666666667
上坡,1.5,0.753125,0.240625,0.0,0.00625
上坡,2.0,0.4609375,0.5348958333333333,0.0,0.004166666666666667
粗糙,0.5,0.5114583333333333,0.48541666666666666,0.0,0.0031249999999999997
粗糙,1.0,0.33333333333333337,0.665625,0.0,0.0010416666666666667
粗糙,1.5,0.2578125,0.7395833333333334,0.0,0.0026041666666666665
粗糙,2.0,0.14739583333333334,0.8494791666666667,0.0,0.003125
踏石,1.7,0.0609375,0.9390625,0.0,0.0
踏石,2.0,0.06145833333333333,0.9364583333333334,0.0,0.0020833333333333333
