iteration,reward,done_rate,edge_reset_rate,vx_err,policy_loss,value_loss,entropy,log_std_mean,gait_pronk_ratio,gait_trot_ratio,gait_bound_ratio,gait_pace_ratio,flat_trot_efficiency_trot_ratio,flat_trot_efficiency_count,flat_trot_efficiency_pronk_ratio,flat_trot_efficiency_bound_ratio,flat_trot_efficiency_pace_ratio,ramp_up_trot_robustness_trot_ratio,ramp_up_trot_robustness_count,ramp_up_trot_robustness_pronk_ratio,ramp_up_trot_robustness_bound_ratio,ramp_up_trot_robustness_pace_ratio,rough_slope_trot_robustness_trot_ratio,rough_slope_trot_robustness_count,rough_slope_trot_robustness_pronk_ratio,rough_slope_trot_robustness_bound_ratio,rough_slope_trot_robustness_pace_ratio,push_lateral_pace_recovery_pace_ratio,push_lateral_pace_recovery_count,push_lateral_pace_recovery_pronk_ratio,push_lateral_pace_recovery_trot_ratio,push_lateral_pace_recovery_bound_ratio,stepping_stones_easy_bound_highspeed_bound_ratio,stepping_stones_easy_bound_highspeed_count,stepping_stones_easy_bound_highspeed_pronk_ratio,stepping_stones_easy_bound_highspeed_trot_ratio,stepping_stones_easy_bound_highspeed_pace_ratio,frequency_mean,duration_mean,footswing_height_mean,stance_width_mean,body_pitch_mean,action_clip_rate
0,0.7016687048599124,0.001953125,7.324218859139364e-05,0.563055606558919,-0.030474378901999444,113.21015691757202,4.980901837348938,-0.690962016582489,0.2801513671875,0.21337890625,0.270751953125,0.2357177734375,0.2211538553237915,52,0.2740384638309479,0.2740384638309479,0.23076924681663513,0.2187500149011612,51,0.27450981736183167,0.2714460790157318,0.2352941334247589,0.21262255311012268,51,0.27757352590560913,0.28370100259780884,0.22610294818878174,0.2506127655506134,51,0.2757353186607361,0.20588235557079315,0.26776960492134094,0.2567402124404907,51,0.29901960492134094,0.2083333432674408,0.23590686917304993,2.8229827880859375,0.5057782530784607,0.09681608527898788,0.348518043756485,0.001997861545532942,0.08554687350988388
1,0.8764697201550007,0.021728515625,0.004125976656723651,0.48994255624711514,-0.01995244444697164,91.83882761001587,4.985266447067261,-0.6885063052177429,0.28369140625,0.2076416015625,0.27294921875,0.2357177734375,0.19891828298568726,52,0.2650240361690521,0.2764423191547394,0.25961539149284363,0.21139706671237946,51,0.28370100259780884,0.28002452850341797,0.2248774617910385,0.21078431606292725,51,0.29411765933036804,0.2542892098426819,0.24080882966518402,0.23223039507865906,51,0.27879902720451355,0.2132353037595749,0.2757353186607361,0.27818629145622253,51,0.2971813976764679,0.20404411852359772,0.22058823704719543,2.874180555343628,0.5075728297233582,0.09289835393428802,0.3479769229888916,0.0006476407288573682,0.09218750149011612
2,0.9596345126628876,0.0140380859375,0.002758789123618044,0.4608198283240199,-0.009008521010400727,116.67434501647949,5.000825941562653,-0.6867198348045349,0.279541015625,0.21533203125,0.2681884765625,0.2369384765625,0.23016828298568726,52,0.254807710647583,0.2734375,0.24158655107021332,0.21629902720451355,51,0.2867647111415863,0.25183823704719543,0.2450980544090271,0.20404411852359772,51,0.29473039507865906,0.2873774468898773,0.2138480395078659,0.24142158031463623,51,0.28431373834609985,0.2193627506494522,0.2549019753932953,0.27328431606292725,51,0.27757352590560913,0.20649510622024536,0.24264706671237946,2.858079433441162,0.4989488124847412,0.09188058972358704,0.34477341175079346,0.0004400805046316236,0.09592285007238388
3,0.8611581027507782,0.019287109375,0.0036376953939907253,0.49457728024572134,-0.015817655803402886,119.25946998596191,5.00504744052887,-0.6852260231971741,0.2803955078125,0.223388671875,0.263671875,0.2325439453125,0.23137019574642181,52,0.28125,0.25360578298568726,0.23377405107021332,0.23039215803146362,51,0.2757353186607361,0.26286765933036804,0.23100490868091583,0.21139706671237946,51,0.26409316062927246,0.2769607901573181,0.24754902720451355,0.23284314572811127,51,0.28370100259780884,0.2291666716337204,0.2542892098426819,0.2708333432674408,51,0.2971813976764679,0.21446079015731812,0.21752451360225677,2.87099552154541,0.5021709203720093,0.09294827282428741,0.3439125418663025,0.0008626646012999117,0.10051269829273224
4,0.8673646859824657,0.017333984375,0.0033935547617147677,0.48719296138733625,-0.004252335973433219,126.62239837646484,5.01108905673027,-0.6835004687309265,0.271240234375,0.2203369140625,0.271484375,0.2369384765625,0.23798078298568726,52,0.2764423191547394,0.2584134638309479,0.22716346383094788,0.22549019753932953,51,0.2696078419685364,0.27389708161354065,0.23100490868091583,0.20955882966518402,51,0.27879902720451355,0.27267158031463623,0.2389705926179886,0.2555147111415863,51,0.2604166865348816,0.21568627655506134,0.26838237047195435,0.28431373834609985,51,0.2708333432674408,0.21262255311012268,0.23223039507865906,2.855499267578125,0.5020148754119873,0.09450703859329224,0.3474957346916199,-0.00034221127862110734,0.10280761867761612
5,0.898147564381361,0.0179443359375,0.0035156250651198206,0.48095995001494884,-0.017212816601386294,151.45712852478027,5.02043679356575,-0.6816155314445496,0.2840576171875,0.217041015625,0.267822265625,0.2310791015625,0.22295673191547394,52,0.28245192766189575,0.2524038553237915,0.2421875149011612,0.22120098769664764,51,0.27389708161354065,0.2763480544090271,0.22855393588542938,0.20465686917304993,51,0.2763480544090271,0.2757353186607361,0.24325981736183167,0.21629902720451355,51,0.28982844948768616,0.23161765933036804,0.262254923582077,0.27267158031463623,51,0.2977941334247589,0.20465686917304993,0.2248774617910385,2.833162784576416,0.500097393989563,0.09346538037061691,0.345455139875412,-0.0008144868188537657,0.09982910007238388
6,0.9133920446038246,0.0164794921875,0.003125000066575012,0.4748536078259349,-0.014639124041423202,144.5270881652832,5.028268605470657,-0.6802120208740234,0.2777099609375,0.2266845703125,0.27001953125,0.2255859375,0.2530048191547394,52,0.2602163553237915,0.2554086744785309,0.23137019574642181,0.21568627655506134,51,0.28308823704719543,0.2867647111415863,0.21446079015731812,0.22610294818878174,51,0.2653186321258545,0.2757353186607361,0.23284314572811127,0.22732843458652496,51,0.29534316062927246,0.2193627506494522,0.25796568393707275,0.27450981736183167,51,0.28492647409439087,0.2187500149011612,0.22181373834609985,2.880185127258301,0.501632809638977,0.09314270317554474,0.34399259090423584,0.0006785864825360477,0.10808105766773224
7,0.8778270892798901,0.01904296875,0.0035888672828150447,0.4906142856925726,-0.02092774651828222,151.0272626876831,5.033258080482483,-0.6785282492637634,0.2744140625,0.230712890625,0.2755126953125,0.2193603515625,0.24519231915473938,52,0.28004810214042664,0.26442307233810425,0.21033655107021332,0.2346813827753067,51,0.27818629145622253,0.27757352590560913,0.20955882966518402,0.21997550129890442,51,0.2769607901573181,0.27879902720451355,0.2242647111415863,0.23651961982250214,51,0.2708333432674408,0.22120098769664764,0.2714460790157318,0.2855392396450043,51,0.2659313678741455,0.23223039507865906,0.21629902720451355,2.879817485809326,0.5017251968383789,0.09573471546173096,0.34429776668548584,0.0021420838311314583,0.11052246391773224
8,0.8427348975092173,0.0186767578125,0.0035888672446162673,0.5075024617835879,-0.02311489707790315,144.9811773300171,5.035536825656891,-0.676791250705719,0.300048828125,0.2293701171875,0.25927734375,0.2113037109375,0.24338942766189575,52,0.28545674681663513,0.23257212340831757,0.23858174681663513,0.23774510622024536,51,0.31066176295280457,0.2604166865348816,0.19117647409439087,0.23651961982250214,51,0.3069853186607361,0.2591911852359772,0.19730393588542938,0.21017158031463623,51,0.2910539209842682,0.2193627506494522,0.27941176295280457,0.2653186321258545,51,0.3063725531101227,0.20955882966518402,0.2187500149011612,2.854835033416748,0.4983817934989929,0.09225191920995712,0.3443378508090973,0.0021551866084337234,0.11115723103284836
9,0.9329551421105862,0.016357421875,0.003222656323487172,0.46875269059091806,-0.015431990701472387,143.38086032867432,5.046566396951675,-0.6754813194274902,0.299072265625,0.239990234375,0.249267578125,0.211669921875,0.2506009638309479,52,0.28545674681663513,0.24939905107021332,0.21454328298568726,0.2352941334247589,51,0.30024510622024536,0.23345589637756348,0.23100490868091583,0.23345589637756348,51,0.30392158031463623,0.25245100259780884,0.21017158031463623,0.2028186321258545,51,0.2984068691730499,0.240196093916893,0.25857844948768616,0.25245100259780884,51,0.3075980544090271,0.240196093916893,0.19975490868091583,2.8790457248687744,0.49709299206733704,0.09221144020557404,0.34202083945274353,0.002045706380158663,0.11423339694738388
