metric,early10,late10,delta,final,min,max
reward,0.6607847993262113,0.6609990116208792,0.0002142122946678926,0.6609815992414951,0.6378548117354512,0.6756867300719023
weighted_metric_reward,0.6607847993262113,0.6609990116208792,0.0002142122946678926,0.6609815992414951,0.6378548117354512,0.6756867300719023
done_rate,0.01634521484375,0.01649169921875,0.0001464843749999986,0.0167236328125,0.001708984375,0.0208740234375
edge_reset_rate,0.0031469727267903597,0.0031396485068398198,-7.324219950539945e-06,0.00312500005748,4.882812572759576e-05,0.0040527344335714
vx_err,0.4953698357567191,0.5254853223450482,0.030115486588329077,0.528294644318521,0.4570522923022508,0.571833343245089
selector_reference_penalty,0.38060302734375,0.359613037109375,-0.020989990234375033,0.357177734375,0.35479736328125,0.3858642578125
orientation_penalty,0.03407567011017811,0.03787296895170579,0.0037972988415276784,0.0388267757371068,0.0308562929858453,0.0411858289735391
slip_penalty,0.13753735713835336,0.13843999323435124,0.0009026360959978885,0.1384424066636711,0.1284623693209141,0.1579865796666126
lateral_velocity_penalty,0.0499733950127847,0.04871311071328814,-0.00126028429949656,0.0479517772328108,0.0435294766211882,0.0591556966537609
clearance_reward,0.7023957040160894,0.8100949075073004,0.10769920349121098,0.801173185929656,0.6921341065317392,0.8472470119595528
entropy,5.018978390097618,5.255674347281456,0.23669595718383807,5.271052837371826,4.981424540281296,5.271052837371826
log_std_mean,-0.681626844406128,-0.5970082700252533,0.08461857438087472,-0.5922048687934875,-0.6898234486579895,-0.5922048687934875
action_clip_rate,0.10249755978584285,0.18696777671575543,0.08447021692991258,0.19140625,0.0887939482927322,0.19140625
