metric,early10,late10,delta,final,min,max
score_progress,0.5478795463219285,0.5262214167974889,-0.021658129524439573,0.5281662037596107,0.4754209946841001,0.5897080451250076
score_yaw_tracking,0.4162325605750084,0.41057891249656675,-0.005653648078441653,0.4150082031264901,0.3870241437107324,0.4339886996895075
score_orientation,0.6489233013242484,0.6407169219106436,-0.008206379413604803,0.6362399701029062,0.6264110393822193,0.6571384947746992
score_pitch_rate,0.2701382454484701,0.2590647100005299,-0.011073535447940208,0.2601417335681617,0.2443638471886515,0.2750176950357854
score_roll_rate,0.2879388433415443,0.2828696637880057,-0.005069179553538583,0.2828911049291491,0.2714224588125944,0.2947118831798434
score_yaw_rate,0.5714295606128872,0.5648803070187569,-0.006549253594130278,0.5676645133644342,0.5403175661340356,0.5901245214045048
score_lateral_drift,0.6357116635888815,0.6435140268877149,0.007802363298833326,0.6400877889245749,0.6061352733522654,0.6515939179807901
score_vertical_bounce,0.42948268182467475,0.4694152790121734,0.03993259718749864,0.4678588779643178,0.4054875817041647,0.4916715370491147
score_slip,0.6802997004240752,0.679958600178361,-0.0003411002457142098,0.6826627943664789,0.661534309387207,0.6924550998955965
score_energy,0.42290785326622427,0.42184885032474995,-0.0010590029414743185,0.4223734606057405,0.4087948952801525,0.4290734510868788
score_clearance,0.7023957040160894,0.8100949075073004,0.10769920349121098,0.801173185929656,0.6921341065317392,0.8472470119595528
score_action_smoothness,0.1377033183351159,0.11010602766182269,-0.02759729067329321,0.106713229091838,0.106713229091838,0.145403106464073
score_action_magnitude,0.7498866168782115,0.6689403617754579,-0.08094625510275355,0.6693443730473518,0.6626582704484463,0.7636720035225153
score_survival,0.9998779309913516,0.9998413108289241,-3.662016242744759e-05,0.9997802767902612,0.9996337946504354,0.999975586310029
