iteration,reward,done_rate,edge_reset_rate,vx_err,weighted_metric_reward,selector_reference_penalty,orientation_penalty,slip_penalty,lateral_velocity_penalty,clearance_reward,action_boundary_penalty,policy_loss,value_loss,entropy,log_std_mean,score_progress,score_yaw_tracking,score_orientation,score_pitch_rate,score_roll_rate,score_yaw_rate,score_lateral_drift,score_vertical_bounce,score_slip,score_energy,score_clearance,score_action_smoothness,score_action_magnitude,score_action_boundary_margin,score_survival,gait_pronk_ratio,gait_trot_ratio,gait_bound_ratio,gait_pace_ratio,flat_trot_efficiency_trot_ratio,flat_trot_efficiency_count,flat_trot_efficiency_pronk_ratio,flat_trot_efficiency_bound_ratio,flat_trot_efficiency_pace_ratio,ramp_up_trot_robustness_trot_ratio,ramp_up_trot_robustness_count,ramp_up_trot_robustness_pronk_ratio,ramp_up_trot_robustness_bound_ratio,ramp_up_trot_robustness_pace_ratio,rough_slope_trot_robustness_trot_ratio,rough_slope_trot_robustness_count,rough_slope_trot_robustness_pronk_ratio,rough_slope_trot_robustness_bound_ratio,rough_slope_trot_robustness_pace_ratio,push_lateral_pace_recovery_pace_ratio,push_lateral_pace_recovery_count,push_lateral_pace_recovery_pronk_ratio,push_lateral_pace_recovery_trot_ratio,push_lateral_pace_recovery_bound_ratio,stepping_stones_easy_bound_highspeed_bound_ratio,stepping_stones_easy_bound_highspeed_count,stepping_stones_easy_bound_highspeed_pronk_ratio,stepping_stones_easy_bound_highspeed_trot_ratio,stepping_stones_easy_bound_highspeed_pace_ratio,frequency_mean,duration_mean,footswing_height_mean,stance_width_mean,body_pitch_mean,action_clip_rate,flat_trot_efficiency_action_clip_rate,flat_trot_efficiency_frequency_mean,flat_trot_efficiency_duration_mean,flat_trot_efficiency_footswing_height_mean,flat_trot_efficiency_stance_width_mean,flat_trot_efficiency_body_pitch_mean,ramp_up_trot_robustness_action_clip_rate,ramp_up_trot_robustness_frequency_mean,ramp_up_trot_robustness_duration_mean,ramp_up_trot_robustness_footswing_height_mean,ramp_up_trot_robustness_stance_width_mean,ramp_up_trot_robustness_body_pitch_mean,rough_slope_trot_robustness_action_clip_rate,rough_slope_trot_robustness_frequency_mean,rough_slope_trot_robustness_duration_mean,rough_slope_trot_robustness_footswing_height_mean,rough_slope_trot_robustness_stance_width_mean,rough_slope_trot_robustness_body_pitch_mean,push_lateral_pace_recovery_action_clip_rate,push_lateral_pace_recovery_frequency_mean,push_lateral_pace_recovery_duration_mean,push_lateral_pace_recovery_footswing_height_mean,push_lateral_pace_recovery_stance_width_mean,push_lateral_pace_recovery_body_pitch_mean,stepping_stones_easy_bound_highspeed_action_clip_rate,stepping_stones_easy_bound_highspeed_frequency_mean,stepping_stones_easy_bound_highspeed_duration_mean,stepping_stones_easy_bound_highspeed_footswing_height_mean,stepping_stones_easy_bound_highspeed_stance_width_mean,stepping_stones_easy_bound_highspeed_body_pitch_mean
0,0.6408036425709724,0.0009765625,4.882812572759576e-05,0.5526600778102875,0.6408036425709724,0.380859375,0.03404347808100283,0.15097105540917255,0.060255287447944283,0.7167418990284204,3.459652313608785e-05,-0.0250725902733393,26.912559807300568,4.979407966136932,-0.6909140944480896,0.4980111946351826,0.3954941565170884,0.661186046898365,0.2676977179944515,0.2744503105059266,0.5482623279094696,0.6076442124322057,0.4148926213165396,0.6679529026150703,0.41028528939932585,0.7167418990284204,0.14292908366769552,0.7254283297806978,0.9998701885342598,0.9998535178601742,0.2606201171875,0.2254638671875,0.2408447265625,0.2730712890625,0.23137019574642181,52,0.2710336744785309,0.23137019574642181,0.2662259638309479,0.21997550129890442,51,0.26776960492134094,0.2647058963775635,0.24754902720451355,0.22732843458652496,51,0.2604166865348816,0.24142158031463623,0.2708333432674408,0.2873774468898773,51,0.2512255012989044,0.21997550129890442,0.24142158031463623,0.22549019753932953,51,0.25245100259780884,0.22855393588542938,0.293504923582077,3.0085506439208984,0.4957520365715027,0.09297214448451996,0.3509705662727356,0.004220845177769661,0.09880371391773224,0.08810096234083176,2.9882450103759766,0.495892733335495,0.09499495476484299,0.3504387140274048,0.004257441498339176,0.0987745150923729,2.995058536529541,0.49957475066185,0.09578327089548111,0.3512064814567566,0.004523203242570162,0.09571079164743423,2.9646105766296387,0.49905773997306824,0.09538814425468445,0.3521973192691803,0.0044794268906116486,0.0991421639919281,2.9739794731140137,0.4988471567630768,0.09575017541646957,0.3520365059375763,0.0037951632402837276,0.11250000447034836,2.979322910308838,0.5014592409133911,0.09503002464771271,0.3529872000217438,0.004630491137504578
1,0.6568343620747328,0.023193359375,0.00449218762696546,0.49912410229444504,0.6568343620747328,0.3798828125,0.03341529262252152,0.13090693391859531,0.04463202622719109,0.7091298345476389,9.845234991667784e-05,-0.004371227521914989,18.238584280014038,4.982777953147888,-0.6891204714775085,0.5503452671691775,0.41757100634276867,0.6535539086908102,0.28085604310035706,0.29156870022416115,0.5746855083853006,0.6340494100004435,0.4345688419416547,0.6846573539078236,0.42895446717739105,0.7091298345476389,0.14504408766515553,0.7091289106756449,0.9996490981429815,0.9998535178601742,0.2716064453125,0.215087890625,0.260498046875,0.2528076171875,0.23497596383094788,52,0.24819712340831757,0.24519231915473938,0.27163463830947876,0.20465686917304993,51,0.2714460790157318,0.27879902720451355,0.2450980544090271,0.21139706671237946,51,0.2959558963775635,0.24632354080677032,0.24632354080677032,0.2665441334247589,51,0.2714460790157318,0.2132353037595749,0.24877451360225677,0.28370100259780884,51,0.2714460790157318,0.21078431606292725,0.2340686321258545,2.9832959175109863,0.5049885511398315,0.09417687356472015,0.3513564467430115,0.0041840230114758015,0.10654296725988388,0.10000000149011612,2.974764347076416,0.5002208948135376,0.09594468027353287,0.35047823190689087,0.0037159891799092293,0.09767157584428787,2.9916913509368896,0.5017179250717163,0.09528594464063644,0.35125166177749634,0.0045697130262851715,0.10539216548204422,3.0036699771881104,0.4994661211967468,0.09446001052856445,0.35046860575675964,0.004240814130753279,0.1150735393166542,3.0026330947875977,0.49891433119773865,0.09525454044342041,0.3507842421531677,0.005162031389772892,0.114705890417099,3.020786762237549,0.5022884011268616,0.09446857124567032,0.351541668176651,0.005599786527454853
2,0.6588480994105339,0.0142822265625,0.002734375051659299,0.48941848799586296,0.6588480994105339,0.37921142578125,0.03731299098581076,0.14123793574981391,0.055514781503006816,0.7040328327566385,0.00011547354053087489,-0.011880477715749294,26.608651161193848,4.989369481801987,-0.6876543164253235,0.5635986216366291,0.4163820752874017,0.6506539769470692,0.2809173474088311,0.283509171102196,0.5699939951300621,0.6239487193524837,0.4471623171120882,0.6822676137089729,0.4213177403435111,0.7040328327566385,0.146166845690459,0.6981355641037226,0.9995723553001881,0.9998779315501451,0.269775390625,0.220703125,0.25634765625,0.253173828125,0.25,52,0.2740384638309479,0.24338942766189575,0.23257212340831757,0.21139706671237946,51,0.27267158031463623,0.25735294818878174,0.25857844948768616,0.22303922474384308,51,0.2653186321258545,0.2604166865348816,0.2512255012989044,0.2598039209842682,51,0.2647058963775635,0.21813726425170898,0.25735294818878174,0.26348039507865906,51,0.2720588445663452,0.20036765933036804,0.26409316062927246,2.9799346923828125,0.5025449395179749,0.09530137479305267,0.35039547085762024,0.0071834358386695385,0.10915527492761612,0.09855769574642181,2.9981908798217773,0.49937304854393005,0.09412919729948044,0.34868359565734863,0.0046909465454518795,0.10539216548204422,2.9905617237091064,0.49795886874198914,0.09564216434955597,0.34939101338386536,0.005576376803219318,0.10784314572811127,3.002991199493408,0.4998392164707184,0.09463962912559509,0.35053348541259766,0.005432078614830971,0.11323530226945877,3.013040781021118,0.5013680458068848,0.09470447897911072,0.3504849076271057,0.0053390697576105595,0.12095589190721512,3.0268714427948,0.5026466846466064,0.09393081068992615,0.3505248427391052,0.006017711479216814
3,0.6600242983549833,0.017578125,0.0033447266432631295,0.4833694826811552,0.6600242983549833,0.37579345703125,0.03594506811350584,0.1344459606334567,0.04907571792136878,0.7015100475400686,0.0002644552124628774,-0.01443885697517544,32.25285792350769,4.994349241256714,-0.6862412095069885,0.5625493191182613,0.42666964791715145,0.6566253248602152,0.27486000768840313,0.2824897225946188,0.583370752632618,0.6314998473972082,0.4543148009106517,0.6776132974773645,0.42034858651459217,0.7015100475400686,0.14056697371415794,0.6930848564952612,0.9990562871098518,0.9998291041702032,0.2625732421875,0.2288818359375,0.253662109375,0.2548828125,0.23798078298568726,52,0.26682692766189575,0.23617789149284363,0.25901442766189575,0.23284314572811127,51,0.2604166865348816,0.2555147111415863,0.2512255012989044,0.24080882966518402,51,0.26409316062927246,0.24816177785396576,0.24693627655506134,0.25796568393707275,51,0.2708333432674408,0.21507354080677032,0.2561274468898773,0.27267158031463623,51,0.2506127655506134,0.21752451360225677,0.2591911852359772,3.013784170150757,0.4994015395641327,0.09397704154253006,0.3505091965198517,0.005704010836780071,0.11381836235523224,0.10625000298023224,2.9897713661193848,0.49602973461151123,0.09447544068098068,0.3480587899684906,0.004770697094500065,0.10723039507865906,2.9949288368225098,0.4971751570701599,0.09500125795602798,0.349276602268219,0.004993307404220104,0.11372549831867218,3.0028045177459717,0.5014346241950989,0.09385209530591965,0.3497750759124756,0.0052915881387889385,0.11654412746429443,3.014997959136963,0.49906986951828003,0.09394127875566483,0.35016536712646484,0.006145824212580919,0.125490203499794,3.028310537338257,0.5031535625457764,0.09429717063903809,0.3512471914291382,0.007241489365696907
4,0.6567638032138348,0.0179443359375,0.0033691406933940016,0.5009652562439442,0.6567638032138348,0.37359619140625,0.03470233851112425,0.14308675564825535,0.0486824968829751,0.697142943739891,0.0003143817057420506,-0.011186397809069604,37.78790020942688,4.997495144605637,-0.6852563619613647,0.5562832225114107,0.41251852735877037,0.6580556966364384,0.27612799778580666,0.27932885941118,0.5671401694417,0.63404456153512,0.4516644151881337,0.6763474531471729,0.42341407109051943,0.697142943739891,0.13877940527163446,0.6883557308465242,0.9988901279866695,0.9997802767902613,0.2548828125,0.2437744140625,0.2333984375,0.2679443359375,0.23377405107021332,52,0.25180289149284363,0.24338942766189575,0.2710336744785309,0.2542892098426819,51,0.25245100259780884,0.22120098769664764,0.2720588445663452,0.25245100259780884,51,0.262254923582077,0.2193627506494522,0.2659313678741455,0.26838237047195435,51,0.2671568691730499,0.23713235557079315,0.22732843458652496,0.2555147111415863,51,0.24080882966518402,0.24142158031463623,0.262254923582077,2.980292558670044,0.4963741898536682,0.09252169728279114,0.34828221797943115,0.005893774796277285,0.11835937947034836,0.11009615659713745,2.9900786876678467,0.4969879388809204,0.09480289369821548,0.3490593731403351,0.004768643528223038,0.11017157882452011,2.984074115753174,0.49494147300720215,0.09365804493427277,0.34800660610198975,0.0054763974621891975,0.11078432202339172,2.9871480464935303,0.4972377419471741,0.09380833059549332,0.34869101643562317,0.005354218650609255,0.12132353335618973,3.011420965194702,0.4973227083683014,0.09349696338176727,0.34906989336013794,0.005055874120444059,0.13958333432674408,3.033494710922241,0.5001824498176575,0.09423624724149704,0.3501245677471161,0.006702949292957783
5,0.6624042596668005,0.017333984375,0.0034423829056322575,0.4614963522180915,0.6624042596668005,0.37249755859375,0.031176575168501586,0.13302852888591588,0.047305429237894714,0.695947639644146,8.128466077472751e-05,-0.021607283706543967,42.11840486526489,5.000519752502441,-0.6839280128479004,0.5725576505064964,0.4236880885437131,0.6612756680697203,0.2784800473600626,0.28647097107023,0.578715356066823,0.6366640813648701,0.45541401859372854,0.6805380471050739,0.4293025964871049,0.695947639644146,0.1383819340262562,0.6975065153092146,0.9996991846710443,0.999975586310029,0.2593994140625,0.243408203125,0.24365234375,0.2535400390625,0.24819712340831757,52,0.262620210647583,0.24338942766189575,0.24579328298568726,0.2616421580314636,51,0.26776960492134094,0.2389705926179886,0.23161765933036804,0.2450980544090271,51,0.2665441334247589,0.240196093916893,0.24816177785396576,0.26899510622024536,51,0.2506127655506134,0.23590686917304993,0.2444853037595749,0.2512255012989044,51,0.24938726425170898,0.22610294818878174,0.27328431606292725,2.9822840690612793,0.49368995428085327,0.09403914213180542,0.3495672047138214,0.006651735864579678,0.11520995944738388,0.11201923340559006,2.996300220489502,0.49638503789901733,0.0938740000128746,0.3493504524230957,0.005550181958824396,0.10674019902944565,2.9982197284698486,0.49473297595977783,0.09342162311077118,0.3482489287853241,0.006778850685805082,0.10526961088180542,2.991323232650757,0.4971984922885895,0.09428110718727112,0.3499130606651306,0.005441415589302778,0.12647059559822083,3.0098469257354736,0.4989815354347229,0.09383061528205872,0.35079941153526306,0.0062956782057881355,0.1256127506494522,3.0068001747131348,0.4971478581428528,0.09443408995866776,0.3509396016597748,0.0055616749450564384
6,0.6615598760545254,0.017578125,0.0033691406933940016,0.4810450356453657,0.6615598760545254,0.38018798828125,0.030525158043019474,0.13420965382829309,0.04682471149135381,0.6998261474072933,0.00014524970023899186,-0.022550917958142236,43.726211071014404,5.002774477005005,-0.6828343868255615,0.565585270524025,0.4218270434066653,0.6684511061757803,0.28328734543174505,0.2919632066041231,0.5773763600736856,0.6295700836926699,0.4498933283612132,0.6829780377447605,0.42943567130714655,0.6998261474072933,0.13486611703410745,0.6929197050631046,0.9994618035852909,0.9998535178601742,0.26513671875,0.2371826171875,0.2388916015625,0.2587890625,0.2163461595773697,52,0.278245210647583,0.24879808723926544,0.25661057233810425,0.24754902720451355,51,0.2696078419685364,0.2291666716337204,0.25367647409439087,0.23345589637756348,51,0.2665441334247589,0.240196093916893,0.2598039209842682,0.26286765933036804,51,0.2549019753932953,0.2444853037595749,0.23774510622024536,0.23835785686969757,51,0.2561274468898773,0.2444853037595749,0.2610294222831726,3.014289140701294,0.4993402063846588,0.09277984499931335,0.3493342995643616,0.004567424766719341,0.11967773735523224,0.11141826957464218,2.9914040565490723,0.49681413173675537,0.09463653713464737,0.3503570258617401,0.006417681463062763,0.11360295116901398,2.98286509513855,0.4960918724536896,0.09432871639728546,0.3496842682361603,0.00532146031036973,0.11250000447034836,2.9932384490966797,0.4989735186100006,0.09487315267324448,0.3500334918498993,0.0056650880724191666,0.12169118225574493,3.0105035305023193,0.49627262353897095,0.09408297389745712,0.35106152296066284,0.005784612149000168,0.13933824002742767,3.0290515422821045,0.5002723336219788,0.09332101792097092,0.35043036937713623,0.006758386269211769
7,0.6593150366097689,0.0167236328125,0.0032226563253061613,0.48938056640326977,0.6593150366097689,0.37579345703125,0.033393976162187755,0.14037501229904592,0.04835809301584959,0.6906915474683046,0.0002212029399970561,-0.021481005009263754,42.13669157028198,5.004669934511185,-0.6812271475791931,0.5554932784289122,0.4193434761837125,0.6671973802149296,0.2863889243453741,0.29031111393123865,0.5749919191002846,0.6398078221827745,0.45657691825181246,0.6853642333298922,0.4267452312633395,0.6906915474683046,0.1370296929962933,0.6836972553282976,0.9991880729794502,0.9998779315501451,0.265625,0.2423095703125,0.231689453125,0.2603759765625,0.2578125,52,0.25120192766189575,0.21814905107021332,0.2728365361690521,0.2506127655506134,51,0.2708333432674408,0.23590686917304993,0.24264706671237946,0.240196093916893,51,0.27879902720451355,0.23161765933036804,0.24938726425170898,0.2604166865348816,51,0.2653186321258545,0.2340686321258545,0.240196093916893,0.23284314572811127,51,0.262254923582077,0.22855393588542938,0.2763480544090271,3.013148784637451,0.49545010924339294,0.09221222996711731,0.34915396571159363,0.00846688449382782,0.12448730319738388,0.11730769276618958,2.986546039581299,0.49767783284187317,0.09384402632713318,0.3502404987812042,0.007017872296273708,0.12218137830495834,2.9996273517608643,0.49545297026634216,0.09346026182174683,0.3492400646209717,0.00699612358585,0.114705890417099,2.989428997039795,0.4981573820114136,0.0935807004570961,0.34985658526420593,0.006410724483430386,0.12892158329486847,3.0151984691619873,0.4990420937538147,0.09367318451404572,0.35050076246261597,0.007279231678694487,0.13946078717708588,3.0139617919921875,0.500068187713623,0.09295488148927689,0.3517106771469116,0.007478444837033749
8,0.6638001017272472,0.017333984375,0.003393554758076789,0.47953727561980486,0.6638001017272472,0.38165283203125,0.03150181093951687,0.13220859924331307,0.04835753340739757,0.6978779695928097,0.00012864528064781416,-0.025841737806331366,43.1021785736084,5.004826843738556,-0.6802653670310974,0.5664597619324923,0.4262944869697094,0.673024695366621,0.28158555179834366,0.290014966391027,0.5826242435723543,0.6404228694736958,0.4508291771635413,0.6879270430654287,0.42841477133333683,0.6978779695928097,0.1374573742505163,0.6875564977526665,0.9995241742581129,0.9999267589300871,0.266845703125,0.23291015625,0.2359619140625,0.2642822265625,0.23257212340831757,52,0.2650240361690521,0.24699519574642181,0.2554086744785309,0.2352941334247589,51,0.28982844948768616,0.23100490868091583,0.24387255311012268,0.22855393588542938,51,0.2671568691730499,0.23713235557079315,0.2671568691730499,0.25796568393707275,51,0.27879902720451355,0.22794118523597717,0.2352941334247589,0.2291666716337204,51,0.23345589637756348,0.240196093916893,0.2971813976764679,2.997227430343628,0.4983784556388855,0.09307543188333511,0.34958499670028687,0.00752046424895525,0.12370605766773224,0.11370192468166351,2.9830541610717773,0.4984165132045746,0.09450320154428482,0.3498646914958954,0.005780121311545372,0.11776961386203766,2.9928436279296875,0.4969775676727295,0.09370977431535721,0.34870779514312744,0.006854369770735502,0.11887255311012268,2.9786689281463623,0.49807438254356384,0.09469668567180634,0.3498389422893524,0.00635145790874958,0.12757353484630585,3.0124025344848633,0.49875155091285706,0.09338120371103287,0.34921520948410034,0.0076393247582018375,0.1408088356256485,3.0018270015716553,0.5009398460388184,0.0935978814959526,0.3527969717979431,0.007537709549069405
9,0.6553989630192518,0.0179443359375,0.0033935547471628524,0.49663211591541767,0.6553989630192518,0.38165283203125,0.03689634054899216,0.1396357286721468,0.051692420383915305,0.6917030978947878,0.00013932949093131697,-0.025513881933875382,43.628759145736694,4.999720424413681,-0.6798627376556396,0.5543798301368952,0.4140965286642313,0.6598176676779985,0.2813296541571617,0.2838706849142909,0.5692118145525455,0.6320128068327904,0.4435553727671504,0.6799871139228344,0.4233608292415738,0.6917030978947878,0.13074980396777391,0.6846657861024141,0.9994938932359219,0.9998046904802322,0.2611083984375,0.239501953125,0.23046875,0.2689208984375,0.2319711595773697,52,0.26983174681663513,0.23317308723926544,0.2650240361690521,0.22610294818878174,51,0.2763480544090271,0.2291666716337204,0.26838237047195435,0.24142158031463623,51,0.24142158031463623,0.24387255311012268,0.27328431606292725,0.26838237047195435,51,0.25796568393707275,0.24325981736183167,0.23039215803146362,0.21568627655506134,51,0.2598039209842682,0.2549019753932953,0.2696078419685364,2.9398345947265625,0.503011167049408,0.09424491226673126,0.3506098985671997,0.007205811329185963,0.12360840290784836,0.11346153914928436,2.9810197353363037,0.4990476965904236,0.0938073918223381,0.3493354618549347,0.005923801567405462,0.11887255311012268,2.9808895587921143,0.49681422114372253,0.09396705031394958,0.34907788038253784,0.006583373993635178,0.114705890417099,2.971031427383423,0.4980396628379822,0.09461646527051926,0.3506918251514435,0.005701831541955471,0.12426470965147018,2.9958035945892334,0.500019907951355,0.09358445554971695,0.3501947224140167,0.007309793960303068,0.14693628251552582,3.017113208770752,0.5018398761749268,0.09166932106018066,0.3499987721443176,0.008351976983249187
