iteration,reward,done_rate,edge_reset_rate,vx_err,weighted_metric_reward,selector_reference_penalty,orientation_penalty,slip_penalty,lateral_velocity_penalty,lateral_position_penalty,clearance_reward,action_boundary_penalty,policy_loss,value_loss,entropy,log_std_mean,score_progress,score_yaw_tracking,score_orientation,score_pitch_rate,score_roll_rate,score_yaw_rate,score_lateral_drift,score_vertical_bounce,score_slip,score_energy,score_clearance,score_action_smoothness,score_action_magnitude,score_action_boundary_margin,score_survival,gait_pronk_ratio,gait_trot_ratio,gait_bound_ratio,gait_pace_ratio,flat_trot_efficiency_trot_ratio,flat_trot_efficiency_count,flat_trot_efficiency_pronk_ratio,flat_trot_efficiency_bound_ratio,flat_trot_efficiency_pace_ratio,ramp_up_trot_robustness_trot_ratio,ramp_up_trot_robustness_count,ramp_up_trot_robustness_pronk_ratio,ramp_up_trot_robustness_bound_ratio,ramp_up_trot_robustness_pace_ratio,rough_slope_trot_robustness_trot_ratio,rough_slope_trot_robustness_count,rough_slope_trot_robustness_pronk_ratio,rough_slope_trot_robustness_bound_ratio,rough_slope_trot_robustness_pace_ratio,push_lateral_pace_recovery_pace_ratio,push_lateral_pace_recovery_count,push_lateral_pace_recovery_pronk_ratio,push_lateral_pace_recovery_trot_ratio,push_lateral_pace_recovery_bound_ratio,stepping_stones_easy_bound_highspeed_bound_ratio,stepping_stones_easy_bound_highspeed_count,stepping_stones_easy_bound_highspeed_pronk_ratio,stepping_stones_easy_bound_highspeed_trot_ratio,stepping_stones_easy_bound_highspeed_pace_ratio,frequency_mean,duration_mean,footswing_height_mean,stance_width_mean,body_pitch_mean,action_clip_rate,flat_trot_efficiency_action_clip_rate,flat_trot_efficiency_frequency_mean,flat_trot_efficiency_duration_mean,flat_trot_efficiency_footswing_height_mean,flat_trot_efficiency_stance_width_mean,flat_trot_efficiency_body_pitch_mean,ramp_up_trot_robustness_action_clip_rate,ramp_up_trot_robustness_frequency_mean,ramp_up_trot_robustness_duration_mean,ramp_up_trot_robustness_footswing_height_mean,ramp_up_trot_robustness_stance_width_mean,ramp_up_trot_robustness_body_pitch_mean,rough_slope_trot_robustness_action_clip_rate,rough_slope_trot_robustness_frequency_mean,rough_slope_trot_robustness_duration_mean,rough_slope_trot_robustness_footswing_height_mean,rough_slope_trot_robustness_stance_width_mean,rough_slope_trot_robustness_body_pitch_mean,push_lateral_pace_recovery_action_clip_rate,push_lateral_pace_recovery_frequency_mean,push_lateral_pace_recovery_duration_mean,push_lateral_pace_recovery_footswing_height_mean,push_lateral_pace_recovery_stance_width_mean,push_lateral_pace_recovery_body_pitch_mean,stepping_stones_easy_bound_highspeed_action_clip_rate,stepping_stones_easy_bound_highspeed_frequency_mean,stepping_stones_easy_bound_highspeed_duration_mean,stepping_stones_easy_bound_highspeed_footswing_height_mean,stepping_stones_easy_bound_highspeed_stance_width_mean,stepping_stones_easy_bound_highspeed_body_pitch_mean
0,0.6138166692107916,0.001220703125,4.882812572759576e-05,0.5336330030113459,0.6138166692107916,0.3848876953125,0.03631649992894381,0.15709433832671493,0.06193616194650531,1.0517070363865741,0.726955309510231,2.880833861240717e-06,-0.023991362482775003,23.99986106157303,4.97077003121376,-0.6915010213851929,0.5058431732468307,0.3933760542422533,0.6475884933024645,0.26758768456056714,0.2756586968898773,0.5473753726109862,0.30010847514495254,0.38802104458227404,0.6634111423045397,0.40633380599319935,0.726955309510231,0.14684287551790476,0.7672408800572157,0.999988941475749,0.9998046886175871,0.29052734375,0.208251953125,0.2576904296875,0.2435302734375,0.1899038553237915,52,0.2974759638309479,0.25901442766189575,0.25360578298568726,0.2236519753932953,51,0.2702206075191498,0.2653186321258545,0.24080882966518402,0.22732843458652496,51,0.3069853186607361,0.2389705926179886,0.22671569883823395,0.24387255311012268,51,0.2959558963775635,0.20220589637756348,0.25796568393707275,0.2671568691730499,51,0.2818627655506134,0.1985294222831726,0.25245100259780884,2.8464441299438477,0.49238601326942444,0.09441948682069778,0.3474040627479553,-0.003487503621727228,0.08383788913488388,0.07896634936332703,2.8574905395507812,0.4982973337173462,0.09648622572422028,0.35133200883865356,-0.00440943893045187,0.08002451807260513,2.8592138290405273,0.4968120753765106,0.09642242640256882,0.3505795896053314,-0.004451542627066374,0.07904412597417831,2.8686087131500244,0.49687713384628296,0.09555424004793167,0.34788817167282104,-0.003956172149628401,0.0882352963089943,2.865250825881958,0.4965836703777313,0.09679777920246124,0.35048872232437134,-0.004152880050241947,0.09301470965147018,2.8378353118896484,0.49653857946395874,0.09680087864398956,0.34903064370155334,-0.004218852613121271
1,0.6168956179171801,0.0240478515625,0.004760742285725428,0.4851303771138191,0.6168956179171801,0.3831787109375,0.032860716280993074,0.1336731903720647,0.04448798776138574,3.9970386922359467,0.7274009473621845,4.147457541847643e-06,-0.008623581670690328,16.117493391036987,4.962472200393677,-0.6918259263038635,0.5547674708068371,0.41848768666386604,0.649020005017519,0.2791152587160468,0.29075504560023546,0.5745332222431898,0.2135578622110188,0.4116714494302869,0.6856384854763746,0.4291884647682309,0.7274009473621845,0.13194290408864617,0.7599481362849474,0.9999839495867491,0.9999511726200581,0.285400390625,0.221923828125,0.248046875,0.24462890625,0.22716346383094788,52,0.30288463830947876,0.23016828298568726,0.2397836595773697,0.22855393588542938,51,0.2763480544090271,0.262254923582077,0.23284314572811127,0.2089460790157318,51,0.2867647111415863,0.2647058963775635,0.2395833432674408,0.2598039209842682,51,0.27757352590560913,0.22303922474384308,0.2395833432674408,0.24387255311012268,51,0.28308823704719543,0.22181373834609985,0.2512255012989044,2.8387436866760254,0.49887144565582275,0.09723498672246933,0.3538760840892792,-0.004703260026872158,0.0914306640625,0.08617788553237915,2.862443208694458,0.4994213581085205,0.09568216651678085,0.35113298892974854,-0.005346406251192093,0.08664216101169586,2.863572120666504,0.49574458599090576,0.09668918699026108,0.3518768548965454,-0.005905603989958763,0.08762255311012268,2.870709180831909,0.4961269795894623,0.09675516188144684,0.35232067108154297,-0.006303564645349979,0.09571079164743423,2.8668386936187744,0.49735352396965027,0.09702248871326447,0.3515789806842804,-0.006242448929697275,0.10110294818878174,2.8587324619293213,0.49346691370010376,0.09577495604753494,0.3498297333717346,-0.0059430659748613834
2,0.6176557261496782,0.0137939453125,0.0026123047355213203,0.4642429845407605,0.6176557261496782,0.3851318359375,0.03515088791027665,0.14127577212639153,0.050794875947758555,3.323169231414795,0.7226813808083534,3.3340672302983876e-06,-0.012155601987615228,22.472451090812683,4.960554987192154,-0.6913524270057678,0.5779402703046799,0.41678984463214874,0.6484683845192194,0.27412241604179144,0.28515979275107384,0.5725154485553503,0.18994274223223329,0.43096739519387484,0.6813590433448553,0.42042148672044277,0.7226813808083534,0.1417386676184833,0.7572125419974327,0.9999868515878916,0.9998535178601742,0.29345703125,0.21435546875,0.249755859375,0.242431640625,0.23317308723926544,52,0.2710336744785309,0.25360578298568726,0.2421875149011612,0.20649510622024536,51,0.3026960790157318,0.24938726425170898,0.24142158031463623,0.21262255311012268,51,0.28002452850341797,0.25796568393707275,0.24938726425170898,0.2444853037595749,51,0.3020833432674408,0.21752451360225677,0.23590686917304993,0.25183823704719543,51,0.311887264251709,0.20159314572811127,0.2346813827753067,2.869387626647949,0.49762192368507385,0.09503919631242752,0.3498924970626831,-0.004610054194927216,0.09450683742761612,0.08245192468166351,2.8661813735961914,0.4970991313457489,0.09605330973863602,0.3528937101364136,-0.004616057500243187,0.09117647260427475,2.862658739089966,0.4964255094528198,0.09593195468187332,0.35199758410453796,-0.005943535827100277,0.09289216250181198,2.859011650085449,0.49666720628738403,0.09636935591697693,0.35226672887802124,-0.0059645832516252995,0.09644608199596405,2.857219934463501,0.49595242738723755,0.09533824771642685,0.3509006202220917,-0.007024543359875679,0.1098039299249649,2.866074800491333,0.49379462003707886,0.09657081961631775,0.3498360514640808,-0.00706252409145236
3,0.6177799850702286,0.0191650390625,0.003735351659997832,0.48367135506123304,0.6177799850702286,0.38177490234375,0.03294175141490996,0.13212595996446908,0.044480407843366265,3.730545684695244,0.723610294982791,1.1919797771042795e-06,-0.013926947489380836,28.499902367591858,4.957635313272476,-0.6898835897445679,0.560220705345273,0.4171635266393423,0.6555658746510744,0.2775031877681613,0.2855813317000866,0.5726873371750116,0.2142640482634306,0.4232435245066881,0.680539958178997,0.42066668067127466,0.723610294982791,0.13613385567441583,0.757422149181366,0.9999953247606754,0.9999023452401161,0.282470703125,0.226806640625,0.2457275390625,0.2449951171875,0.23798078298568726,52,0.26682692766189575,0.23858174681663513,0.25661057233810425,0.25183823704719543,51,0.27879902720451355,0.22242647409439087,0.24693627655506134,0.21262255311012268,51,0.2879902124404907,0.2567402124404907,0.24264706671237946,0.2340686321258545,51,0.29534316062927246,0.20526961982250214,0.2653186321258545,0.24571079015731812,51,0.28370100259780884,0.22610294818878174,0.2444853037595749,2.876237630844116,0.4982607662677765,0.09562140703201294,0.35072576999664307,-0.008979271166026592,0.09479980915784836,0.08822115510702133,2.8471038341522217,0.499676913022995,0.09618392586708069,0.3526720106601715,-0.004922232590615749,0.09044118225574493,2.851327419281006,0.4978844225406647,0.09582583606243134,0.35122209787368774,-0.005204372573643923,0.09325981140136719,2.8508715629577637,0.4950731098651886,0.09599114954471588,0.35085809230804443,-0.0054568275809288025,0.10036765038967133,2.846266984939575,0.49687308073043823,0.09658870100975037,0.35154759883880615,-0.006388506852090359,0.10183823853731155,2.8488106727600098,0.49620234966278076,0.09630732983350754,0.34970444440841675,-0.005314760375767946
4,0.6182947307825089,0.01806640625,0.003491210994980065,0.4871053621172905,0.6182947307825089,0.385986328125,0.03388705034740269,0.13976918091066182,0.048048080992884934,3.280168369412422,0.727264054119587,5.997027461290827e-07,-0.0007218227692646906,30.834884524345398,4.961586505174637,-0.688480019569397,0.5588347427546978,0.41519973520189524,0.6451889909803867,0.2696276744827628,0.2814238956198096,0.5721254870295525,0.2303568315692246,0.4243949009105563,0.6758732181042433,0.4202459389343858,0.727264054119587,0.1353026677388698,0.7528185714036226,0.9999976139515638,0.9998779315501451,0.2899169921875,0.2042236328125,0.2496337890625,0.2562255859375,0.20793269574642181,52,0.2884615361690521,0.24399039149284363,0.25961539149284363,0.20526961982250214,51,0.2861519753932953,0.2561274468898773,0.25245100259780884,0.2132353037595749,51,0.2965686321258545,0.240196093916893,0.25,0.2506127655506134,51,0.29963237047195435,0.20526961982250214,0.2444853037595749,0.26348039507865906,51,0.27879902720451355,0.18933823704719543,0.26838237047195435,2.898372173309326,0.5002819299697876,0.09506344795227051,0.34923315048217773,-0.006438707001507282,0.09714355319738388,0.08954326808452606,2.864396810531616,0.49902117252349854,0.09597072750329971,0.35200244188308716,-0.006487407721579075,0.09215686470270157,2.8665473461151123,0.49812594056129456,0.09623833000659943,0.3526100814342499,-0.006199296563863754,0.09325981140136719,2.8639144897460938,0.497678279876709,0.09574586898088455,0.3498803675174713,-0.006342973560094833,0.10220588743686676,2.8698103427886963,0.49711087346076965,0.09564901143312454,0.351094126701355,-0.007531909737735987,0.10870098322629929,2.8435304164886475,0.49760234355926514,0.09814652055501938,0.3508589565753937,-0.0057517713867127895
5,0.6185617670416832,0.016845703125,0.0033203125803993316,0.4606160633265972,0.6185617670416832,0.3856201171875,0.035429488227237016,0.13224772247485816,0.04941231710836291,3.5826732963323593,0.7360572461038828,1.2856052990173339e-05,-0.019102625199593604,34.77056908607483,4.970166772603989,-0.6869908571243286,0.578430624678731,0.41146179288625717,0.6477348376065493,0.27809139527380466,0.288022231310606,0.5681375488638878,0.20223889825865626,0.4199893716722727,0.6840497795492411,0.4269511438906193,0.7360572461038828,0.14088287972845137,0.752565449103713,0.9999527875334024,0.9999511726200581,0.2867431640625,0.2056884765625,0.2508544921875,0.2567138671875,0.23918269574642181,52,0.2710336744785309,0.23137019574642181,0.2584134638309479,0.19546569883823395,51,0.2928921580314636,0.2616421580314636,0.25,0.2083333432674408,51,0.30024510622024536,0.24142158031463623,0.25,0.24693627655506134,51,0.2867647111415863,0.19975490868091583,0.2665441334247589,0.25367647409439087,51,0.28308823704719543,0.18504902720451355,0.27818629145622253,2.849553346633911,0.4954899251461029,0.09642720222473145,0.3529893755912781,-0.0058293817564845085,0.1005859375,0.09362980723381042,2.861274480819702,0.5009301900863647,0.09630940854549408,0.35120201110839844,-0.004967262037098408,0.09534314274787903,2.8644933700561523,0.5005830526351929,0.09750651568174362,0.3524377644062042,-0.006046114023774862,0.10000000894069672,2.862006187438965,0.497378408908844,0.09588877111673355,0.35019057989120483,-0.004953454248607159,0.10477941483259201,2.859011650085449,0.49856358766555786,0.09736154973506927,0.3514953553676605,-0.006282727234065533,0.1093137338757515,2.8503222465515137,0.4992564618587494,0.09816424548625946,0.3509993255138397,-0.005803643725812435
6,0.619938351213932,0.017822265625,0.003393554794456577,0.4784203264862299,0.619938351213932,0.3809814453125,0.03476733568822965,0.12685321713797748,0.049565665889531374,3.418475605547428,0.7261649649590254,7.1506485213035376e-06,-0.01531564412289299,35.18542671203613,4.973742663860321,-0.6855658292770386,0.5693092420697212,0.4151265053078532,0.6463488284498453,0.27611895836889744,0.28184561152011156,0.5695147216320038,0.2349851126782596,0.4271259568631649,0.6851817909628153,0.42494351230561733,0.7261649649590254,0.13286551903001964,0.748634111136198,0.9999726116657257,0.9998291041702032,0.2781982421875,0.2236328125,0.255615234375,0.2425537109375,0.2289663553237915,52,0.2806490361690521,0.24639424681663513,0.24399039149284363,0.21568627655506134,51,0.2824755012989044,0.2567402124404907,0.2450980544090271,0.2389705926179886,51,0.2708333432674408,0.2561274468898773,0.2340686321258545,0.24693627655506134,51,0.2751225531101227,0.2187500149011612,0.2591911852359772,0.2598039209842682,51,0.2818627655506134,0.21568627655506134,0.24264706671237946,2.8684604167938232,0.4999098777770996,0.09826983511447906,0.3538875877857208,-0.007494294550269842,0.10427246242761612,0.100600965321064,2.881840944290161,0.49952906370162964,0.09560591727495193,0.35216420888900757,-0.00427143182605505,0.09546568989753723,2.8852410316467285,0.4997694492340088,0.09591234475374222,0.35174569487571716,-0.005571958143264055,0.09767157584428787,2.8903379440307617,0.49796783924102783,0.09587275236845016,0.3518894612789154,-0.00516905402764678,0.10870098322629929,2.8757426738739014,0.4991203844547272,0.09712518751621246,0.35121485590934753,-0.007953903637826443,0.11899510771036148,2.8944036960601807,0.49748313426971436,0.09703952819108963,0.34957581758499146,-0.006540783680975437
7,0.6170490812510252,0.0181884765625,0.0035888672737200977,0.4898679247125983,0.6170490812510252,0.3878173828125,0.0345400003134273,0.13986135413870215,0.04905962641350925,3.3819612488150597,0.735570440068841,1.8427648740271252e-06,-0.02437687016208656,35.916401386260986,4.979694455862045,-0.6842494010925293,0.557491309940815,0.4178223954513669,0.6422281302511692,0.27162817772477865,0.2891121543943882,0.5732659567147493,0.2207404226064682,0.4243591148406267,0.68164755217731,0.42277481872588396,0.735570440068841,0.135665082372725,0.752781456336379,0.9999927245080471,0.9999511726200581,0.28271484375,0.2034912109375,0.2650146484375,0.248779296875,0.21274039149284363,52,0.270432710647583,0.2578125,0.25901442766189575,0.20649510622024536,51,0.29963237047195435,0.25796568393707275,0.23590686917304993,0.21078431606292725,51,0.2665441334247589,0.27757352590560913,0.2450980544090271,0.2389705926179886,51,0.29473039507865906,0.1875,0.27879902720451355,0.25306373834609985,51,0.2824755012989044,0.19975490868091583,0.2647058963775635,2.8409228324890137,0.4994269609451294,0.09769020974636078,0.35310471057891846,-0.0024598115123808384,0.10625000298023224,0.10072115063667297,2.867905616760254,0.49892380833625793,0.09677109122276306,0.3523688018321991,-0.003905749414116144,0.10159314423799515,2.878430128097534,0.5000031590461731,0.09593990445137024,0.35115647315979004,-0.00532779935747385,0.10281863063573837,2.8739991188049316,0.4971192479133606,0.09668102115392685,0.3522445559501648,-0.004112806636840105,0.10514706373214722,2.8832051753997803,0.5001538395881653,0.09714140743017197,0.3512726426124573,-0.005458465777337551,0.12107843905687332,2.8679726123809814,0.4989156723022461,0.09787425398826599,0.35035762190818787,-0.005781988147646189
8,0.6173021774739027,0.01806640625,0.003442382854700554,0.47736534755676985,0.6173021774739027,0.38226318359375,0.038466024212539196,0.12547423876821995,0.05437530262861401,3.437673568725586,0.740773281082511,1.3600801295865494e-05,-0.02253495092736557,33.69883334636688,4.9795501828193665,-0.6831198930740356,0.5691726002842188,0.41462576761841774,0.6398658454418182,0.27323403861373663,0.2905089380219579,0.569235660135746,0.2121917074546218,0.4231116781011224,0.6915062684565783,0.4217259408906102,0.740773281082511,0.13005009130574763,0.7461769096553326,0.9999498948454857,0.9998291041702032,0.2734375,0.217041015625,0.2635498046875,0.2459716796875,0.23737981915473938,52,0.2710336744785309,0.25600963830947876,0.23557692766189575,0.2132353037595749,51,0.2708333432674408,0.2653186321258545,0.2506127655506134,0.21446079015731812,51,0.28431373834609985,0.2610294222831726,0.240196093916893,0.2450980544090271,51,0.2861519753932953,0.20036765933036804,0.26838237047195435,0.2671568691730499,51,0.2549019753932953,0.2193627506494522,0.25857844948768616,2.8719944953918457,0.49400097131729126,0.09797394275665283,0.352883905172348,-0.0059668924659490585,0.11027832329273224,0.10000000149011612,2.8734540939331055,0.4992697238922119,0.09703106433153152,0.3518374562263489,-0.005938040558248758,0.10171569138765335,2.881209135055542,0.4983215630054474,0.0970635637640953,0.35178446769714355,-0.005850006826221943,0.10122549533843994,2.8753750324249268,0.49692070484161377,0.09714033454656601,0.35145607590675354,-0.006250664591789246,0.11850491166114807,2.8753292560577393,0.4972834289073944,0.09716314822435379,0.3503006398677826,-0.006943327374756336,0.1301470696926117,2.880837917327881,0.49673569202423096,0.09840131551027298,0.3502708971500397,-0.00509691471233964
9,0.618101242929697,0.01806640625,0.0034179688427684596,0.47102813236415386,0.618101242929697,0.3839111328125,0.03680892725242302,0.12631950480863452,0.049943151068873703,3.5830934047698975,0.7394654024392366,5.067212185849712e-06,-0.024846993444953114,35.193949460983276,4.986166030168533,-0.6822802424430847,0.5783743280917406,0.41956355422735214,0.6380640789866447,0.27510488079860806,0.2879919297993183,0.5769259873777628,0.1994194444268942,0.43352937046438456,0.6918286923319101,0.4246242456138134,0.7394654024392366,0.13580244197510183,0.7494073733687401,0.9999801963567734,0.9998046904802322,0.2701416015625,0.2105712890625,0.26318359375,0.256103515625,0.23497596383094788,52,0.2608173191547394,0.24098558723926544,0.2632211744785309,0.20220589637756348,51,0.2861519753932953,0.2647058963775635,0.24693627655506134,0.20710785686969757,51,0.2671568691730499,0.2714460790157318,0.2542892098426819,0.2542892098426819,51,0.26838237047195435,0.20036765933036804,0.2769607901573181,0.262254923582077,51,0.26838237047195435,0.2077205926179886,0.2616421580314636,2.8772716522216797,0.5006527900695801,0.09756089746952057,0.35291582345962524,-0.005092744715511799,0.11318359524011612,0.10769230872392654,2.870600700378418,0.49986574053764343,0.09674449265003204,0.351239949464798,-0.005298931151628494,0.11078432202339172,2.8796513080596924,0.4991823136806488,0.09687773883342743,0.3520718514919281,-0.005660378839820623,0.10526961088180542,2.8723080158233643,0.49932241439819336,0.0968615934252739,0.35121193528175354,-0.00475636450573802,0.11262255907058716,2.875455856323242,0.49953940510749817,0.09803413599729538,0.3516275882720947,-0.005655390676110983,0.1296568661928177,2.881258010864258,0.49637454748153687,0.09722976386547089,0.3503744304180145,-0.005624476820230484
