iteration,reward,done_rate,edge_reset_rate,vx_err,weighted_metric_reward,selector_reference_penalty,orientation_penalty,slip_penalty,lateral_velocity_penalty,lateral_position_penalty,clearance_reward,gait_switch_penalty,action_boundary_penalty,policy_loss,value_loss,entropy,log_std_mean,score_progress,score_yaw_tracking,score_orientation,score_pitch_rate,score_roll_rate,score_yaw_rate,score_lateral_drift,score_vertical_bounce,score_slip,score_energy,score_clearance,score_gait_stability,score_action_smoothness,score_action_magnitude,score_action_boundary_margin,score_survival,gait_pronk_ratio,gait_trot_ratio,gait_bound_ratio,gait_pace_ratio,gait_switch_rate,flat_trot_efficiency_trot_ratio,flat_trot_efficiency_count,flat_trot_efficiency_gait_switch_rate,flat_trot_efficiency_pronk_ratio,flat_trot_efficiency_bound_ratio,flat_trot_efficiency_pace_ratio,ramp_up_trot_robustness_trot_ratio,ramp_up_trot_robustness_count,ramp_up_trot_robustness_gait_switch_rate,ramp_up_trot_robustness_pronk_ratio,ramp_up_trot_robustness_bound_ratio,ramp_up_trot_robustness_pace_ratio,rough_slope_trot_robustness_trot_ratio,rough_slope_trot_robustness_count,rough_slope_trot_robustness_gait_switch_rate,rough_slope_trot_robustness_pronk_ratio,rough_slope_trot_robustness_bound_ratio,rough_slope_trot_robustness_pace_ratio,push_lateral_pace_recovery_pace_ratio,push_lateral_pace_recovery_count,push_lateral_pace_recovery_gait_switch_rate,push_lateral_pace_recovery_pronk_ratio,push_lateral_pace_recovery_trot_ratio,push_lateral_pace_recovery_bound_ratio,stepping_stones_easy_bound_highspeed_bound_ratio,stepping_stones_easy_bound_highspeed_count,stepping_stones_easy_bound_highspeed_gait_switch_rate,stepping_stones_easy_bound_highspeed_pronk_ratio,stepping_stones_easy_bound_highspeed_trot_ratio,stepping_stones_easy_bound_highspeed_pace_ratio,frequency_mean,duration_mean,footswing_height_mean,stance_width_mean,body_pitch_mean,action_clip_rate,flat_trot_efficiency_action_clip_rate,flat_trot_efficiency_frequency_mean,flat_trot_efficiency_duration_mean,flat_trot_efficiency_footswing_height_mean,flat_trot_efficiency_stance_width_mean,flat_trot_efficiency_body_pitch_mean,ramp_up_trot_robustness_action_clip_rate,ramp_up_trot_robustness_frequency_mean,ramp_up_trot_robustness_duration_mean,ramp_up_trot_robustness_footswing_height_mean,ramp_up_trot_robustness_stance_width_mean,ramp_up_trot_robustness_body_pitch_mean,rough_slope_trot_robustness_action_clip_rate,rough_slope_trot_robustness_frequency_mean,rough_slope_trot_robustness_duration_mean,rough_slope_trot_robustness_footswing_height_mean,rough_slope_trot_robustness_stance_width_mean,rough_slope_trot_robustness_body_pitch_mean,push_lateral_pace_recovery_action_clip_rate,push_lateral_pace_recovery_frequency_mean,push_lateral_pace_recovery_duration_mean,push_lateral_pace_recovery_footswing_height_mean,push_lateral_pace_recovery_stance_width_mean,push_lateral_pace_recovery_body_pitch_mean,stepping_stones_easy_bound_highspeed_action_clip_rate,stepping_stones_easy_bound_highspeed_frequency_mean,stepping_stones_easy_bound_highspeed_duration_mean,stepping_stones_easy_bound_highspeed_footswing_height_mean,stepping_stones_easy_bound_highspeed_stance_width_mean,stepping_stones_easy_bound_highspeed_body_pitch_mean
0,0.6742521971464157,0.0023193359375,7.324219041038305e-05,0.4656809070147574,0.6742521971464157,0.3775634765625,0.03433226358902175,0.12499992054654285,0.06830925634130836,1.199889424545654,0.7668475769460201,0.12158203125,4.481538269374141e-07,-0.023614278237801045,30.577505946159363,4.986057132482529,-0.6919475197792053,0.5782634563511238,0.4457962643355131,0.6839559320360422,0.2960063749924302,0.3151215109974146,0.5961490049958229,0.38789370004087687,0.44291412603342906,0.6972509510815144,0.43802507501095533,0.7668475769460201,0.7897446164861321,0.4274760279804468,0.7699831500649452,0.9999982193112373,0.9996093772351742,0.2333984375,0.2227783203125,0.2740478515625,0.269775390625,0.22530241310596466,0.2343750149011612,52,0.2270471453666687,0.22235578298568726,0.27764424681663513,0.265625,0.23161765933036804,51,0.2264389544725418,0.2242647111415863,0.2665441334247589,0.27757352590560913,0.20955882966518402,51,0.2226438820362091,0.23835785686969757,0.2708333432674408,0.28125,0.26409316062927246,51,0.2239089161157608,0.23774510622024536,0.22794118523597717,0.2702206075191498,0.28492647409439087,51,0.2264389544725418,0.2444853037595749,0.21017158031463623,0.2604166865348816,2.8993494510650635,0.5077716112136841,0.10023237764835358,0.35432207584381104,0.0030354720074683428,0.0,0.0,2.8730223178863525,0.5060463547706604,0.10091621428728104,0.3554680645465851,0.0016353661194443703,0.0,2.8566958904266357,0.5063986778259277,0.10181797295808792,0.3553452789783478,0.0013114179018884897,0.0,2.8635542392730713,0.5060878992080688,0.1016845554113388,0.35560187697410583,0.002209923230111599,0.0,2.8737518787384033,0.506550133228302,0.1009095162153244,0.3552967309951782,0.0014395284233614802,0.0,2.8775458335876465,0.5063090324401855,0.10141924023628235,0.3556422293186188,0.0032430801074951887
1,0.6768339965492487,0.0250244140625,0.004736328261060407,0.4506803508847952,0.6768339965492487,0.38336181640625,0.03318518487503752,0.09915893874131143,0.051783332717604935,3.584808699786663,0.7566226776689291,0.119384765625,1.606079990779108e-06,-0.014426441281102598,19.916489243507385,4.987735003232956,-0.6909064650535583,0.6122350599616766,0.4864665726199746,0.6951987873762846,0.3188216434791684,0.3275233805179596,0.6401060968637466,0.2906391662545502,0.46294691506773233,0.7276663035154343,0.45660506654530764,0.7566226776689291,0.7935444116592407,0.4249922465533018,0.7657131664454937,0.9999937415122986,0.9997314494103193,0.2401123046875,0.2335205078125,0.2657470703125,0.2606201171875,0.23689515888690948,0.22355769574642181,52,0.23697270452976227,0.254807710647583,0.25600963830947876,0.265625,0.24816177785396576,51,0.22960150241851807,0.21507354080677032,0.2653186321258545,0.2714460790157318,0.1930147111415863,51,0.23908917605876923,0.26899510622024536,0.2720588445663452,0.2659313678741455,0.22732843458652496,51,0.24541428685188293,0.24877451360225677,0.26286765933036804,0.2610294222831726,0.27450981736183167,51,0.23339657485485077,0.21262255311012268,0.240196093916893,0.27267158031463623,2.862344264984131,0.5062141418457031,0.10010681301355362,0.35559868812561035,0.00029668788192793727,0.0,0.0,2.8740293979644775,0.5072778463363647,0.09983062744140625,0.35557466745376587,0.0015910041984170675,0.0,2.8768632411956787,0.5069985389709473,0.10052656382322311,0.35565894842147827,0.0016599782975390553,0.0,2.8866512775421143,0.5059152245521545,0.10103936493396759,0.3561267554759979,0.00046498022857122123,0.0,2.9104514122009277,0.5065304636955261,0.09982661157846451,0.35385754704475403,0.0013068821281194687,0.0,2.8885560035705566,0.5076438784599304,0.10143963992595673,0.35592713952064514,0.002354759257286787
2,0.6769326720386744,0.0166015625,0.0030517578725266503,0.41038154903799295,0.6769326720386744,0.37786865234375,0.030925874831154943,0.11341796512715518,0.056740252301096916,3.352002762258053,0.7637332957237959,0.11737060546875,1.3555272460052947e-07,-0.01741037893225439,27.618115544319153,4.991605341434479,-0.6903568506240845,0.6334792021661997,0.47486922331154346,0.69352001324296,0.3092663958668709,0.320931414142251,0.6291856952011585,0.2725253780372441,0.48112208396196365,0.7174183186143637,0.4550625644624233,0.7637332957237959,0.7970275562256575,0.42497725784778595,0.7610189449042082,0.9999994598329067,0.9997314494103193,0.2354736328125,0.2213134765625,0.2774658203125,0.2657470703125,0.2358870953321457,0.2085336595773697,52,0.23821339011192322,0.24098558723926544,0.2836538553237915,0.26682692766189575,0.2297794222831726,51,0.23402908444404602,0.2555147111415863,0.2665441334247589,0.24816177785396576,0.21262255311012268,51,0.23339657485485077,0.24325981736183167,0.2922794222831726,0.25183823704719543,0.28860294818878174,51,0.23782415688037872,0.2193627506494522,0.2297794222831726,0.262254923582077,0.2824755012989044,51,0.23592661321163177,0.21813726425170898,0.22610294818878174,0.27328431606292725,2.873516082763672,0.504767656326294,0.10279113054275513,0.3595196008682251,0.0018372333142906427,0.0,0.0,2.8779356479644775,0.5060977339744568,0.10137565433979034,0.35691365599632263,0.002210918813943863,0.0,2.878668785095215,0.5046164989471436,0.10032108426094055,0.3554145097732544,0.0020464526023715734,0.0,2.8955135345458984,0.505637526512146,0.101125068962574,0.35656610131263733,0.0019598796498030424,0.0,2.872241497039795,0.5055619478225708,0.10112350434064865,0.35599517822265625,0.0018139105523005128,0.0,2.8802413940429688,0.5070056915283203,0.10154259204864502,0.3566128611564636,0.002649953356012702
3,0.6767638325691223,0.0198974609375,0.0037597656937577995,0.4236985808238387,0.6767638325691223,0.380859375,0.03128819243283942,0.10450646700337529,0.05135984963271767,3.546049728989601,0.7669391054660082,0.119873046875,7.316898376075187e-08,-0.01930060371523723,32.37044048309326,4.990406185388565,-0.6894668936729431,0.6274127326905727,0.4851615000516176,0.6909896954894066,0.30949567165225744,0.3265582462772727,0.6379386354237795,0.291454890742898,0.4805331714451313,0.7165981866419315,0.45354762114584446,0.7669391054660082,0.7927000150084496,0.4182104291394353,0.7620373778045177,0.9999997075647116,0.9997802767902613,0.2269287109375,0.22998046875,0.2850341796875,0.258056640625,0.23853325843811035,0.2163461595773697,52,0.23697270452976227,0.22355769574642181,0.27944713830947876,0.2806490361690521,0.23713235557079315,51,0.23719164729118347,0.22671569883823395,0.27450981736183167,0.2616421580314636,0.24080882966518402,51,0.23845666646957397,0.2187500149011612,0.2910539209842682,0.24938726425170898,0.22855393588542938,51,0.23972168564796448,0.22794118523597717,0.23223039507865906,0.31127452850341797,0.26899510622024536,51,0.24035419523715973,0.23774510622024536,0.2236519753932953,0.2696078419685364,2.8785223960876465,0.5059385299682617,0.0999293178319931,0.35539424419403076,0.0007234339136630297,0.0,0.0,2.859208822250366,0.5038800239562988,0.10191037505865097,0.3590964078903198,0.0012831705389544368,0.0,2.8795454502105713,0.5033478140830994,0.10103998333215714,0.35688668489456177,0.000182314237463288,0.0,2.8904144763946533,0.5041862726211548,0.10074756294488907,0.35665377974510193,0.0008292097481898963,0.0,2.9100468158721924,0.5011999011039734,0.10165411233901978,0.3562593162059784,0.0017797062173485756,0.0,2.892655372619629,0.5053953528404236,0.10141272842884064,0.3561992049217224,0.0017023239051923156
4,0.6752080116420984,0.0201416015625,0.0037841797657165444,0.42790728248655796,0.6752080116420984,0.38372802734375,0.03167677094461396,0.10471967537887394,0.05479959957301617,3.184181772172451,0.7686586659401655,0.1173095703125,1.6184776116257016e-06,-0.014836797694442794,33.958439350128174,4.989867925643921,-0.6888934969902039,0.6218917313963175,0.4777452051639557,0.6893412675708532,0.3040828388184309,0.32132008858025074,0.6313650887459517,0.293699593283236,0.4726375164464116,0.7117744795978069,0.4499772386625409,0.7686586659401655,0.797133119776845,0.4163660239428282,0.7567442171275616,0.9999936930835247,0.9997558631002903,0.237548828125,0.208740234375,0.292236328125,0.261474609375,0.23550906777381897,0.2007211595773697,52,0.2406947910785675,0.26201924681663513,0.3022836744785309,0.23497596383094788,0.2352941334247589,51,0.23086653649806976,0.22732843458652496,0.27757352590560913,0.2598039209842682,0.19607843458652496,51,0.23529410362243652,0.2352941334247589,0.29473039507865906,0.27389708161354065,0.2653186321258545,51,0.23845666646957397,0.21997550129890442,0.19424019753932953,0.32046568393707275,0.2659313678741455,51,0.23213155567646027,0.24264706671237946,0.21752451360225677,0.27389708161354065,2.8784866333007812,0.5041550397872925,0.10080569982528687,0.35774487257003784,0.002913458738476038,0.0,0.0,2.8835880756378174,0.5071393847465515,0.10072026401758194,0.3565947711467743,0.0017735924338921905,0.0,2.8821868896484375,0.5042234063148499,0.1009751558303833,0.3567853569984436,0.000659323763102293,0.0,2.8719983100891113,0.5030840635299683,0.1022060215473175,0.3572295308113098,0.0011331880232319236,0.0,2.8929009437561035,0.503728449344635,0.10266298055648804,0.35852256417274475,0.00185829505790025,0.0,2.8855905532836914,0.5068100094795227,0.10091421008110046,0.35619497299194336,0.0029300632886588573
5,0.6746093574911356,0.0194091796875,0.0036865234906144906,0.43424595706164837,0.6746093574911356,0.37744140625,0.03008206095546484,0.10903469333425164,0.05150920327287167,3.1886098831892014,0.7580688372254372,0.11834716796875,2.8565308411998558e-06,-0.005531505768885836,32.316296458244324,4.98891219496727,-0.6878694891929626,0.6168763358145952,0.477186169475317,0.6876863986253738,0.3008111799135804,0.32495749555528164,0.6306271497160196,0.2965368521399796,0.4738053297623992,0.7049639858305454,0.45089770946651697,0.7580688372254372,0.7953387591987848,0.41666526068001986,0.7592161782085896,0.9999888651072979,0.9998046904802322,0.237548828125,0.22998046875,0.286865234375,0.24560546875,0.2353830635547638,0.21454328298568726,52,0.23759305477142334,0.25661057233810425,0.2914663553237915,0.23737981915473938,0.23345589637756348,51,0.23339657485485077,0.240196093916893,0.2763480544090271,0.25,0.2291666716337204,51,0.22896899282932281,0.25367647409439087,0.27879902720451355,0.23835785686969757,0.24816177785396576,51,0.23529410362243652,0.24325981736183167,0.22181373834609985,0.2867647111415863,0.3008578419685364,51,0.24161921441555023,0.1936274617910385,0.2512255012989044,0.2542892098426819,2.8904314041137695,0.503220796585083,0.1007830947637558,0.3558981418609619,0.0022424603812396526,0.0,0.0,2.8828184604644775,0.5064692497253418,0.09999016672372818,0.3560466766357422,0.0022201337851583958,0.0,2.8722386360168457,0.5023022294044495,0.10100290179252625,0.35678765177726746,0.0015031681396067142,0.0,2.890810966491699,0.5024545192718506,0.09987018257379532,0.35557863116264343,0.0019272493664175272,0.0,2.887861728668213,0.504856526851654,0.10080277174711227,0.3562711477279663,0.002493544714525342,0.0,2.892796754837036,0.503342866897583,0.1015743762254715,0.3567236363887787,0.0034008363727480173
6,0.6774349883198738,0.019287109375,0.0037841797839064384,0.43302206322550774,0.6774349883198738,0.37890625,0.03104629903100431,0.11177782155573368,0.05370299005880952,3.155391089618206,0.7580706011503935,0.1182861328125,4.366143320666538e-06,-0.012370076015940867,31.085978627204895,4.996190905570984,-0.6855965256690979,0.6218782886862755,0.480930695310235,0.6993470080196857,0.3099268330261111,0.32610601000487804,0.6331445537507534,0.301760277710855,0.4764985451474786,0.7143533825874329,0.453422118909657,0.7580706011503935,0.7954443022608757,0.41251237131655216,0.7546332478523254,0.9999834466725588,0.9999267589300871,0.2420654296875,0.22607421875,0.2791748046875,0.252685546875,0.23676913976669312,0.22235578298568726,52,0.23325061798095703,0.24098558723926544,0.29266828298568726,0.24399039149284363,0.2242647111415863,51,0.24035419523715973,0.2450980544090271,0.2671568691730499,0.26348039507865906,0.21752451360225677,51,0.23845666646957397,0.24693627655506134,0.28002452850341797,0.2555147111415863,0.2512255012989044,51,0.23845666646957397,0.2444853037595749,0.2444853037595749,0.2598039209842682,0.2959558963775635,51,0.23339657485485077,0.23284314572811127,0.22181373834609985,0.24938726425170898,2.873952865600586,0.503568708896637,0.10187703371047974,0.3582906424999237,0.002580238040536642,0.0,0.0,2.8859987258911133,0.5025952458381653,0.10010617226362228,0.35682833194732666,0.0028597889468073845,0.0,2.8833603858947754,0.502730667591095,0.10084881633520126,0.3566184341907501,0.001980230677872896,0.0,2.892132520675659,0.5022232532501221,0.1007392555475235,0.35638219118118286,0.00141991232521832,0.0,2.8873162269592285,0.5018149018287659,0.09970732778310776,0.35540199279785156,0.0021257319021970034,0.0,2.9014875888824463,0.5041043758392334,0.10183725506067276,0.35709965229034424,0.004031290765851736
7,0.6762805785983801,0.0179443359375,0.003442382912908215,0.4234052188694477,0.6762805785983801,0.3809814453125,0.030523671419359744,0.1105938556138426,0.054476695600897074,3.3143784925341606,0.7615469992160797,0.1187744140625,8.84110837207075e-07,-0.02071543291094713,26.472893953323364,5.002183049917221,-0.6848374009132385,0.6244472041726112,0.4815759304910898,0.6950454507023096,0.30606330931186676,0.32978330459445715,0.6343875657767057,0.2907995041459799,0.4847783949226141,0.7190095894038677,0.45472236536443233,0.7615469992160797,0.7945999037474394,0.40907330717891455,0.7529117837548256,0.9999965075403452,0.9998535178601742,0.23291015625,0.226806640625,0.2935791015625,0.2467041015625,0.23601309955120087,0.21574519574642181,52,0.23511165380477905,0.24399039149284363,0.27163463830947876,0.2686298191547394,0.2132353037595749,51,0.23276406526565552,0.2297794222831726,0.28492647409439087,0.2720588445663452,0.2138480395078659,51,0.23592661321163177,0.240196093916893,0.3174019753932953,0.22855393588542938,0.24938726425170898,51,0.24351675808429718,0.2242647111415863,0.23039215803146362,0.2959558963775635,0.2984068691730499,51,0.23276406526565552,0.22610294818878174,0.2610294222831726,0.21446079015731812,2.8765337467193604,0.5013960599899292,0.10267318785190582,0.35899418592453003,0.0009032782400026917,0.0,0.0,2.8715596199035645,0.5038179159164429,0.10068739205598831,0.35737186670303345,0.0022164664696902037,0.0,2.8740947246551514,0.5042426586151123,0.10140084475278854,0.35803037881851196,0.0008521609706804156,0.0,2.902907609939575,0.5017688274383545,0.10074030607938766,0.3576131761074066,0.0017785794334486127,0.0,2.8882710933685303,0.5032567977905273,0.10131944715976715,0.35743966698646545,0.002029318595305085,0.0,2.9171597957611084,0.5051026344299316,0.10047544538974762,0.3550048768520355,0.002623914275318384
8,0.6825971826910973,0.0189208984375,0.0037353516490838956,0.4147984301671386,0.6825971826910973,0.382080078125,0.02964538207743317,0.1096487115137279,0.05531536915805191,3.324866198003292,0.756456745788455,0.1187744140625,3.6856456731015896e-07,-0.021892662945901975,27.682804822921753,5.0038657784461975,-0.6841681599617004,0.6368959657847881,0.485747461207211,0.7049888391047716,0.3179888315498829,0.33503052685409784,0.634455319494009,0.31227996572852135,0.481849892064929,0.7246262989938259,0.4602423030883074,0.756456745788455,0.794599924236536,0.41094549652189016,0.7527383361011744,0.9999985322356224,0.9999511726200581,0.2353515625,0.2315673828125,0.2822265625,0.2508544921875,0.23601309955120087,0.23317308723926544,52,0.23449131846427917,0.2397836595773697,0.2554086744785309,0.27163463830947876,0.21078431606292725,51,0.23339657485485077,0.24754902720451355,0.2659313678741455,0.2757353186607361,0.2083333432674408,51,0.23339657485485077,0.2395833432674408,0.31433823704719543,0.23774510622024536,0.23223039507865906,51,0.23845666646957397,0.24877451360225677,0.23774510622024536,0.28125,0.29473039507865906,51,0.24035419523715973,0.20098039507865906,0.26776960492134094,0.23651961982250214,2.9061660766601562,0.5031051635742188,0.10140697658061981,0.35860052704811096,0.0017845379188656807,0.0,0.0,2.8772895336151123,0.5038174390792847,0.09948592633008957,0.35695692896842957,0.002026170026510954,0.0,2.8738293647766113,0.5035671591758728,0.10066279768943787,0.3571017384529114,0.0007877853931859136,0.0,2.898683547973633,0.5038121938705444,0.10082779824733734,0.3581724166870117,0.0014487841399386525,0.0,2.9035403728485107,0.5043630599975586,0.10016132891178131,0.35602039098739624,0.0013963395031169057,0.0,2.90559720993042,0.503419041633606,0.10146506130695343,0.3560064733028412,0.0017988798208534718
9,0.6742523889988661,0.0186767578125,0.0035888672719011083,0.4182509956881404,0.6742523889988661,0.37237548828125,0.032836348516866565,0.10691965906880796,0.06208394910208881,3.2053069472312927,0.7576736621558666,0.11871337890625,2.8514363776821483e-06,-0.024107918317895383,27.000682473182678,5.003978103399277,-0.6841292977333069,0.6289161238819361,0.47809761110693216,0.6867988780140877,0.30740895960479975,0.3243753341957927,0.630069199949503,0.28644827473908663,0.4842685703188181,0.7220280896872282,0.45431903563439846,0.7576736621558666,0.794705469161272,0.40505481231957674,0.7454893589019775,0.999988803640008,0.999853515997529,0.2235107421875,0.234375,0.2899169921875,0.252197265625,0.23689515888690948,0.23377405107021332,52,0.23511165380477905,0.22355769574642181,0.29266828298568726,0.25,0.2598039209842682,51,0.23529410362243652,0.2297794222831726,0.2616421580314636,0.24877451360225677,0.23161765933036804,51,0.23908917605876923,0.2248774617910385,0.30024510622024536,0.24325981736183167,0.24877451360225677,51,0.23592661321163177,0.23284314572811127,0.22610294818878174,0.2922794222831726,0.3026960790157318,51,0.23908917605876923,0.20649510622024536,0.22058823704719543,0.2702206075191498,2.8860201835632324,0.5065656900405884,0.10069364309310913,0.3578404188156128,0.0018020451534539461,0.0,0.0,2.8842644691467285,0.5055943727493286,0.10006707906723022,0.3579188585281372,0.001705503324046731,0.0,2.871677875518799,0.5070208311080933,0.09901497513055801,0.35657936334609985,0.001467476598918438,0.0,2.9002561569213867,0.5046536326408386,0.10108780115842819,0.3586035370826721,0.0019182937685400248,0.0,2.8899405002593994,0.5042759776115417,0.1008722111582756,0.3573560416698456,0.0014993236400187016,0.0,2.89308500289917,0.5060009360313416,0.10203813761472702,0.3582804501056671,0.0013890927657485008
