iteration,reward,done_rate,edge_reset_rate,vx_err,weighted_metric_reward,selector_reference_penalty,orientation_penalty,slip_penalty,lateral_velocity_penalty,lateral_position_penalty,clearance_reward,gait_switch_penalty,action_boundary_penalty,policy_loss,value_loss,entropy,adaptation_loss,alpha,z_teacher_mean,z_teacher_std,z_student_mean,z_student_std,z_error,log_std_mean,score_progress,score_yaw_tracking,score_orientation,score_pitch_rate,score_roll_rate,score_yaw_rate,score_lateral_drift,score_vertical_bounce,score_slip,score_energy,score_clearance,score_gait_stability,score_action_smoothness,score_action_magnitude,score_action_boundary_margin,score_survival,gait_pronk_ratio,gait_trot_ratio,gait_bound_ratio,gait_pace_ratio,gait_switch_rate,flat_trot_efficiency_trot_ratio,flat_trot_efficiency_count,flat_trot_efficiency_gait_switch_rate,flat_trot_efficiency_pronk_ratio,flat_trot_efficiency_bound_ratio,flat_trot_efficiency_pace_ratio,ramp_up_trot_robustness_trot_ratio,ramp_up_trot_robustness_count,ramp_up_trot_robustness_gait_switch_rate,ramp_up_trot_robustness_pronk_ratio,ramp_up_trot_robustness_bound_ratio,ramp_up_trot_robustness_pace_ratio,rough_slope_trot_robustness_trot_ratio,rough_slope_trot_robustness_count,rough_slope_trot_robustness_gait_switch_rate,rough_slope_trot_robustness_pronk_ratio,rough_slope_trot_robustness_bound_ratio,rough_slope_trot_robustness_pace_ratio,push_lateral_pace_recovery_pace_ratio,push_lateral_pace_recovery_count,push_lateral_pace_recovery_gait_switch_rate,push_lateral_pace_recovery_pronk_ratio,push_lateral_pace_recovery_trot_ratio,push_lateral_pace_recovery_bound_ratio,stepping_stones_easy_bound_highspeed_bound_ratio,stepping_stones_easy_bound_highspeed_count,stepping_stones_easy_bound_highspeed_gait_switch_rate,stepping_stones_easy_bound_highspeed_pronk_ratio,stepping_stones_easy_bound_highspeed_trot_ratio,stepping_stones_easy_bound_highspeed_pace_ratio,frequency_mean,duration_mean,footswing_height_mean,stance_width_mean,body_pitch_mean,action_clip_rate,flat_trot_efficiency_action_clip_rate,flat_trot_efficiency_frequency_mean,flat_trot_efficiency_duration_mean,flat_trot_efficiency_footswing_height_mean,flat_trot_efficiency_stance_width_mean,flat_trot_efficiency_body_pitch_mean,ramp_up_trot_robustness_action_clip_rate,ramp_up_trot_robustness_frequency_mean,ramp_up_trot_robustness_duration_mean,ramp_up_trot_robustness_footswing_height_mean,ramp_up_trot_robustness_stance_width_mean,ramp_up_trot_robustness_body_pitch_mean,rough_slope_trot_robustness_action_clip_rate,rough_slope_trot_robustness_frequency_mean,rough_slope_trot_robustness_duration_mean,rough_slope_trot_robustness_footswing_height_mean,rough_slope_trot_robustness_stance_width_mean,rough_slope_trot_robustness_body_pitch_mean,push_lateral_pace_recovery_action_clip_rate,push_lateral_pace_recovery_frequency_mean,push_lateral_pace_recovery_duration_mean,push_lateral_pace_recovery_footswing_height_mean,push_lateral_pace_recovery_stance_width_mean,push_lateral_pace_recovery_body_pitch_mean,stepping_stones_easy_bound_highspeed_action_clip_rate,stepping_stones_easy_bound_highspeed_frequency_mean,stepping_stones_easy_bound_highspeed_duration_mean,stepping_stones_easy_bound_highspeed_footswing_height_mean,stepping_stones_easy_bound_highspeed_stance_width_mean,stepping_stones_easy_bound_highspeed_body_pitch_mean
0,0.6671997308731079,0.0020751953125,0.00014648437718278728,0.4970817072317004,0.6671997308731079,0.3726806640625,0.035192215065762866,0.12406893714796752,0.06825975840911269,1.1961800286852622,0.758954232558608,0.12103271484375,4.807224627256801e-07,0.30080681573599577,29.758468210697174,4.978194236755371,0.0,1.0,nan,nan,nan,nan,nan,-0.6897488236427307,0.553221098612994,0.44555107317864895,0.6785554885864258,0.2941076708957553,0.3152522947639227,0.596052311360836,0.3843874875456095,0.4352861398801906,0.6939795566722751,0.43874647933989763,0.758954232558608,0.7906945701688528,0.4315053066238761,0.7656059488654137,0.9999980926513672,0.999731445685029,0.24365234375,0.25439453125,0.25,0.251953125,0.2260584682226181,0.24338942766189575,52,0.2245657593011856,0.26742789149284363,0.24639424681663513,0.24278846383094788,0.24938726425170898,51,0.22896899282932281,0.23284314572811127,0.27941176295280457,0.23835785686969757,0.25796568393707275,51,0.2277039736509323,0.23590686917304993,0.22120098769664764,0.28492647409439087,0.26776960492134094,51,0.22580644488334656,0.22855393588542938,0.2555147111415863,0.24816177785396576,0.2549019753932953,51,0.22327639162540436,0.25306373834609985,0.2659313678741455,0.22610294818878174,2.8469533920288086,0.5060667395591736,0.09958110004663467,0.35265645384788513,0.0004829060926567763,0.0,0.0,2.8532657623291016,0.5083572864532471,0.10003016144037247,0.3539902865886688,0.0012519952142611146,0.0,2.8391215801239014,0.507085382938385,0.10126341134309769,0.35490119457244873,0.0009932321263477206,0.0,2.8252673149108887,0.5090140104293823,0.10047374665737152,0.35454609990119934,0.0014227281790226698,0.0,2.844758987426758,0.5073807239532471,0.10119345039129257,0.3544786870479584,0.0011162669397890568,0.0,2.8505704402923584,0.5045789480209351,0.1006343886256218,0.3532981276512146,0.0010474228765815496
1,0.6677617747336626,0.0234375,0.004565429746435257,0.45713622495532036,0.6677617747336626,0.37774658203125,0.030361646960955113,0.10692716366611421,0.05111446313094348,3.8014074563980103,0.7807998470962048,0.1195068359375,3.934533408050944e-05,0.32654471695423126,18.594613075256348,4.981319695711136,0.0,1.0,nan,nan,nan,nan,nan,-0.6864438056945801,0.6024094466120005,0.4757239669561386,0.6865270957350731,0.31318508088588715,0.32721798308193684,0.6305387858301401,0.27843852946534753,0.4712010882794857,0.7171543911099434,0.45365317165851593,0.7807998470962048,0.7933333069086075,0.3992358101531863,0.7262874152511358,0.9998574182391167,0.9998779315501451,0.2242431640625,0.259521484375,0.2681884765625,0.248046875,0.23865926265716553,0.24699519574642181,52,0.23945409059524536,0.22055289149284363,0.28485578298568726,0.2475961595773697,0.24938726425170898,51,0.24225172400474548,0.2132353037595749,0.2653186321258545,0.2720588445663452,0.2598039209842682,51,0.23466159403324127,0.2242647111415863,0.28492647409439087,0.23100490868091583,0.21629902720451355,51,0.24225172400474548,0.2395833432674408,0.28860294818878174,0.2555147111415863,0.25,51,0.23466159403324127,0.2236519753932953,0.25306373834609985,0.27328431606292725,2.906524419784546,0.518880307674408,0.10398896783590317,0.35765618085861206,0.001494376570917666,0.0,0.0,2.903639078140259,0.5185349583625793,0.10265281051397324,0.3562123775482178,0.0006722182733938098,0.0,2.8921658992767334,0.5169069766998291,0.1028856635093689,0.3558785915374756,0.0001495125179644674,0.0,2.912344455718994,0.5177446603775024,0.10199539363384247,0.35492974519729614,0.0010743221500888467,0.0,2.921691417694092,0.5178861021995544,0.10129974037408829,0.3540399670600891,-0.0003014415269717574,0.0,2.8977577686309814,0.5145268440246582,0.10348262637853622,0.3565831780433655,0.0004173325723968446
2,0.6690027061849833,0.018798828125,0.0035156250542058842,0.43985031358897686,0.6690027061849833,0.36834716796875,0.035061511560343206,0.11088128061965108,0.062729058903642,3.3537821397185326,0.8108976017683744,0.11865234375,4.87945484550778e-05,0.33034258149564266,25.241750597953796,4.981233566999435,0.0,1.0,nan,nan,nan,nan,nan,-0.6842314600944519,0.6190795060247183,0.4734258037060499,0.6776007730513811,0.3205757085233927,0.3214674312621355,0.6272378861904144,0.2842646283097565,0.48318339698016644,0.7202806305140257,0.4565824307501316,0.8108976017683744,0.7948110103607178,0.38418087363243103,0.7073350995779037,0.9998181648552418,0.9997558631002903,0.21142578125,0.2254638671875,0.2596435546875,0.303466796875,0.23525704443454742,0.24158655107021332,52,0.2320099174976349,0.21694712340831757,0.24098558723926544,0.30048078298568726,0.23039215803146362,51,0.23845666646957397,0.2132353037595749,0.2757353186607361,0.280637264251709,0.24203431606292725,51,0.23782415688037872,0.2132353037595749,0.25183823704719543,0.2928921580314636,0.3229166865348816,51,0.23276406526565552,0.2077205926179886,0.2193627506494522,0.25,0.28002452850341797,51,0.23529410362243652,0.20588235557079315,0.1936274617910385,0.32046568393707275,2.8555989265441895,0.5057449340820312,0.10638514161109924,0.35552313923835754,-0.007192607503384352,0.0,0.0,2.8554859161376953,0.5072531700134277,0.10345087200403214,0.3515612781047821,-0.006724245380610228,0.0,2.864330291748047,0.5046287178993225,0.10438570380210876,0.3514127731323242,-0.007084620650857687,0.0,2.8618242740631104,0.5055797696113586,0.10382543504238129,0.3511943221092224,-0.008163840509951115,0.0,2.8499538898468018,0.5059162974357605,0.10558193922042847,0.35387855768203735,-0.006106366403400898,0.0,2.8523354530334473,0.5041148066520691,0.10714296996593475,0.354520708322525,-0.008379828184843063
3,0.6689839251339436,0.0155029296875,0.003027343802386895,0.4196293782442808,0.6689839251339436,0.3699951171875,0.02993772702757269,0.11259520496241748,0.05866233340930194,3.19272530823946,0.8116561658680439,0.11834716796875,7.190497419440334e-05,0.2885782103985548,27.9677734375,4.987105756998062,0.0,1.0,nan,nan,nan,nan,nan,-0.6819791793823242,0.6267774812877178,0.47394449915736914,0.6888418644666672,0.32098720222711563,0.3194805895909667,0.6254072301089764,0.2837263965047896,0.48733040131628513,0.7072144560515881,0.4535020114853978,0.8116561658680439,0.79533876106143,0.3740543043240905,0.6903732363134623,0.9997436981648207,0.9999267589300871,0.19091796875,0.270263671875,0.2391357421875,0.2996826171875,0.2363911271095276,0.262620210647583,52,0.2363523542881012,0.18810096383094788,0.23076924681663513,0.31850963830947876,0.2757353186607361,51,0.23402908444404602,0.17463235557079315,0.2647058963775635,0.28492647409439087,0.2555147111415863,51,0.24161921441555023,0.2077205926179886,0.24632354080677032,0.2904411852359772,0.3008578419685364,51,0.23529410362243652,0.1770833432674408,0.27328431606292725,0.24877451360225677,0.20526961982250214,51,0.23466159403324127,0.20710785686969757,0.28431373834609985,0.3033088445663452,2.8701701164245605,0.510997474193573,0.10564793646335602,0.3534250557422638,-0.006448742933571339,0.0,0.0,2.862668752670288,0.5127024054527283,0.1045815646648407,0.3528764545917511,-0.00626896508038044,0.0,2.8991730213165283,0.5116065740585327,0.10505077987909317,0.3529738485813141,-0.007356812246143818,0.0,2.8936612606048584,0.5114629864692688,0.1048835888504982,0.3521186411380768,-0.006008597556501627,0.0,2.8880090713500977,0.5099219083786011,0.10518955439329147,0.3525802791118622,-0.0071740164421498775,0.0,2.8718860149383545,0.511009693145752,0.10496386885643005,0.3511906564235687,-0.006632276810705662
4,0.6610844917595387,0.0206298828125,0.003955078182116267,0.44861903600394726,0.6610844917595387,0.36749267578125,0.03360606404021382,0.1166255958378315,0.0597673524171114,3.3815680146217346,0.8156987987458706,0.11865234375,5.094126146529878e-05,0.34977576695382595,35.98636531829834,4.98795410990715,0.0,1.0,nan,nan,nan,nan,nan,-0.6798961162567139,0.6053410582244396,0.46387089043855667,0.6829138789325953,0.32006682734936476,0.31252277735620737,0.6151850763708353,0.2865814440883696,0.47913545090705156,0.7035177741199732,0.44753744825720787,0.8156987987458706,0.7948110103607178,0.3668030006811023,0.6603606771677732,0.9998057372868061,0.9998291041702032,0.20458984375,0.2703857421875,0.22705078125,0.2979736328125,0.23954132199287415,0.28485578298568726,52,0.23697270452976227,0.2031250149011612,0.2007211595773697,0.31129810214042664,0.25,51,0.22896899282932281,0.2028186321258545,0.2444853037595749,0.3026960790157318,0.27818629145622253,51,0.23845666646957397,0.21446079015731812,0.2138480395078659,0.293504923582077,0.2757353186607361,51,0.24794432520866394,0.21568627655506134,0.26776960492134094,0.24080882966518402,0.23590686917304993,51,0.24541428685188293,0.18688726425170898,0.2708333432674408,0.3063725531101227,2.9111924171447754,0.503325343132019,0.10687444359064102,0.35342705249786377,-0.008466389030218124,0.0,0.0,2.908000946044922,0.505851149559021,0.10392331331968307,0.3502962589263916,-0.00822069589048624,0.0,2.911665439605713,0.5025497674942017,0.10554616898298264,0.35134726762771606,-0.008989918977022171,0.0,2.907863140106201,0.5010018944740295,0.10464685410261154,0.349897176027298,-0.008032701909542084,0.0,2.926487445831299,0.501491129398346,0.10525116324424744,0.3501904308795929,-0.008106564171612263,0.0,2.917099952697754,0.4998238682746887,0.10693813860416412,0.3519831895828247,-0.007326879538595676
5,0.6535948012024164,0.0205078125,0.003955078207582119,0.45065134670585394,0.6535948012024164,0.37176513671875,0.03507863020058721,0.11585441371425986,0.06182674237061292,3.3088309466838837,0.837965315207839,0.11798095703125,0.0007583624383187271,0.3443727195262909,33.8108845949173,4.982052952051163,0.0,1.0,nan,nan,nan,nan,nan,-0.6774150729179382,0.6054486744105816,0.45359539426863194,0.6731946561485529,0.3152197636663914,0.3140859743580222,0.6073131449520588,0.2857383992522955,0.48285307083278894,0.7016979102045298,0.44397112634032965,0.837965315207839,0.7959720604121685,0.367907895706594,0.5483266245573759,0.9972435440868139,0.9998535178601742,0.1881103515625,0.2637939453125,0.2506103515625,0.2974853515625,0.23702116310596466,0.25661057233810425,52,0.23511165380477905,0.1875,0.2680288553237915,0.28786060214042664,0.2555147111415863,51,0.23719164729118347,0.19669118523597717,0.2242647111415863,0.3235294222831726,0.2665441334247589,51,0.23529410362243652,0.17585784196853638,0.27757352590560913,0.28002452850341797,0.2855392396450043,51,0.23782415688037872,0.19730393588542938,0.25245100259780884,0.2647058963775635,0.21813726425170898,51,0.23972168564796448,0.18321079015731812,0.2879902124404907,0.31066176295280457,2.952842950820923,0.5074438452720642,0.10799583047628403,0.348034530878067,-0.017446422949433327,0.0,0.0,2.9543020725250244,0.5085552334785461,0.10689380019903183,0.3487928509712219,-0.016456404700875282,0.0,2.9322621822357178,0.5064079761505127,0.106827013194561,0.348952054977417,-0.01713024452328682,0.0,2.960909128189087,0.5073687434196472,0.1073436364531517,0.34813392162323,-0.016503766179084778,0.0,2.9552230834960938,0.504990816116333,0.10690005123615265,0.34806013107299805,-0.015017764642834663,0.0,2.9458887577056885,0.5025638937950134,0.1072244718670845,0.3471199572086334,-0.01543131098151207
6,0.657915523275733,0.0189208984375,0.00356445317993348,0.43881209287792444,0.657915523275733,0.34814453125,0.03605246089864522,0.11350733763538301,0.05616247234866023,3.2920715361833572,0.818640299141407,0.1177978515625,0.0008464904353218117,0.329563619568944,27.80682349205017,4.949050486087799,0.0,1.0,nan,nan,nan,nan,nan,-0.6751968264579773,0.6204274166375399,0.4622048158198595,0.6783216819167137,0.31454000901430845,0.30941623263061047,0.6149517688900232,0.2927127229049802,0.49866451509296894,0.7069681622087955,0.4423139411956072,0.818640299141407,0.7962887138128281,0.35158063285052776,0.5576284993439913,0.9969976395368576,0.9997802767902613,0.16748046875,0.3375244140625,0.242431640625,0.2525634765625,0.2353830635547638,0.32151442766189575,52,0.231389582157135,0.17007212340831757,0.23257212340831757,0.2758413553237915,0.34129902720451355,51,0.2302340269088745,0.1819853037595749,0.23100490868091583,0.24571079015731812,0.3321078419685364,51,0.24098670482635498,0.1660539209842682,0.2702206075191498,0.23161765933036804,0.27818629145622253,51,0.23592661321163177,0.15992647409439087,0.3284313976764679,0.23345589637756348,0.2450980544090271,51,0.23845666646957397,0.15931373834609985,0.3645833432674408,0.23100490868091583,3.0165438652038574,0.49770623445510864,0.10391458868980408,0.3426574468612671,-0.013539673760533333,9.765625145519152e-05,0.0,2.9870221614837646,0.49859145283699036,0.10550243407487869,0.3470520079135895,-0.013606167398393154,0.0,2.9928770065307617,0.49794596433639526,0.10469665378332138,0.34461474418640137,-0.012402716092765331,0.0004901961074210703,3.0130977630615234,0.4949793815612793,0.10582765191793442,0.34646129608154297,-0.013146503828465939,0.0,2.9807567596435547,0.49510636925697327,0.10585259646177292,0.3469104468822479,-0.013139171525835991,0.0,3.0143392086029053,0.49272456765174866,0.10557655990123749,0.3446791470050812,-0.012921090237796307
7,0.6593609042465687,0.019287109375,0.0036621094441215973,0.42843938153237104,0.6593609042465687,0.34332275390625,0.03172697441186756,0.11732459627091885,0.0546071840217337,3.269049718976021,0.8134490270167589,0.11541748046875,0.0011012241302523762,0.29185253381729126,25.244922161102295,4.920352011919022,0.0,1.0,nan,nan,nan,nan,nan,-0.673075258731842,0.6301235780119896,0.46773022785782814,0.6969452928751707,0.33459351025521755,0.32165657728910446,0.6215133983641863,0.2960639735683799,0.5081275058910251,0.7152379341423512,0.4399778824299574,0.8134490270167589,0.8004051577299833,0.33686525374650955,0.5166060458868742,0.9960003420710564,0.9998046904802322,0.1658935546875,0.3623046875,0.21923828125,0.2525634765625,0.23462700843811035,0.3509615659713745,52,0.2388337403535843,0.18389423191547394,0.1977163553237915,0.26742789149284363,0.3658088445663452,51,0.23402908444404602,0.16911765933036804,0.21200981736183167,0.25306373834609985,0.3700980544090271,51,0.23086653649806976,0.14767158031463623,0.23100490868091583,0.2512255012989044,0.24325981736183167,51,0.23149904608726501,0.16482843458652496,0.37193629145622253,0.21997550129890442,0.23590686917304993,51,0.23782415688037872,0.16360294818878174,0.3529411852359772,0.24754902720451355,3.020756721496582,0.47531288862228394,0.10566189885139465,0.35122519731521606,-0.01343697402626276,0.0,0.0,3.017115831375122,0.4784395396709442,0.10491135716438293,0.34962546825408936,-0.013434295542538166,0.0,3.0165059566497803,0.4758051931858063,0.10421168804168701,0.34908154606819153,-0.012781644240021706,0.0,3.032245635986328,0.47762858867645264,0.10495001077651978,0.3502129018306732,-0.01351823378354311,0.0,3.026916027069092,0.4755096733570099,0.10526274144649506,0.3487987518310547,-0.012235389091074467,0.0,3.0361275672912598,0.4721965491771698,0.10604706406593323,0.3501855432987213,-0.012969748117029667
8,0.6644816379994154,0.0201416015625,0.0039306641556322575,0.41497733909636736,0.6644816379994154,0.34625244140625,0.029175662144552916,0.11388776311650872,0.05654260702431202,3.307835429906845,0.7814078107476234,0.115478515625,0.0005197898286724012,0.31775004230439663,23.19340741634369,4.881601810455322,0.0,1.0,nan,nan,nan,nan,nan,-0.6711412072181702,0.6376857403665781,0.4714516308158636,0.704738711938262,0.3451130697503686,0.32111199852079153,0.6231301408261061,0.2968858936801553,0.5096563287079334,0.7130666561424732,0.4509470546618104,0.7814078107476234,0.8002996183931828,0.30245279520750046,0.5954676661640406,0.9981417413800955,0.9999023452401161,0.1414794921875,0.3701171875,0.201171875,0.2872314453125,0.23311491310596466,0.3617788553237915,52,0.23325061798095703,0.17247596383094788,0.19230769574642181,0.2734375,0.3700980544090271,51,0.23213155567646027,0.1409313827753067,0.21691177785396576,0.2720588445663452,0.34681373834609985,51,0.23402908444404602,0.12745098769664764,0.2242647111415863,0.3014706075191498,0.2824755012989044,51,0.23655913770198822,0.1458333432674408,0.374387264251709,0.19730393588542938,0.17524510622024536,51,0.22960150241851807,0.1200980469584465,0.39767158031463623,0.3069853186607361,2.9720664024353027,0.4772548973560333,0.10334600508213043,0.35343706607818604,-0.010361718013882637,0.0,0.0,2.977222204208374,0.47957903146743774,0.10134373605251312,0.3511020243167877,-0.010884088464081287,0.0,2.977935314178467,0.4786697030067444,0.10226806998252869,0.35226747393608093,-0.011276393197476864,0.0,2.9702041149139404,0.48103395104408264,0.10321024805307388,0.35389238595962524,-0.011402578093111515,0.0,2.9694676399230957,0.4755760729312897,0.1026843786239624,0.35173019766807556,-0.010180431418120861,0.0,2.962744951248169,0.472143292427063,0.10307960957288742,0.35217031836509705,-0.011140313930809498
9,0.6562767922878265,0.019287109375,0.0036621094586735126,0.43624192755669355,0.6562767922878265,0.33721923828125,0.03399757738225162,0.12610869971103966,0.05902491509914398,3.629101887345314,0.7671374659985304,0.1142578125,0.00046971421664920854,0.284087298437953,22.5763418674469,4.842329919338226,0.0,1.0,nan,nan,nan,nan,nan,-0.6694256067276001,0.6230218540877104,0.4640668611973524,0.6915200464427471,0.34493140410631895,0.31765567045658827,0.6157200057059526,0.2739467001520097,0.5012050336226821,0.7127777598798275,0.44939848966896534,0.7671374659985304,0.8024106025695801,0.296004943549633,0.5903412494808435,0.9983064252883196,0.9998046904802322,0.14453125,0.4091796875,0.1629638671875,0.2833251953125,0.23298890888690948,0.40985578298568726,52,0.23945409059524536,0.16286058723926544,0.14362981915473938,0.2836538553237915,0.41482844948768616,51,0.22960150241851807,0.1354166716337204,0.18075981736183167,0.26899510622024536,0.405637264251709,51,0.23086653649806976,0.15625,0.16482843458652496,0.27328431606292725,0.2591911852359772,51,0.23466159403324127,0.15012255311012268,0.4013480544090271,0.18933823704719543,0.13664215803146362,51,0.2302340269088745,0.11764706671237946,0.41421571373939514,0.33149510622024536,2.9851033687591553,0.48194998502731323,0.1015225499868393,0.34925371408462524,-0.0122307687997818,0.0,0.0,2.9773507118225098,0.48435884714126587,0.10014072060585022,0.34966015815734863,-0.013657422736287117,0.0,2.976740837097168,0.4849778115749359,0.10102618485689163,0.34948670864105225,-0.012269475497305393,0.0,2.9820032119750977,0.4848286807537079,0.10072564333677292,0.3501814007759094,-0.013734633103013039,0.0,2.9857287406921387,0.48005548119544983,0.10165474563837051,0.3497861325740814,-0.012425270862877369,0.0,2.9471185207366943,0.47875192761421204,0.10333181172609329,0.34965118765830994,-0.012389845214784145
