iteration,reward,done_rate,edge_reset_rate,vx_err,weighted_metric_reward,selector_reference_penalty,orientation_penalty,slip_penalty,lateral_velocity_penalty,lateral_position_penalty,clearance_reward,gait_switch_penalty,action_boundary_penalty,policy_loss,value_loss,entropy,adaptation_loss,alpha,z_teacher_mean,z_teacher_std,z_student_mean,z_student_std,z_error,log_std_mean,score_progress,score_yaw_tracking,score_orientation,score_pitch_rate,score_roll_rate,score_yaw_rate,score_lateral_drift,score_vertical_bounce,score_slip,score_energy,score_clearance,score_gait_stability,score_action_smoothness,score_action_magnitude,score_action_boundary_margin,score_survival,gait_pronk_ratio,gait_trot_ratio,gait_bound_ratio,gait_pace_ratio,gait_switch_rate,flat_trot_efficiency_trot_ratio,flat_trot_efficiency_count,flat_trot_efficiency_gait_switch_rate,flat_trot_efficiency_pronk_ratio,flat_trot_efficiency_bound_ratio,flat_trot_efficiency_pace_ratio,ramp_up_trot_robustness_trot_ratio,ramp_up_trot_robustness_count,ramp_up_trot_robustness_gait_switch_rate,ramp_up_trot_robustness_pronk_ratio,ramp_up_trot_robustness_bound_ratio,ramp_up_trot_robustness_pace_ratio,rough_slope_trot_robustness_trot_ratio,rough_slope_trot_robustness_count,rough_slope_trot_robustness_gait_switch_rate,rough_slope_trot_robustness_pronk_ratio,rough_slope_trot_robustness_bound_ratio,rough_slope_trot_robustness_pace_ratio,push_lateral_pace_recovery_pace_ratio,push_lateral_pace_recovery_count,push_lateral_pace_recovery_gait_switch_rate,push_lateral_pace_recovery_pronk_ratio,push_lateral_pace_recovery_trot_ratio,push_lateral_pace_recovery_bound_ratio,stepping_stones_easy_bound_highspeed_bound_ratio,stepping_stones_easy_bound_highspeed_count,stepping_stones_easy_bound_highspeed_gait_switch_rate,stepping_stones_easy_bound_highspeed_pronk_ratio,stepping_stones_easy_bound_highspeed_trot_ratio,stepping_stones_easy_bound_highspeed_pace_ratio,frequency_mean,duration_mean,footswing_height_mean,stance_width_mean,body_pitch_mean,action_clip_rate,flat_trot_efficiency_action_clip_rate,flat_trot_efficiency_frequency_mean,flat_trot_efficiency_duration_mean,flat_trot_efficiency_footswing_height_mean,flat_trot_efficiency_stance_width_mean,flat_trot_efficiency_body_pitch_mean,ramp_up_trot_robustness_action_clip_rate,ramp_up_trot_robustness_frequency_mean,ramp_up_trot_robustness_duration_mean,ramp_up_trot_robustness_footswing_height_mean,ramp_up_trot_robustness_stance_width_mean,ramp_up_trot_robustness_body_pitch_mean,rough_slope_trot_robustness_action_clip_rate,rough_slope_trot_robustness_frequency_mean,rough_slope_trot_robustness_duration_mean,rough_slope_trot_robustness_footswing_height_mean,rough_slope_trot_robustness_stance_width_mean,rough_slope_trot_robustness_body_pitch_mean,push_lateral_pace_recovery_action_clip_rate,push_lateral_pace_recovery_frequency_mean,push_lateral_pace_recovery_duration_mean,push_lateral_pace_recovery_footswing_height_mean,push_lateral_pace_recovery_stance_width_mean,push_lateral_pace_recovery_body_pitch_mean,stepping_stones_easy_bound_highspeed_action_clip_rate,stepping_stones_easy_bound_highspeed_frequency_mean,stepping_stones_easy_bound_highspeed_duration_mean,stepping_stones_easy_bound_highspeed_footswing_height_mean,stepping_stones_easy_bound_highspeed_stance_width_mean,stepping_stones_easy_bound_highspeed_body_pitch_mean
0,0.7155692912638187,0.002197265625,9.765625145519152e-05,0.455189723521471,0.7155692912638187,0.38165283203125,0.03315661878878018,0.12134953070199117,0.06627387268235907,1.2566200492716249,0.7447108123451471,0.12030029296875,2.8658673727477435e-06,-0.02348345227073878,36.02745175361633,4.977417588233948,0.03976615041028708,1.0,-0.035214342176914215,0.10372107475996017,-0.0357290618121624,0.1406407505273819,0.015801740810275078,-0.6934375762939453,0.5836356673389673,0.449337936937809,0.6954049654304981,0.3109658854082227,0.31414428213611245,0.6019100109115243,0.3829518174752593,0.4283636831023614,0.6984499143436551,0.44335732236504555,0.7447108123451471,0.7919611763209105,0.42857949482277036,0.769873570650816,0.9999888278543949,0.9996582046151161,0.2794189453125,0.23095703125,0.224853515625,0.2647705078125,0.22379031777381897,0.23798078298568726,52,0.2245657593011856,0.2608173191547394,0.24879808723926544,0.2524038553237915,0.21568627655506134,51,0.22201137244701385,0.28002452850341797,0.2444853037595749,0.2598039209842682,0.2242647111415863,51,0.22201137244701385,0.2763480544090271,0.2352941334247589,0.26409316062927246,0.28860294818878174,51,0.2277039736509323,0.27818629145622253,0.2549019753932953,0.17830882966518402,0.21691177785396576,51,0.2226438820362091,0.3020833432674408,0.22181373834609985,0.2591911852359772,2.9162964820861816,0.5088101625442505,0.09939099103212357,0.35061144828796387,0.003487887093797326,0.0,0.0,2.898447036743164,0.5065819025039673,0.100114606320858,0.3528425693511963,0.002899537794291973,0.0,2.9074480533599854,0.5079591274261475,0.10022260993719101,0.3530878722667694,0.0025365727487951517,0.0,2.8977067470550537,0.5066870450973511,0.09993317723274231,0.352792352437973,0.0024693470913916826,0.0,2.876802682876587,0.5068343281745911,0.098455511033535,0.3511279225349426,0.0030044913291931152,0.0,2.907813310623169,0.5065085887908936,0.09914787858724594,0.3513369560241699,0.003317826660349965
1,0.7219620998948812,0.0245361328125,0.004638671945940587,0.4192603724077344,0.7219620998948812,0.38604736328125,0.026945665304083377,0.09776426665484905,0.05236131406854838,3.313166532665491,0.7335667796432972,0.11932373046875,0.0,-0.01843783908407204,20.201685428619385,4.971105486154556,0.013219176034908742,1.0,-0.03473877161741257,0.1025729551911354,-0.03778968006372452,0.12841320037841797,0.009481078013777733,-0.6930974125862122,0.6315497122704983,0.4912436194717884,0.710609083995223,0.32905951142311096,0.33154594246298075,0.6443368699401617,0.30693162931129336,0.4520933208987117,0.7272310815751553,0.4653342766687274,0.7335667796432972,0.7936499621719122,0.4254235187545419,0.7704349514096975,1.0,0.9997314494103193,0.30126953125,0.2220458984375,0.21435546875,0.2623291015625,0.23891128599643707,0.24098558723926544,52,0.23759305477142334,0.27163463830947876,0.22355769574642181,0.26382213830947876,0.21752451360225677,51,0.23845666646957397,0.2959558963775635,0.21262255311012268,0.27389708161354065,0.22671569883823395,51,0.23655913770198822,0.31066176295280457,0.21568627655506134,0.24693627655506134,0.2591911852359772,51,0.24035419523715973,0.31495100259780884,0.20098039507865906,0.2248774617910385,0.19485294818878174,51,0.24161921441555023,0.3137255012989044,0.2236519753932953,0.26776960492134094,2.8975439071655273,0.5054509043693542,0.09754340350627899,0.3512921929359436,0.0011152271181344986,0.0,0.0,2.8874027729034424,0.5053412914276123,0.09920670837163925,0.35350969433784485,0.0019749230705201626,0.0,2.889252185821533,0.5067393779754639,0.09921975433826447,0.3529277741909027,0.001248038373887539,0.0,2.8930299282073975,0.5044814944267273,0.09810787439346313,0.3514711856842041,0.0008980506681837142,0.0,2.896841049194336,0.5084388256072998,0.09869972616434097,0.3525174558162689,0.0017551572527736425,0.0,2.8950018882751465,0.5101646780967712,0.09818244725465775,0.3512180745601654,0.001978321699425578
2,0.715887563303113,0.0184326171875,0.003540039144354523,0.40183975361287594,0.715887563303113,0.38079833984375,0.0292877615429461,0.10913691530004144,0.05651464394759387,3.521262548863888,0.7346666511148214,0.11767578125,4.2673131250836605e-08,-0.013860385428415611,28.312358736991882,4.972005516290665,0.008230609149904922,1.0,-0.03449461609125137,0.10269712656736374,-0.033043310046195984,0.11414909362792969,0.006909039802849293,-0.6925522685050964,0.6424744483083487,0.4857561094686389,0.6986012626439333,0.32883348409086466,0.3269075630232692,0.6364146526902914,0.26748279947787523,0.45810495503246784,0.7172930669039488,0.4655236955732107,0.7346666511148214,0.7964998055249453,0.4263686751946807,0.7697883788496256,0.9999998286366463,0.9998535178601742,0.2947998046875,0.2271728515625,0.215576171875,0.262451171875,0.23412297666072845,0.23016828298568726,52,0.23449131846427917,0.2962740361690521,0.22956731915473938,0.24399039149284363,0.2193627506494522,51,0.23402908444404602,0.29534316062927246,0.2248774617910385,0.2604166865348816,0.24387255311012268,51,0.23719164729118347,0.30453431606292725,0.2077205926179886,0.24387255311012268,0.30024510622024536,51,0.22833648324012756,0.280637264251709,0.20220589637756348,0.21691177785396576,0.1985294222831726,51,0.23655913770198822,0.2971813976764679,0.240196093916893,0.26409316062927246,2.9001448154449463,0.5086426138877869,0.09918485581874847,0.35363155603408813,0.0025488873943686485,0.0,0.0,2.89098858833313,0.5069499015808105,0.09869208186864853,0.35281604528427124,0.0024978192523121834,0.0,2.8970417976379395,0.5071302056312561,0.09870514273643494,0.35274162888526917,0.001536944299004972,0.0,2.8979697227478027,0.5063607692718506,0.09797848016023636,0.3516799509525299,0.0022249240428209305,0.0,2.8605809211730957,0.5073895454406738,0.10014650225639343,0.35422492027282715,0.0016776195261627436,0.0,2.8973474502563477,0.5099836587905884,0.0983460396528244,0.35156309604644775,0.0022419197484850883
3,0.7171785272657871,0.0185546875,0.003491211016807938,0.417706317268312,0.7171785272657871,0.38818359375,0.0286434551817365,0.10492374282330275,0.05537244735751301,3.29305712133646,0.7345363143831491,0.11956787109375,1.163311069696249e-06,-0.017975785332964733,34.280506014823914,4.970075756311417,0.006630693300394341,1.0,-0.03472692519426346,0.10292588174343109,-0.03433562070131302,0.10952915251255035,0.0057774200104177,-0.6918345093727112,0.628828002139926,0.48277578596025705,0.6993972864001989,0.32290108874440193,0.32806253898888826,0.6352924462407827,0.3032426116988063,0.4529687240719795,0.7133443243801594,0.45805936492979527,0.7345363143831491,0.7932277582585812,0.42059951834380627,0.7658131159842014,0.9999954029917717,0.9997802767902613,0.298095703125,0.21875,0.2266845703125,0.2564697265625,0.23689515888690948,0.20252405107021332,52,0.23573200404644012,0.2884615361690521,0.23497596383094788,0.2740384638309479,0.22549019753932953,51,0.23529410362243652,0.2824755012989044,0.240196093916893,0.25183823704719543,0.2340686321258545,51,0.23466159403324127,0.2984068691730499,0.2034313827753067,0.26409316062927246,0.2389705926179886,51,0.24098670482635498,0.30882352590560913,0.21507354080677032,0.23713235557079315,0.21752451360225677,51,0.23782415688037872,0.3125,0.21691177785396576,0.25306373834609985,2.8670270442962646,0.5086219310760498,0.0988968163728714,0.3523087501525879,0.001909042475745082,0.0,0.0,2.8753883838653564,0.5054956674575806,0.09931467473506927,0.3543940484523773,0.002603663830086589,0.0,2.8873631954193115,0.5055023431777954,0.09923148900270462,0.35289689898490906,0.001620560884475708,0.0,2.879058361053467,0.5062555074691772,0.09790440648794174,0.3519251346588135,0.002111567882820964,0.0,2.9006872177124023,0.508857786655426,0.09885071963071823,0.3518272638320923,0.002028227085247636,0.0,2.8890976905822754,0.5089429616928101,0.09850241243839264,0.35152044892311096,0.003298731055110693
4,0.7180306278169155,0.018310546875,0.003417968850044417,0.4062216002494097,0.7180306278169155,0.38323974609375,0.028740191482938826,0.10555646801367402,0.05355679022613913,3.305253751575947,0.7342308908700943,0.117431640625,1.2330649212799472e-07,-0.011549726186785847,39.42536401748657,4.970578372478485,0.005783862230600789,1.0,-0.03473750501871109,0.10315293073654175,-0.03404701501131058,0.10630001127719879,0.005247496999800205,-0.6914860606193542,0.6390645150095224,0.4838610766455531,0.703611982986331,0.3301856042817235,0.32210220769047737,0.6355099603533745,0.2852529529482126,0.46279617212712765,0.7193010523915291,0.46186134684830904,0.7342308908700943,0.7969220131635666,0.4216186599805951,0.7673594206571579,0.9999995082616806,0.9997558631002903,0.280029296875,0.22802734375,0.2010498046875,0.2908935546875,0.23513104021549225,0.2187500149011612,52,0.23263026773929596,0.2475961595773697,0.22716346383094788,0.30649039149284363,0.25245100259780884,51,0.23466159403324127,0.26286765933036804,0.2077205926179886,0.2769607901573181,0.2291666716337204,51,0.23655913770198822,0.31617647409439087,0.16421569883823395,0.2904411852359772,0.28125,51,0.23972168564796448,0.28860294818878174,0.21078431606292725,0.2193627506494522,0.18627451360225677,51,0.23213155567646027,0.2855392396450043,0.2291666716337204,0.29901960492134094,2.882183074951172,0.5047036409378052,0.09819039702415466,0.3531653881072998,0.0026611180510371923,0.0,0.0,2.8566367626190186,0.5065081119537354,0.10033570230007172,0.35533300042152405,0.002545788884162903,0.0,2.8752622604370117,0.5041921734809875,0.0980505496263504,0.3533209264278412,0.0024726339615881443,0.0,2.8711578845977783,0.5062258243560791,0.09729410707950592,0.3518597185611725,0.002560478402301669,0.0,2.878638982772827,0.5051591396331787,0.09894637763500214,0.3533068001270294,0.00196903757750988,0.0,2.879913330078125,0.5083185434341431,0.09903428703546524,0.35272136330604553,0.002047093352302909
5,0.716421464458108,0.017822265625,0.003417968817302608,0.4016986805945635,0.716421464458108,0.3814697265625,0.02924791706027463,0.102462102426216,0.05709748552180827,3.419935032725334,0.7268411573022604,0.11724853515625,3.170196061219599e-07,-0.02074386613094248,40.811493158340454,4.968399912118912,0.004953497118549421,1.0,-0.03473363816738129,0.10299950838088989,-0.03468941152095795,0.10329797863960266,0.004461152013391256,-0.6911898851394653,0.6422119978815317,0.47803291119635105,0.7006867174059153,0.3360401727259159,0.33453632704913616,0.631773317232728,0.2760480083525181,0.46458121202886105,0.7206264287233353,0.46737971901893616,0.7268411573022604,0.7972386609762907,0.4176316671073437,0.7630292717367411,0.9999987371265888,0.9998535178601742,0.2803955078125,0.2437744140625,0.19677734375,0.279052734375,0.23462700843811035,0.22956731915473938,52,0.23759305477142334,0.26442307233810425,0.21935096383094788,0.2866586744785309,0.24816177785396576,51,0.23466159403324127,0.28982844948768616,0.18566177785396576,0.2763480544090271,0.24325981736183167,51,0.2251739352941513,0.2818627655506134,0.1875,0.2873774468898773,0.2708333432674408,51,0.24225172400474548,0.2824755012989044,0.24938726425170898,0.19730393588542938,0.1936274617910385,51,0.23339657485485077,0.28370100259780884,0.24877451360225677,0.27389708161354065,2.8552372455596924,0.5098847150802612,0.09881182014942169,0.3521438241004944,0.0018662877846509218,0.0,0.0,2.8542470932006836,0.5047696828842163,0.099211186170578,0.3530351221561432,0.003379189409315586,0.0,2.8691859245300293,0.5058181285858154,0.09732792526483536,0.35237425565719604,0.003393008839339018,0.0,2.8649208545684814,0.5055141448974609,0.09780622273683548,0.3523516356945038,0.0024830957408994436,0.0,2.864544153213501,0.5066616535186768,0.09775936603546143,0.35195696353912354,0.0018657563487067819,0.0,2.8770487308502197,0.5104929804801941,0.09861091524362564,0.3513758182525635,0.0016190188471227884
6,0.7168816681951284,0.01953125,0.003735351623618044,0.41121305897831917,0.7168816681951284,0.37713623046875,0.02782504289643839,0.10756824910640717,0.05420191946905106,3.5226193591952324,0.7321976236999035,0.11700439453125,2.0627700769715318e-08,-0.020500358135905117,40.11583685874939,4.966937005519867,0.0043883480539079756,1.0,-0.03474406525492668,0.10270124673843384,-0.034246206283569336,0.10085669159889221,0.003954106010496616,-0.6889808177947998,0.6310282610356808,0.4791400022804737,0.7058053966611624,0.33415605314075947,0.33233369141817093,0.6330447979271412,0.28618280589580536,0.46247860323637724,0.7188450135290623,0.46567491814494133,0.7321976236999035,0.7976608611643314,0.4135866453871131,0.7634340412914753,0.9999999180436134,0.9998291041702032,0.2626953125,0.248779296875,0.2020263671875,0.2864990234375,0.23500503599643707,0.24639424681663513,52,0.24007444083690643,0.28485578298568726,0.19651442766189575,0.27223557233810425,0.25857844948768616,51,0.23466159403324127,0.27267158031463623,0.18321079015731812,0.2855392396450043,0.2567402124404907,51,0.23149904608726501,0.21446079015731812,0.22058823704719543,0.3082107901573181,0.2671568691730499,51,0.23908917605876923,0.2610294222831726,0.2616421580314636,0.21017158031463623,0.19975490868091583,51,0.22960150241851807,0.28002452850341797,0.22058823704719543,0.29963237047195435,2.8727707862854004,0.5059530735015869,0.09577660262584686,0.3489961326122284,0.0022665481083095074,0.0,0.0,2.8561854362487793,0.5054304003715515,0.09779214859008789,0.35183364152908325,0.0024830843321979046,0.0,2.8512537479400635,0.5056278109550476,0.09747155755758286,0.3517121970653534,0.0023109856992959976,0.0,2.842588424682617,0.5035680532455444,0.09953918308019638,0.3543205261230469,0.0031338694971054792,0.0,2.8590729236602783,0.5051049590110779,0.09825114905834198,0.3526393175125122,0.0017467030556872487,0.0,2.8395161628723145,0.5080429911613464,0.09984037280082703,0.35276171565055847,0.002027129987254739
7,0.7137178797274828,0.0174560546875,0.003344726632349193,0.4140472114086151,0.7137178797274828,0.37664794921875,0.031452362542040646,0.11519414070062339,0.06067872524727136,3.6152553036808968,0.7403591256588697,0.1177978515625,2.0759424166350016e-06,-0.02293390955310315,31.96609902381897,4.979614466428757,0.0039501334831584245,1.0,-0.03469377011060715,0.1017681360244751,-0.03458153083920479,0.09886974841356277,0.0036022928543388844,-0.6865369081497192,0.6332559660077095,0.4793518567457795,0.6994864884763956,0.33163176756352186,0.32966127805411816,0.6307900436222553,0.2753506167791784,0.46509954053908587,0.7196540478616953,0.46324252989143133,0.7403591256588697,0.7962887063622475,0.4095934983342886,0.7631142437458038,0.9999918453395367,0.9998535178601742,0.258544921875,0.2379150390625,0.2078857421875,0.295654296875,0.23689515888690948,0.2421875149011612,52,0.23697270452976227,0.2572115361690521,0.20612981915473938,0.2944711744785309,0.2598039209842682,51,0.23276406526565552,0.25367647409439087,0.21200981736183167,0.27450981736183167,0.21997550129890442,51,0.23782415688037872,0.2542892098426819,0.23345589637756348,0.2922794222831726,0.3180147111415863,51,0.23592661321163177,0.2610294222831726,0.22671569883823395,0.19424019753932953,0.1936274617910385,51,0.24098670482635498,0.2665441334247589,0.24080882966518402,0.29901960492134094,2.835759162902832,0.504026472568512,0.10017289221286774,0.3535159230232239,0.0017990877386182547,0.0,0.0,2.8469009399414062,0.5052120089530945,0.09879539906978607,0.3542521595954895,0.0019230400212109089,0.0,2.8607537746429443,0.5030373930931091,0.09874261170625687,0.35316744446754456,0.0018180616898462176,0.0,2.84915828704834,0.5040039420127869,0.09956075996160507,0.3547510504722595,0.0017270209500566125,0.0,2.8298866748809814,0.5053231716156006,0.09996556490659714,0.353959858417511,0.001781229511834681,0.0,2.842353582382202,0.5075932741165161,0.09908781200647354,0.3523313105106354,0.001183374784886837
8,0.7143111098557711,0.01953125,0.0037841797984583536,0.43738257978111506,0.7143111098557711,0.38665771484375,0.03208696690853685,0.10633780364878476,0.054574674111790955,3.513479493558407,0.7363998554646969,0.1177978515625,0.0,-0.027023356044082902,32.93679177761078,4.976658821105957,0.0036593646655092016,1.0,-0.03493909910321236,0.10205332189798355,-0.034877702593803406,0.09804730117321014,0.0033688002731651068,-0.6859187483787537,0.6178467478603125,0.47486321721225977,0.7029771506786346,0.33467093110084534,0.32640513591468334,0.6248567793518305,0.29058142518624663,0.4563400875777006,0.7221254147589207,0.4642281662672758,0.7363998554646969,0.7962887100875378,0.41008713096380234,0.7617971729487181,1.0,0.9998779315501451,0.28076171875,0.2371826171875,0.19677734375,0.2852783203125,0.23475301265716553,0.2421875149011612,52,0.231389582157135,0.2920673191547394,0.1953125,0.270432710647583,0.20710785686969757,51,0.23972168564796448,0.2855392396450043,0.21813726425170898,0.28921568393707275,0.2346813827753067,51,0.23529410362243652,0.26776960492134094,0.22181373834609985,0.2757353186607361,0.28002452850341797,51,0.23466159403324127,0.2928921580314636,0.24754902720451355,0.17953431606292725,0.16911765933036804,51,0.23276406526565552,0.2653186321258545,0.2542892098426819,0.31127452850341797,2.8615527153015137,0.5055719614028931,0.09923893213272095,0.3541174829006195,0.0007585659623146057,0.0,0.0,2.8559818267822266,0.5057695508003235,0.09780128300189972,0.35193535685539246,0.001079091103747487,0.0,2.8455376625061035,0.5038337111473083,0.10015013813972473,0.3534793257713318,0.0013122016098350286,0.0,2.8573083877563477,0.5036186575889587,0.09945531189441681,0.35405516624450684,0.0013186682481318712,0.0,2.858915328979492,0.5062687397003174,0.09800481051206589,0.3519028425216675,0.0009108316153287888,0.0,2.8470776081085205,0.5077247619628906,0.09917017072439194,0.35300567746162415,0.0013248639879748225
9,0.715889124199748,0.018798828125,0.0036865234942524694,0.41944548673927784,0.715889124199748,0.3798828125,0.02828291803598404,0.11376490211114287,0.058443656424060464,3.2072321996092796,0.7378833275288343,0.11761474609375,2.281203478560201e-06,-0.024892225104849786,32.86381757259369,4.974192708730698,0.0033697191975079477,1.0,-0.034411437809467316,0.10256842523813248,-0.03380680829286575,0.09681515395641327,0.0031659062951803207,-0.6863040924072266,0.6208643596619368,0.47506971191614866,0.707472138106823,0.3314685011282563,0.3271374125033617,0.6261949222534895,0.3041985798627138,0.4612257853150368,0.7128597181290388,0.4628467131406069,0.7378833275288343,0.796605359762907,0.412805849686265,0.7621347699314356,0.9999912083148956,0.9999267589300871,0.2716064453125,0.24560546875,0.190185546875,0.2926025390625,0.233366921544075,0.26682692766189575,52,0.23263026773929596,0.2662259638309479,0.1953125,0.27163463830947876,0.24387255311012268,51,0.23908917605876923,0.24754902720451355,0.2193627506494522,0.28921568393707275,0.22855393588542938,51,0.2302340269088745,0.293504923582077,0.17892158031463623,0.29901960492134094,0.2928921580314636,51,0.23213155567646027,0.2702206075191498,0.24816177785396576,0.18872550129890442,0.16850490868091583,51,0.23276406526565552,0.280637264251709,0.240196093916893,0.31066176295280457,2.810966730117798,0.5055795907974243,0.1010269969701767,0.3535677492618561,0.0017214909894391894,0.0,0.0,2.8561878204345703,0.5058633089065552,0.09856084734201431,0.35187429189682007,0.0008780445205047727,0.0,2.8428173065185547,0.5067073106765747,0.09952697902917862,0.3536236584186554,0.0012222720542922616,0.0,2.8410239219665527,0.5042465925216675,0.09893565624952316,0.35292989015579224,0.0022252777125686407,0.0,2.846743106842041,0.5084224939346313,0.09901788830757141,0.35269054770469666,0.0017895986093208194,0.0,2.8355062007904053,0.5074402093887329,0.09912119060754776,0.3519139587879181,0.0009934729896485806
