iteration,reward,done_rate,edge_reset_rate,vx_err,weighted_metric_reward,selector_reference_penalty,orientation_penalty,slip_penalty,lateral_velocity_penalty,lateral_position_penalty,clearance_reward,gait_switch_penalty,action_boundary_penalty,policy_loss,value_loss,entropy,adaptation_loss,alpha,z_teacher_mean,z_teacher_std,z_student_mean,z_student_std,z_error,log_std_mean,score_progress,score_yaw_tracking,score_orientation,score_pitch_rate,score_roll_rate,score_yaw_rate,score_lateral_drift,score_vertical_bounce,score_slip,score_energy,score_clearance,score_gait_stability,score_action_smoothness,score_action_magnitude,score_action_boundary_margin,score_survival,gait_pronk_ratio,gait_trot_ratio,gait_bound_ratio,gait_pace_ratio,gait_switch_rate,flat_trot_efficiency_trot_ratio,flat_trot_efficiency_count,flat_trot_efficiency_gait_switch_rate,flat_trot_efficiency_pronk_ratio,flat_trot_efficiency_bound_ratio,flat_trot_efficiency_pace_ratio,ramp_up_trot_robustness_trot_ratio,ramp_up_trot_robustness_count,ramp_up_trot_robustness_gait_switch_rate,ramp_up_trot_robustness_pronk_ratio,ramp_up_trot_robustness_bound_ratio,ramp_up_trot_robustness_pace_ratio,rough_slope_trot_robustness_trot_ratio,rough_slope_trot_robustness_count,rough_slope_trot_robustness_gait_switch_rate,rough_slope_trot_robustness_pronk_ratio,rough_slope_trot_robustness_bound_ratio,rough_slope_trot_robustness_pace_ratio,push_lateral_pace_recovery_pace_ratio,push_lateral_pace_recovery_count,push_lateral_pace_recovery_gait_switch_rate,push_lateral_pace_recovery_pronk_ratio,push_lateral_pace_recovery_trot_ratio,push_lateral_pace_recovery_bound_ratio,stepping_stones_easy_bound_highspeed_bound_ratio,stepping_stones_easy_bound_highspeed_count,stepping_stones_easy_bound_highspeed_gait_switch_rate,stepping_stones_easy_bound_highspeed_pronk_ratio,stepping_stones_easy_bound_highspeed_trot_ratio,stepping_stones_easy_bound_highspeed_pace_ratio,frequency_mean,duration_mean,footswing_height_mean,stance_width_mean,body_pitch_mean,action_clip_rate,flat_trot_efficiency_action_clip_rate,flat_trot_efficiency_frequency_mean,flat_trot_efficiency_duration_mean,flat_trot_efficiency_footswing_height_mean,flat_trot_efficiency_stance_width_mean,flat_trot_efficiency_body_pitch_mean,ramp_up_trot_robustness_action_clip_rate,ramp_up_trot_robustness_frequency_mean,ramp_up_trot_robustness_duration_mean,ramp_up_trot_robustness_footswing_height_mean,ramp_up_trot_robustness_stance_width_mean,ramp_up_trot_robustness_body_pitch_mean,rough_slope_trot_robustness_action_clip_rate,rough_slope_trot_robustness_frequency_mean,rough_slope_trot_robustness_duration_mean,rough_slope_trot_robustness_footswing_height_mean,rough_slope_trot_robustness_stance_width_mean,rough_slope_trot_robustness_body_pitch_mean,push_lateral_pace_recovery_action_clip_rate,push_lateral_pace_recovery_frequency_mean,push_lateral_pace_recovery_duration_mean,push_lateral_pace_recovery_footswing_height_mean,push_lateral_pace_recovery_stance_width_mean,push_lateral_pace_recovery_body_pitch_mean,stepping_stones_easy_bound_highspeed_action_clip_rate,stepping_stones_easy_bound_highspeed_frequency_mean,stepping_stones_easy_bound_highspeed_duration_mean,stepping_stones_easy_bound_highspeed_footswing_height_mean,stepping_stones_easy_bound_highspeed_stance_width_mean,stepping_stones_easy_bound_highspeed_body_pitch_mean
0,0.6691781152039766,0.00146484375,4.882812572759576e-05,0.49014854710549116,0.6691781152039766,0.3798828125,0.03218158567324281,0.13119085296057165,0.06737950001843274,1.1167170591162177,0.7335716895759106,0.12078857421875,1.960612166840292e-06,-0.021636641933582723,30.868173956871033,4.990203469991684,0.04825403424911201,1.0,-0.007786786183714867,0.10487233102321625,-0.005194106139242649,0.1449061781167984,0.01932276412844658,-0.6911823153495789,0.5553823413792998,0.43874144554138184,0.6885446794331074,0.2984411893412471,0.31273365300148726,0.5905991094186902,0.3910295097157359,0.42757292831811355,0.6938649294897914,0.4408547901548445,0.7335716895759106,0.7911167638376355,0.43301607808098197,0.7706650942564011,0.9999922830611467,0.9997558612376451,0.252197265625,0.2445068359375,0.249755859375,0.2535400390625,0.22681450843811035,0.2554086744785309,52,0.22580644488334656,0.2445913553237915,0.24158655107021332,0.2584134638309479,0.25245100259780884,51,0.22960150241851807,0.2591911852359772,0.22794118523597717,0.2604166865348816,0.21691177785396576,51,0.2277039736509323,0.2512255012989044,0.2567402124404907,0.2751225531101227,0.23161765933036804,51,0.22707146406173706,0.24203431606292725,0.24816177785396576,0.27818629145622253,0.2444853037595749,51,0.2239089161157608,0.26409316062927246,0.24938726425170898,0.24203431606292725,2.841998815536499,0.5049619674682617,0.09625133872032166,0.3491433560848236,0.001971398713067174,0.0,0.0,2.8208863735198975,0.5025273561477661,0.09851210564374924,0.3521190881729126,0.0007409728714264929,0.0,2.820584297180176,0.502693772315979,0.0982152447104454,0.3514201045036316,0.0012174976291134953,0.0,2.8190267086029053,0.5043792724609375,0.09982041269540787,0.3537490963935852,0.00033000294934026897,0.0,2.830533504486084,0.5011772513389587,0.09882843494415283,0.35264936089515686,0.0008064115536399186,0.0,2.8213298320770264,0.5006080269813538,0.09805590659379959,0.3517169654369354,0.0004180048417765647
1,0.6713694278150797,0.0235595703125,0.004541015670838533,0.4368084380403161,0.6713694278150797,0.37115478515625,0.029445196909364313,0.10647361725568771,0.049509861157275736,3.897645339369774,0.7279414869844913,0.1195068359375,6.421164446379635e-06,-0.015455201209988445,19.28881871700287,4.989183276891708,0.015405422658659518,1.0,-0.008488912135362625,0.10398143529891968,-0.007163353264331818,0.12571464478969574,0.011845607310533524,-0.6906654238700867,0.610583296045661,0.47460823133587837,0.6904227044433355,0.31537100300192833,0.3255968587473035,0.6273851990699768,0.26903602620586753,0.4562463369220495,0.7175415698438883,0.46136831399053335,0.7279414869844913,0.7933333180844784,0.42781529761850834,0.7636179495602846,0.999975185841322,0.9998291041702032,0.24609375,0.264404296875,0.2515869140625,0.2379150390625,0.24180947244167328,0.24879808723926544,52,0.24689826369285583,0.23497596383094788,0.2578125,0.2584134638309479,0.2714460790157318,51,0.24035419523715973,0.2395833432674408,0.2591911852359772,0.2297794222831726,0.25735294818878174,51,0.23719164729118347,0.24080882966518402,0.2450980544090271,0.2567402124404907,0.24387255311012268,51,0.24288424849510193,0.26776960492134094,0.2598039209842682,0.22855393588542938,0.2671568691730499,51,0.24161921441555023,0.24754902720451355,0.28492647409439087,0.20036765933036804,2.8344452381134033,0.5002731084823608,0.09711307287216187,0.35131341218948364,-0.0002527493634261191,0.0,0.0,2.814558267593384,0.5009992122650146,0.09903952479362488,0.3536130487918854,0.0007115720072761178,0.0,2.8307652473449707,0.5034456849098206,0.09830040484666824,0.35208970308303833,0.00164705456700176,0.0,2.822873592376709,0.5010542869567871,0.09856981784105301,0.3525576591491699,0.0002910320763476193,0.0,2.821758508682251,0.49945780634880066,0.09794014692306519,0.35158225893974304,0.0006277417414821684,0.0,2.8329858779907227,0.4996078610420227,0.09731096029281616,0.3511732518672943,-0.00036604353226721287
2,0.6731074899435043,0.017333984375,0.0032958985066215973,0.4212801866233349,0.6731074899435043,0.36785888671875,0.03215767105575651,0.12013305816799402,0.06051071977708489,3.3991306722164154,0.7235128842294216,0.11785888671875,1.2626144328287126e-05,-0.013496092142304406,26.401551842689514,4.98943704366684,0.010932111996226013,1.0,-0.008274910971522331,0.10460983961820602,-0.007347654551267624,0.11111268401145935,0.009329617023468018,-0.6896445155143738,0.6212211549282074,0.4781847773119807,0.6888720486313105,0.32540840841829777,0.3281331853941083,0.6294492203742266,0.2748229024000466,0.47077761963009834,0.7161940671503544,0.45947582833468914,0.7235128842294216,0.7961831651628017,0.4246111549437046,0.7584074400365353,0.9999513197690248,0.9998291041702032,0.2423095703125,0.2886962890625,0.2322998046875,0.2366943359375,0.237273171544075,0.3070913553237915,52,0.23821339011192322,0.2211538553237915,0.23076924681663513,0.24098558723926544,0.28860294818878174,51,0.23972168564796448,0.21078431606292725,0.2389705926179886,0.2616421580314636,0.27818629145622253,51,0.23782415688037872,0.25796568393707275,0.25306373834609985,0.21078431606292725,0.23345589637756348,51,0.23782415688037872,0.25796568393707275,0.28308823704719543,0.22549019753932953,0.2132353037595749,51,0.23276406526565552,0.26409316062927246,0.2861519753932953,0.23651961982250214,2.815443515777588,0.49899575114250183,0.09793714433908463,0.35333070158958435,0.001098371110856533,0.0,0.0,2.8261826038360596,0.501836359500885,0.0976446270942688,0.35138827562332153,0.002158836927264929,0.0,2.807368278503418,0.5022256970405579,0.09930199384689331,0.35329151153564453,0.0023602680303156376,0.0,2.840789318084717,0.5009000301361084,0.09733934700489044,0.35154658555984497,0.0017754624132066965,0.0,2.822242498397827,0.49913910031318665,0.0977461040019989,0.35073792934417725,0.00019068449910264462,0.0,2.8016655445098877,0.49886342883110046,0.0973777249455452,0.35056501626968384,0.0001524546096334234
3,0.6753521859645844,0.0186767578125,0.0036376953939907253,0.4326926274225116,0.6753521859645844,0.37005615234375,0.02818806329742074,0.11345715029165149,0.04925843211822212,3.2043676674365997,0.7168853767216206,0.11767578125,8.56346169086919e-07,-0.01407887099776417,32.375847935676575,4.99569308757782,0.008847740129567683,1.0,-0.007808990310877562,0.10477873682975769,-0.007375437766313553,0.1050410270690918,0.007890826091170311,-0.687929630279541,0.6103287246078253,0.48178975749760866,0.6997413299977779,0.318066518753767,0.3254855861887336,0.6346803959459066,0.2995271338149905,0.4689259612932801,0.7113211303949356,0.4583736276254058,0.7168853767216206,0.796499814838171,0.4256445784121752,0.759590519592166,0.9999965894967318,0.9999023452401161,0.2568359375,0.2733154296875,0.2294921875,0.2403564453125,0.23525704443454742,0.27764424681663513,52,0.2363523542881012,0.26201924681663513,0.22596155107021332,0.2343750149011612,0.2702206075191498,51,0.23592661321163177,0.28370100259780884,0.1979166716337204,0.24816177785396576,0.2591911852359772,51,0.23466159403324127,0.2598039209842682,0.23345589637756348,0.24754902720451355,0.24203431606292725,51,0.23719164729118347,0.23223039507865906,0.2855392396450043,0.240196093916893,0.25,51,0.23213155567646027,0.24632354080677032,0.27389708161354065,0.2297794222831726,2.805525779724121,0.5012157559394836,0.09883223474025726,0.3528903126716614,0.0015047899214550853,0.0,0.0,2.835639715194702,0.5003198385238647,0.09692873805761337,0.35179805755615234,0.0025444412603974342,0.0,2.8205878734588623,0.5027530789375305,0.0963406190276146,0.3511151373386383,0.0024673279840499163,0.0,2.824897050857544,0.5032492876052856,0.09727810323238373,0.3527759611606598,0.001733451965264976,0.0,2.8220927715301514,0.5019662380218506,0.09800442308187485,0.35183554887771606,-0.0002482621348462999,0.0,2.816119909286499,0.5003265142440796,0.09821056574583054,0.3526408076286316,0.0003538646560627967
4,0.6699650902301073,0.0194091796875,0.003735351614523097,0.43982784915715456,0.6699650902301073,0.366455078125,0.03292046714341268,0.1228544469922781,0.05707783962134272,3.1997384428977966,0.7293741721659899,0.1185302734375,6.450838299976169e-06,-0.005840869474923238,36.11452770233154,4.998394697904587,0.007757371058687568,1.0,-0.008536813780665398,0.10435634851455688,-0.008265270851552486,0.10304994136095047,0.0071148439310491085,-0.6858845949172974,0.604195311665535,0.47118102479726076,0.6863249745219946,0.31041712779551744,0.3243274074047804,0.621762115508318,0.28537068888545036,0.46106400061398745,0.7073343358933926,0.45615725219249725,0.7293741721659899,0.7950221132487059,0.42086170986294746,0.7577549330890179,0.9999752696603537,0.9998535178601742,0.235107421875,0.267333984375,0.2601318359375,0.2374267578125,0.23752519488334656,0.24879808723926544,52,0.2406947910785675,0.22175481915473938,0.2764423191547394,0.2530048191547394,0.2861519753932953,51,0.23845666646957397,0.27267158031463623,0.21568627655506134,0.22549019753932953,0.2879902124404907,51,0.23466159403324127,0.24142158031463623,0.2512255012989044,0.2193627506494522,0.23713235557079315,51,0.23529410362243652,0.20404411852359772,0.27757352590560913,0.28125,0.2757353186607361,51,0.23845666646957397,0.23590686917304993,0.23651961982250214,0.25183823704719543,2.8221845626831055,0.5006550550460815,0.09685634076595306,0.35378652811050415,0.00045600731391459703,0.0,0.0,2.8296585083007812,0.49920758605003357,0.09898576885461807,0.3544318377971649,0.001031455583870411,0.0,2.8323867321014404,0.5033881664276123,0.09654178470373154,0.35169410705566406,0.0020330215338617563,0.0,2.8376715183258057,0.501995861530304,0.09700736403465271,0.352847158908844,0.0013456481974571943,0.0,2.8299641609191895,0.5009145736694336,0.09921059012413025,0.3541172742843628,0.0001695578539511189,0.0,2.801426410675049,0.499423623085022,0.09999170899391174,0.3548266291618347,-0.0005294035654515028
5,0.6678989864885807,0.0196533203125,0.003759765719223651,0.4444226175546646,0.6678989864885807,0.369384765625,0.031130231625866145,0.12005716538988054,0.055325211375020444,3.781542956829071,0.7233907729387283,0.118896484375,2.4706146419362085e-05,-0.018599271279526874,35.47817921638489,5.0065217316150665,0.006705641746520996,0.9736842105263158,-0.008132029324769974,0.10459602624177933,-0.008272133767604828,0.09918244183063507,0.006132230162620544,-0.6850223541259766,0.603318152949214,0.4754005456343293,0.6899358928203583,0.3068665834143758,0.3273394759744406,0.6274301428347826,0.2670667818747461,0.4647371033206582,0.7097547668963671,0.45478786155581474,0.7233907729387283,0.7943888045847416,0.41587411519140005,0.7557524554431438,0.9999097250401974,0.9998291041702032,0.2376708984375,0.2708740234375,0.273681640625,0.2177734375,0.23752519488334656,0.2788461744785309,52,0.23697270452976227,0.23076924681663513,0.2758413553237915,0.21454328298568726,0.2653186321258545,51,0.23719164729118347,0.25796568393707275,0.26348039507865906,0.2132353037595749,0.2696078419685364,51,0.24035419523715973,0.22120098769664764,0.28982844948768616,0.2193627506494522,0.21997550129890442,51,0.23655913770198822,0.24142158031463623,0.2714460790157318,0.2671568691730499,0.2720588445663452,51,0.23655913770198822,0.23713235557079315,0.26899510622024536,0.22181373834609985,2.838226795196533,0.5022859573364258,0.09626585245132446,0.3505587577819824,0.0010693398071452975,0.0,0.0,2.848130464553833,0.49956679344177246,0.09776689857244492,0.3531712293624878,0.001058477908372879,0.0,2.840216636657715,0.5051289796829224,0.0970236286520958,0.35285118222236633,0.0012613526778295636,0.0,2.8309288024902344,0.5017232894897461,0.09858862310647964,0.3539780378341675,0.0008713114075362682,0.0,2.8393330574035645,0.49740466475486755,0.09736225754022598,0.3529375195503235,-6.87523206579499e-05,0.0,2.8117117881774902,0.49899157881736755,0.09861696511507034,0.3531355857849121,-0.0006543075433000922
6,0.6718434654176235,0.0185546875,0.0035400391425355338,0.4334635818377137,0.6718434654176235,0.36590576171875,0.03192711324663833,0.11566996620967984,0.05638708604965359,3.030317284166813,0.7246044166386127,0.1173095703125,1.781128754174688e-05,-0.013554336270317435,32.17767822742462,5.00563046336174,0.006338091974612325,0.868421052631579,-0.008538350462913513,0.10476820915937424,-0.008322839625179768,0.09717247635126114,0.005865536630153656,-0.6842657327651978,0.6147006973624229,0.4728576373308897,0.6920293252915144,0.3117423877120018,0.32651215977966785,0.6258800011128187,0.29148272052407265,0.4676358997821808,0.7078362610191107,0.45639898627996445,0.7246044166386127,0.7971331086009741,0.4122466230764985,0.7507914248853922,0.9999322704970837,0.9998291041702032,0.2283935546875,0.2772216796875,0.25146484375,0.242919921875,0.23664313554763794,0.27223557233810425,52,0.2363523542881012,0.23137019574642181,0.22235578298568726,0.2740384638309479,0.2591911852359772,51,0.23845666646957397,0.22855393588542938,0.280637264251709,0.23161765933036804,0.2965686321258545,51,0.23402908444404602,0.21629902720451355,0.24325981736183167,0.24387255311012268,0.25,51,0.23592661321163177,0.23651961982250214,0.2647058963775635,0.24877451360225677,0.26286765933036804,51,0.23845666646957397,0.2291666716337204,0.293504923582077,0.21446079015731812,2.800560712814331,0.5002762079238892,0.0997181087732315,0.35387688875198364,4.539446672424674e-05,0.0,0.0,2.8131356239318848,0.4998392164707184,0.09778551012277603,0.3525767922401428,0.0006064705667085946,0.0,2.8231592178344727,0.5009400844573975,0.09849143028259277,0.3534497320652008,0.000741222349461168,0.0,2.81825590133667,0.5015206336975098,0.09749461710453033,0.35248205065727234,0.0004505438555497676,0.0,2.8120334148406982,0.5008022785186768,0.09822099655866623,0.35299617052078247,-0.0002610523079056293,0.0,2.816225051879883,0.49863725900650024,0.09785280376672745,0.3516041040420532,-0.000788822362665087
7,0.6755892802029848,0.02001953125,0.0038818360371806193,0.43554018903523684,0.6755892802029848,0.363037109375,0.030140256800223142,0.11243727593682706,0.05155319767072797,2.914328470826149,0.7129757720977068,0.11859130859375,9.575894083013736e-06,-0.02477038136566989,31.593749165534973,5.014351397752762,0.005591227702097967,0.7631578947368421,-0.008465507999062538,0.10458562523126602,-0.008445662446320057,0.09502079337835312,0.005209438502788544,-0.6827889084815979,0.6120695769786835,0.46933485101908445,0.6971323415637016,0.32331543043255806,0.3299958584830165,0.6227660346776247,0.32148468028753996,0.46732715703547,0.7141584828495979,0.4601878188550472,0.7129757720977068,0.7949165664613247,0.41370515059679747,0.7525003626942635,0.9999636374413967,0.9998779315501451,0.2325439453125,0.2879638671875,0.2432861328125,0.2362060546875,0.23903729021549225,0.27223557233810425,52,0.2388337403535843,0.2289663553237915,0.24338942766189575,0.2554086744785309,0.30575981736183167,51,0.24035419523715973,0.2444853037595749,0.24938726425170898,0.20036765933036804,0.2879902124404907,51,0.24035419523715973,0.24387255311012268,0.23039215803146362,0.23774510622024536,0.2450980544090271,51,0.23908917605876923,0.2291666716337204,0.2910539209842682,0.2346813827753067,0.25857844948768616,51,0.23655913770198822,0.21629902720451355,0.28308823704719543,0.24203431606292725,2.823446750640869,0.49773168563842773,0.09753279387950897,0.3533048927783966,-0.0003678245993796736,0.0,0.0,2.8241796493530273,0.501469612121582,0.09770582616329193,0.35341960191726685,0.0008535406086593866,0.0,2.836820125579834,0.5010446310043335,0.09574107080698013,0.35101738572120667,-0.0003336342633701861,0.0,2.8239188194274902,0.5023729801177979,0.0964520275592804,0.3515106737613678,-0.0004439237527549267,0.0,2.8101108074188232,0.49958544969558716,0.09722432494163513,0.3521023988723755,-0.0003228384885005653,0.0,2.8049473762512207,0.4985685646533966,0.09805396944284439,0.35415950417518616,-0.0009772646008059382
8,0.6711938604712486,0.0185546875,0.003540039138897555,0.44138317182660103,0.6711938604712486,0.36834716796875,0.03312074288260192,0.1123458151705563,0.05562265357002616,3.3121867924928665,0.7233791071921587,0.1175537109375,5.333109740490727e-06,-0.023793409578502178,27.21985614299774,5.016209423542023,0.005257498676655814,0.6578947368421053,-0.008537596091628075,0.10445498675107956,-0.0084576066583395,0.09371252357959747,0.004936547018587589,-0.6823991537094116,0.6112050302326679,0.4735761033371091,0.689454847946763,0.31462669279426336,0.32619384303689003,0.6255841217935085,0.29131161887198687,0.478652648627758,0.7116943448781967,0.45503345038741827,0.7233791071921587,0.7967109084129333,0.40607806853950024,0.7515934389084578,0.9999799001961946,0.9998291041702032,0.2200927734375,0.28076171875,0.246337890625,0.2528076171875,0.23702116310596466,0.2680288553237915,52,0.23573200404644012,0.21574519574642181,0.26442307233810425,0.25180289149284363,0.2763480544090271,51,0.23782415688037872,0.22610294818878174,0.25183823704719543,0.24571079015731812,0.2867647111415863,51,0.23782415688037872,0.20588235557079315,0.23223039507865906,0.2751225531101227,0.2450980544090271,51,0.23466159403324127,0.21691177785396576,0.29534316062927246,0.24264706671237946,0.240196093916893,51,0.23908917605876923,0.23590686917304993,0.27757352590560913,0.24632354080677032,2.8107056617736816,0.502388596534729,0.09758354723453522,0.353272408246994,0.0003201808431185782,0.0,0.0,2.8231420516967773,0.49991661310195923,0.09841398149728775,0.3528319299221039,0.0008526500896550715,0.0,2.8215739727020264,0.5015490651130676,0.09742346405982971,0.3527581989765167,0.0016473580617457628,0.0,2.817514181137085,0.5003435015678406,0.09817224740982056,0.3526979684829712,0.0003970906254835427,0.0,2.8305306434631348,0.5009248852729797,0.09736833721399307,0.3518913984298706,7.260013080667704e-05,0.0,2.8001530170440674,0.5001096725463867,0.09796296060085297,0.3511146306991577,-0.00103277456946671
9,0.6701437830924988,0.01806640625,0.003369140695212991,0.43989502638578415,0.6701437830924988,0.36334228515625,0.03313442721264437,0.11818290688097477,0.05480480461847037,3.511217400431633,0.7247002962976694,0.117919921875,1.2861851651863043e-05,-0.024334913992788643,26.150514125823975,5.017485529184341,0.004934437136398628,0.5526315789473685,-0.008473522961139679,0.10413958132266998,-0.008345536887645721,0.09273093193769455,0.004664544947445393,-0.6817266345024109,0.6131596323102713,0.46612761821597815,0.6877063512802124,0.3172091906890273,0.3290575845167041,0.6167950201779604,0.27897078497335315,0.47211694344878197,0.7142511066049337,0.4582950249314308,0.7247002962976694,0.7960776127874851,0.4067932264879346,0.7450204882770777,0.9999517742544413,0.9997558631002903,0.2239990234375,0.276611328125,0.2601318359375,0.2392578125,0.23513104021549225,0.30048078298568726,52,0.2363523542881012,0.23557692766189575,0.24158655107021332,0.22235578298568726,0.2665441334247589,51,0.23213155567646027,0.2236519753932953,0.2665441334247589,0.24325981736183167,0.2653186321258545,51,0.23276406526565552,0.23039215803146362,0.26899510622024536,0.2352941334247589,0.2598039209842682,51,0.23339657485485077,0.21262255311012268,0.27757352590560913,0.25,0.27389708161354065,51,0.24098670482635498,0.21752451360225677,0.27267158031463623,0.23590686917304993,2.806248426437378,0.5008137226104736,0.09747903794050217,0.35232996940612793,0.0009543836349621415,0.0,0.0,2.840160369873047,0.5011522173881531,0.09687192738056183,0.3510218560695648,0.0027015949599444866,0.0,2.8309595584869385,0.5020741820335388,0.09789407253265381,0.35367727279663086,0.0012137285666540265,0.0,2.8275599479675293,0.502389132976532,0.09753906726837158,0.3528873324394226,0.0004980714875273407,0.0,2.8023312091827393,0.5016129612922668,0.09871957451105118,0.3535805940628052,-0.0005937970709055662,0.0,2.8138949871063232,0.5005783438682556,0.09887713193893433,0.3538563549518585,-0.00076274573802948
