iteration,reward,done_rate,edge_reset_rate,vx_err,weighted_metric_reward,selector_reference_penalty,orientation_penalty,slip_penalty,lateral_velocity_penalty,lateral_position_penalty,clearance_reward,gait_switch_penalty,action_boundary_penalty,policy_loss,value_loss,entropy,adaptation_loss,alpha,z_teacher_mean,z_teacher_std,z_student_mean,z_student_std,z_error,log_std_mean,score_progress,score_yaw_tracking,score_orientation,score_pitch_rate,score_roll_rate,score_yaw_rate,score_lateral_drift,score_vertical_bounce,score_slip,score_energy,score_clearance,score_gait_stability,score_action_smoothness,score_action_magnitude,score_action_boundary_margin,score_survival,gait_pronk_ratio,gait_trot_ratio,gait_bound_ratio,gait_pace_ratio,gait_switch_rate,flat_trot_efficiency_trot_ratio,flat_trot_efficiency_count,flat_trot_efficiency_gait_switch_rate,flat_trot_efficiency_pronk_ratio,flat_trot_efficiency_bound_ratio,flat_trot_efficiency_pace_ratio,ramp_up_trot_robustness_trot_ratio,ramp_up_trot_robustness_count,ramp_up_trot_robustness_gait_switch_rate,ramp_up_trot_robustness_pronk_ratio,ramp_up_trot_robustness_bound_ratio,ramp_up_trot_robustness_pace_ratio,rough_slope_trot_robustness_trot_ratio,rough_slope_trot_robustness_count,rough_slope_trot_robustness_gait_switch_rate,rough_slope_trot_robustness_pronk_ratio,rough_slope_trot_robustness_bound_ratio,rough_slope_trot_robustness_pace_ratio,push_lateral_pace_recovery_pace_ratio,push_lateral_pace_recovery_count,push_lateral_pace_recovery_gait_switch_rate,push_lateral_pace_recovery_pronk_ratio,push_lateral_pace_recovery_trot_ratio,push_lateral_pace_recovery_bound_ratio,stepping_stones_easy_bound_highspeed_bound_ratio,stepping_stones_easy_bound_highspeed_count,stepping_stones_easy_bound_highspeed_gait_switch_rate,stepping_stones_easy_bound_highspeed_pronk_ratio,stepping_stones_easy_bound_highspeed_trot_ratio,stepping_stones_easy_bound_highspeed_pace_ratio,frequency_mean,duration_mean,footswing_height_mean,stance_width_mean,body_pitch_mean,action_clip_rate,flat_trot_efficiency_action_clip_rate,flat_trot_efficiency_frequency_mean,flat_trot_efficiency_duration_mean,flat_trot_efficiency_footswing_height_mean,flat_trot_efficiency_stance_width_mean,flat_trot_efficiency_body_pitch_mean,ramp_up_trot_robustness_action_clip_rate,ramp_up_trot_robustness_frequency_mean,ramp_up_trot_robustness_duration_mean,ramp_up_trot_robustness_footswing_height_mean,ramp_up_trot_robustness_stance_width_mean,ramp_up_trot_robustness_body_pitch_mean,rough_slope_trot_robustness_action_clip_rate,rough_slope_trot_robustness_frequency_mean,rough_slope_trot_robustness_duration_mean,rough_slope_trot_robustness_footswing_height_mean,rough_slope_trot_robustness_stance_width_mean,rough_slope_trot_robustness_body_pitch_mean,push_lateral_pace_recovery_action_clip_rate,push_lateral_pace_recovery_frequency_mean,push_lateral_pace_recovery_duration_mean,push_lateral_pace_recovery_footswing_height_mean,push_lateral_pace_recovery_stance_width_mean,push_lateral_pace_recovery_body_pitch_mean,stepping_stones_easy_bound_highspeed_action_clip_rate,stepping_stones_easy_bound_highspeed_frequency_mean,stepping_stones_easy_bound_highspeed_duration_mean,stepping_stones_easy_bound_highspeed_footswing_height_mean,stepping_stones_easy_bound_highspeed_stance_width_mean,stepping_stones_easy_bound_highspeed_body_pitch_mean
0,0.7115678694099188,0.002685546875,9.765625145519152e-05,0.47957511246204376,0.7115678694099188,0.368896484375,0.03423334321269067,0.1306944431271404,0.067251160973683,1.167863962150932,0.6678992491215467,0.11993408203125,5.5859430112548125e-06,-0.020926162935211323,34.21923887729645,4.980995178222656,0.04540470440406352,1.0,-0.013276582583785057,0.11951912939548492,-0.009745463728904724,0.15203474462032318,0.018960358574986458,-0.6907509565353394,0.5647136667976156,0.4378694696351886,0.6878652311861515,0.3025035634636879,0.3124884283170104,0.5876564430072904,0.38513604179024696,0.4332634614293056,0.6949188075959682,0.4387127268128097,0.6678992491215467,0.7925944719463587,0.43445464968681335,0.7570170126855373,0.9999793246388435,0.9995605498552322,0.2545166015625,0.2696533203125,0.2431640625,0.232666015625,0.22442035377025604,0.2866586744785309,52,0.22518610954284668,0.2319711595773697,0.2662259638309479,0.21514423191547394,0.2542892098426819,51,0.2277039736509323,0.26348039507865906,0.23651961982250214,0.24571079015731812,0.27818629145622253,51,0.2188488245010376,0.2567402124404907,0.2242647111415863,0.24080882966518402,0.2346813827753067,51,0.2251739352941513,0.2561274468898773,0.27757352590560913,0.23161765933036804,0.2567402124404907,51,0.2251739352941513,0.2647058963775635,0.2512255012989044,0.22732843458652496,2.8726205825805664,0.4915139973163605,0.09153714776039124,0.348021537065506,0.00013953179586678743,0.0,0.0,2.871532440185547,0.49168604612350464,0.09372896701097488,0.3507549464702606,0.001283518155105412,0.0,2.86051869392395,0.49144697189331055,0.09368274360895157,0.35118797421455383,0.0017526191659271717,0.0,2.855501413345337,0.4935680031776428,0.09306114166975021,0.34976136684417725,0.0016325885662809014,0.0,2.871893882751465,0.4922660291194916,0.09292498230934143,0.35008615255355835,0.0011731768026947975,0.0,2.8636579513549805,0.48915669322013855,0.0937560424208641,0.3509024977684021,0.0006327501032501459
1,0.7179867960512638,0.02392578125,0.0046630860488221515,0.4126159315928817,0.7179867960512638,0.37188720703125,0.02592936879955232,0.10318505438044667,0.04807041888125241,3.773786850273609,0.6480504125356674,0.11871337890625,4.188164951651752e-06,-0.012784111793735065,21.079814791679382,4.985277980566025,0.01436942268628627,1.0,-0.012360857799649239,0.11673588305711746,-0.010789172723889351,0.13528257608413696,0.011149834841489792,-0.6896459460258484,0.6312254928052425,0.488815002143383,0.7146345600485802,0.3315378073602915,0.3364349966868758,0.6433544252067804,0.2839658474549651,0.46171743143349886,0.7252309806644917,0.4681262634694576,0.6480504125356674,0.7947054579854012,0.4312779465690255,0.7538470160216093,0.9999837223440409,0.9998779315501451,0.2493896484375,0.29638671875,0.2156982421875,0.238525390625,0.24004535377025604,0.27463942766189575,52,0.24441687762737274,0.25961539149284363,0.2055288553237915,0.2602163553237915,0.2769607901573181,51,0.24035419523715973,0.2610294222831726,0.23100490868091583,0.23100490868091583,0.2916666865348816,51,0.23782415688037872,0.2610294222831726,0.22794118523597717,0.2193627506494522,0.23284314572811127,51,0.23845666646957397,0.22794118523597717,0.3296568691730499,0.20955882966518402,0.20465686917304993,51,0.23908917605876923,0.23713235557079315,0.30943629145622253,0.24877451360225677,2.86662220954895,0.49223408102989197,0.09264376759529114,0.35014867782592773,0.002362964441999793,0.0,0.0,2.8642990589141846,0.4901115894317627,0.09193742275238037,0.350391685962677,0.0025807851925492287,0.0,2.8688623905181885,0.49341434240341187,0.09238849580287933,0.34928566217422485,0.002151891589164734,0.0,2.867253541946411,0.49267473816871643,0.09135489910840988,0.3499124050140381,0.002254235092550516,0.0,2.8729779720306396,0.49158236384391785,0.09123000502586365,0.34782952070236206,0.002696293406188488,0.0,2.8641867637634277,0.4930151104927063,0.09230754524469376,0.3488556444644928,0.0017486156430095434
2,0.7165666148066521,0.0172119140625,0.003271484418291948,0.39626525435596704,0.7165666148066521,0.36712646484375,0.03047112893546,0.11523937317542732,0.052373083075508475,3.5339938402175903,0.6512021720409393,0.1168212890625,2.41251202748316e-06,-0.01335758191999048,29.169633388519287,4.9851506650447845,0.010210132400970906,1.0,-0.01274137757718563,0.11756988614797592,-0.011906107887625694,0.12300027161836624,0.008690055459737778,-0.6887162327766418,0.6521521583199501,0.49101619236171246,0.7045292612165213,0.33578281104564667,0.33706512209028006,0.6418319437652826,0.27157604740932584,0.4835119117051363,0.7209301367402077,0.4651389280334115,0.6512021720409393,0.7979775108397007,0.43037623167037964,0.7458537947386503,0.9999905433505774,0.9998291041702032,0.25,0.291259765625,0.2247314453125,0.2340087890625,0.23450100421905518,0.28245192766189575,52,0.231389582157135,0.23076924681663513,0.24338942766189575,0.24338942766189575,0.2971813976764679,51,0.23655913770198822,0.240196093916893,0.2291666716337204,0.23345589637756348,0.280637264251709,51,0.23402908444404602,0.27757352590560913,0.22181373834609985,0.21997550129890442,0.25367647409439087,51,0.23592661321163177,0.26899510622024536,0.26286765933036804,0.21446079015731812,0.21446079015731812,51,0.23466159403324127,0.23284314572811127,0.3333333432674408,0.2193627506494522,2.869307279586792,0.49417245388031006,0.09225575625896454,0.349226713180542,0.0037966929376125336,0.0,0.0,2.87953782081604,0.49235716462135315,0.09310632944107056,0.35042914748191833,0.0033865016885101795,0.0,2.8733437061309814,0.491525262594223,0.09256615489721298,0.3490232229232788,0.0037824877072125673,0.0,2.867421865463257,0.4930180013179779,0.09152975678443909,0.34857985377311707,0.0030973947141319513,0.0,2.8650801181793213,0.4923167824745178,0.09198927879333496,0.349062979221344,0.0035385689698159695,0.0,2.8826510906219482,0.49400362372398376,0.09126955270767212,0.34681636095046997,0.0032812331337481737
3,0.7149218544363976,0.017578125,0.003442382876528427,0.42760831490159035,0.7149218544363976,0.36566162109375,0.02861733827739954,0.12174134165979922,0.05177375895436853,3.438503161072731,0.6594638396054506,0.11688232421875,6.329070889584797e-06,-0.011945955862756819,34.11752271652222,4.992806255817413,0.00815714625059627,1.0,-0.01302244234830141,0.11816950887441635,-0.013559786602854729,0.11674424260854721,0.007351466454565525,-0.6868796348571777,0.6277172639966011,0.47769896406680346,0.6995689608156681,0.3279445506632328,0.32614884339272976,0.6281257402151823,0.2989850314334035,0.48505235835909843,0.7081639003008604,0.4603553609922528,0.6594638396054506,0.7978719621896744,0.43181500397622585,0.7424052637070417,0.9999756794422865,0.9999267589300871,0.2266845703125,0.2974853515625,0.234130859375,0.24169921875,0.23475301265716553,0.30348560214042664,52,0.2338709682226181,0.2367788553237915,0.21814905107021332,0.24158655107021332,0.28492647409439087,51,0.23592661321163177,0.20955882966518402,0.25183823704719543,0.25367647409439087,0.2867647111415863,51,0.23529410362243652,0.240196093916893,0.23284314572811127,0.240196093916893,0.24693627655506134,51,0.23276406526565552,0.20955882966518402,0.2959558963775635,0.24754902720451355,0.22058823704719543,51,0.23592661321163177,0.23713235557079315,0.31617647409439087,0.22610294818878174,2.8810315132141113,0.49310922622680664,0.0905001312494278,0.346258282661438,0.0026658945716917515,0.0,0.0,2.8803493976593018,0.4920019209384918,0.0925937220454216,0.34795886278152466,0.0027758204378187656,0.0,2.8571739196777344,0.4926573932170868,0.09392054378986359,0.3504694104194641,0.003070057136937976,0.0,2.8654379844665527,0.4922567903995514,0.09255115687847137,0.3481878638267517,0.0028858052100986242,0.0,2.8708245754241943,0.49096575379371643,0.09332550317049026,0.3493020534515381,0.003263052785769105,0.0,2.8796327114105225,0.49084293842315674,0.09139781445264816,0.3474481701850891,0.0027735806070268154
4,0.7075582556426525,0.02099609375,0.003930664144718321,0.4600406438112259,0.7075582556426525,0.3663330078125,0.032762817281764,0.12382983695715666,0.0565559477545321,3.129873499274254,0.6566886063665152,0.1173095703125,1.8018582306461584e-05,-0.017153402557596564,42.18106698989868,4.9954878985881805,0.007403304014587775,1.0,-0.012028726749122143,0.11657944321632385,-0.013131717219948769,0.11500485241413116,0.0067043667659163475,-0.6851119995117188,0.594557624310255,0.45940371975302696,0.6927674505859613,0.31690345518290997,0.3206471251323819,0.6106725595891476,0.3108751019462943,0.46689200960099697,0.7031785771250725,0.4506984129548073,0.6566886063665152,0.7971331141889095,0.4256763933226466,0.7319448255002499,0.9999313149601221,0.9997314494103193,0.22998046875,0.289794921875,0.2379150390625,0.2423095703125,0.23601309955120087,0.30889424681663513,52,0.23573200404644012,0.23497596383094788,0.21213942766189575,0.24399039149284363,0.2561274468898773,51,0.23908917605876923,0.24203431606292725,0.24142158031463623,0.2604166865348816,0.2818627655506134,51,0.23782415688037872,0.23161765933036804,0.24816177785396576,0.23835785686969757,0.24877451360225677,51,0.23276406526565552,0.2089460790157318,0.29411765933036804,0.24816177785396576,0.240196093916893,51,0.23466159403324127,0.23223039507865906,0.3075980544090271,0.21997550129890442,2.891101837158203,0.4932836890220642,0.09244196861982346,0.3470323383808136,0.0034587853588163853,0.0,0.0,2.875854015350342,0.4932284951210022,0.09153598546981812,0.34780260920524597,0.0032888760324567556,0.0,2.858336925506592,0.49334126710891724,0.09333357214927673,0.3499823212623596,0.0034609087742865086,0.0,2.8655450344085693,0.49263620376586914,0.0928269773721695,0.34848666191101074,0.0033699250780045986,0.0,2.8847789764404297,0.49306124448776245,0.09295512735843658,0.3483642339706421,0.0038530488964170218,0.0,2.8944482803344727,0.49339476227760315,0.09204337745904922,0.34595993161201477,0.002573406556621194
5,0.7034962587058544,0.016845703125,0.0031250000538420863,0.4686993258073926,0.7034962587058544,0.3687744140625,0.03433363582007587,0.12604832602664828,0.06097717466764152,3.222577825188637,0.6537794955074787,0.11767578125,8.931797601974267e-06,-0.015416250826092437,39.003379344940186,5.0035718977451324,0.006923622480826452,1.0,-0.012620177119970322,0.11794862151145935,-0.0121453907340765,0.11417964845895767,0.006366505287587643,-0.6846638321876526,0.5945817865431309,0.46339891012758017,0.6843295004218817,0.3134260820224881,0.31892419047653675,0.6138735599815845,0.2877657935023308,0.47110219299793243,0.7011724784970284,0.4467849535867572,0.6537794955074787,0.7964998111128807,0.4190783528611064,0.7309505492448807,0.9999651238322258,0.9997558631002903,0.2374267578125,0.291748046875,0.2376708984375,0.233154296875,0.23689515888690948,0.28786060214042664,52,0.23076923191547394,0.23798078298568726,0.21995192766189575,0.25420674681663513,0.2922794222831726,51,0.24098670482635498,0.23100490868091583,0.2450980544090271,0.23161765933036804,0.2696078419685364,51,0.24035419523715973,0.2591911852359772,0.2297794222831726,0.24142158031463623,0.23100490868091583,51,0.23655913770198822,0.21262255311012268,0.293504923582077,0.26286765933036804,0.23100490868091583,51,0.23592661321163177,0.24632354080677032,0.31556373834609985,0.20710785686969757,2.8556618690490723,0.493479460477829,0.09229864180088043,0.34755939245224,0.004244395066052675,0.0,0.0,2.8759872913360596,0.49403560161590576,0.09245031327009201,0.3476663827896118,0.00298476149328053,0.0,2.8778834342956543,0.49460700154304504,0.09274707734584808,0.34760743379592896,0.0031882841140031815,0.0,2.8719685077667236,0.4944526255130768,0.09244595468044281,0.3482387959957123,0.0035228056367486715,0.0,2.9066102504730225,0.4924198389053345,0.09287110716104507,0.34783852100372314,0.0030244882218539715,0.0,2.9048192501068115,0.4920650124549866,0.0909944623708725,0.3464251756668091,0.0023449123837053776
6,0.7066886052489281,0.0213623046875,0.004052734446304385,0.4468478858470917,0.7066886052489281,0.36798095703125,0.03297050530090928,0.11374785611405969,0.060836396645754576,3.453261986374855,0.6682446897029877,0.1182861328125,1.594601451415656e-05,-0.021580546104814857,39.94231367111206,5.001808047294617,0.006091870134696364,1.0,-0.012043804861605167,0.11717867106199265,-0.01161988452076912,0.11062736809253693,0.005561383441090584,-0.6849173903465271,0.607413787394762,0.46847190987318754,0.6937636584043503,0.3202290339395404,0.32618581783026457,0.6195822991430759,0.28339285030961037,0.4709513718262315,0.7101405616849661,0.452645031735301,0.6682446897029877,0.7954443152993917,0.41819257009774446,0.7362896762788296,0.9999404735863209,0.9997802767902613,0.240478515625,0.27392578125,0.2403564453125,0.2452392578125,0.2363911271095276,0.26141828298568726,52,0.2363523542881012,0.28125,0.24579328298568726,0.21153846383094788,0.2824755012989044,51,0.23782415688037872,0.23284314572811127,0.23835785686969757,0.24632354080677032,0.26286765933036804,51,0.23466159403324127,0.23161765933036804,0.25245100259780884,0.25306373834609985,0.27757352590560913,51,0.23719164729118347,0.23774510622024536,0.2555147111415863,0.2291666716337204,0.23590686917304993,51,0.23592661321163177,0.21813726425170898,0.3075980544090271,0.23835785686969757,2.9092392921447754,0.4960543215274811,0.09233546257019043,0.34582290053367615,0.0035415482707321644,0.0,0.0,2.9000585079193115,0.49209633469581604,0.09260205179452896,0.3472766876220703,0.0038893339224159718,0.0,2.8840878009796143,0.4945998787879944,0.09396248310804367,0.3480742275714874,0.0035930697340518236,0.0,2.8658053874969482,0.4931448996067047,0.09427455067634583,0.3495999276638031,0.0033591093961149454,0.0,2.887921094894409,0.49474239349365234,0.09382130205631256,0.34943389892578125,0.0029761232435703278,0.0,2.8968846797943115,0.4937361478805542,0.09265431761741638,0.34765058755874634,0.0020824160892516375
7,0.7087040785700083,0.0167236328125,0.003100586010987172,0.4432133911177516,0.7087040785700083,0.36053466796875,0.03466246253810823,0.1132738646119833,0.058877922710962594,3.4707318395376205,0.6732795052230358,0.1165771484375,9.824106561417967e-06,-0.0186005770083284,31.682327032089233,4.998748242855072,0.0057031664764508605,1.0,-0.012558920308947563,0.11712311953306198,-0.012689443305134773,0.10944879800081253,0.005263006780296564,-0.6846238970756531,0.6183649282902479,0.4662506738677621,0.69305201433599,0.32099179085344076,0.32377095334231853,0.6182212326675653,0.2749002743512392,0.48528327606618404,0.7151996456086636,0.45256915409117937,0.6732795052230358,0.7983997035771608,0.42079859506338835,0.7356575671583414,0.9999624937772751,0.9997558612376451,0.21875,0.294921875,0.23193359375,0.25439453125,0.23475301265716553,0.3022836744785309,52,0.23449131846427917,0.22055289149284363,0.2289663553237915,0.24819712340831757,0.29963237047195435,51,0.23402908444404602,0.20098039507865906,0.2352941334247589,0.26409316062927246,0.29963237047195435,51,0.23466159403324127,0.21629902720451355,0.23345589637756348,0.2506127655506134,0.26409316062927246,51,0.23402908444404602,0.2352941334247589,0.2671568691730499,0.23345589637756348,0.22855393588542938,51,0.23655913770198822,0.22058823704719543,0.30575981736183167,0.2450980544090271,2.894132375717163,0.4939562678337097,0.09093255549669266,0.3437904119491577,0.004991102032363415,0.0,0.0,2.8822336196899414,0.4918547570705414,0.09368643909692764,0.34801557660102844,0.004222249146550894,0.0,2.8836381435394287,0.4927675724029541,0.09455829858779907,0.34861987829208374,0.003343172138556838,0.0,2.8800222873687744,0.4930272698402405,0.09355524182319641,0.3487096130847931,0.004456299357116222,0.0,2.87160062789917,0.49567437171936035,0.0938270166516304,0.3488256633281708,0.0029267289210110903,0.0,2.902148485183716,0.4899507462978363,0.09368825703859329,0.3474228084087372,0.00351675134152174
8,0.7134313136339188,0.0206298828125,0.0038818359917058842,0.43391851615160704,0.7134313136339188,0.372802734375,0.03141980362124741,0.11086066602729261,0.05120376870036125,3.1744085997343063,0.669491209089756,0.11871337890625,5.1370830700669945e-06,-0.025063059176318347,35.68106269836426,5.003820687532425,0.005153395788511261,1.0,-0.012541512958705425,0.1177801713347435,-0.012590035796165466,0.10934218019247055,0.004826091695576906,-0.6839550137519836,0.6266665533185005,0.48440122604370117,0.6968405395746231,0.31668155919760466,0.3282735198736191,0.6354758962988853,0.3069803034886718,0.47424039244651794,0.7179455254226923,0.46073340997099876,0.669491209089756,0.7947054598480463,0.41733113676309586,0.7331109624356031,0.9999798703938723,0.9997558631002903,0.239990234375,0.26708984375,0.2535400390625,0.2393798828125,0.23853325843811035,0.25901442766189575,52,0.23325061798095703,0.24278846383094788,0.25600963830947876,0.2421875149011612,0.25306373834609985,51,0.23972168564796448,0.24571079015731812,0.2616421580314636,0.2395833432674408,0.26776960492134094,51,0.23529410362243652,0.22855393588542938,0.25245100259780884,0.2512255012989044,0.24264706671237946,51,0.23845666646957397,0.23161765933036804,0.27757352590560913,0.24816177785396576,0.24938726425170898,51,0.24604679644107819,0.2512255012989044,0.27818629145622253,0.22120098769664764,2.894599437713623,0.4918982982635498,0.0944003164768219,0.35016781091690063,0.002905527362599969,0.0,0.0,2.886038064956665,0.49205484986305237,0.0944104865193367,0.34933385252952576,0.004487633239477873,0.0,2.8893795013427734,0.49294528365135193,0.09454350918531418,0.3498854637145996,0.0042594908736646175,0.0,2.883397340774536,0.4942159652709961,0.09388602524995804,0.3502044379711151,0.00497602391988039,0.0,2.891143321990967,0.49436038732528687,0.09285704791545868,0.34872451424598694,0.0038140746764838696,0.0,2.91788387298584,0.4904174506664276,0.09208273887634277,0.34788650274276733,0.004100937396287918
9,0.709246315062046,0.01806640625,0.003417968822759576,0.45197672583162785,0.709246315062046,0.37017822265625,0.0348358714254573,0.11643706820905209,0.05791515007149428,3.2919353619217873,0.6735682114958763,0.11865234375,1.3346108744372032e-05,-0.026202288747299463,31.14311182498932,5.00361105799675,0.004836835898458958,1.0,-0.012566393241286278,0.11717107892036438,-0.012533152475953102,0.10743506252765656,0.004541611764580011,-0.6839486956596375,0.6111039314419031,0.47528237756341696,0.6894056033343077,0.31916600186377764,0.3251071637496352,0.6248326916247606,0.2902527218684554,0.4755269028246403,0.7148438580334187,0.45343638863414526,0.6735682114958763,0.7948110122233629,0.4132216330617666,0.7350020445883274,0.9999505076557398,0.9998046904802322,0.230712890625,0.2742919921875,0.255615234375,0.2393798828125,0.23790322244167328,0.28245192766189575,52,0.23821339011192322,0.23497596383094788,0.23377405107021332,0.24879808723926544,0.2702206075191498,51,0.23592661321163177,0.23774510622024536,0.24877451360225677,0.24325981736183167,0.27328431606292725,51,0.23908917605876923,0.21997550129890442,0.2751225531101227,0.23161765933036804,0.21997550129890442,51,0.24098670482635498,0.22794118523597717,0.28308823704719543,0.26899510622024536,0.25183823704719543,51,0.23529410362243652,0.23284314572811127,0.262254923582077,0.25306373834609985,2.919246196746826,0.4942978024482727,0.09293791651725769,0.3488257825374603,0.0031740490812808275,0.0,0.0,2.8929526805877686,0.49516430497169495,0.09336254000663757,0.3489586412906647,0.0033313105814158916,0.0,2.896660327911377,0.49380651116371155,0.09424955397844315,0.3495338559150696,0.002647469053044915,0.0,2.9091553688049316,0.49358564615249634,0.09391548484563828,0.3499600291252136,0.0021810412872582674,0.0,2.9073374271392822,0.495620459318161,0.09316029399633408,0.34794723987579346,0.0033566399943083525,0.0,2.902845621109009,0.49382373690605164,0.09474968910217285,0.3490546941757202,0.0037293911445885897
