iteration,reward,done_rate,edge_reset_rate,vx_err,weighted_metric_reward,selector_reference_penalty,orientation_penalty,slip_penalty,lateral_velocity_penalty,lateral_position_penalty,clearance_reward,gait_switch_penalty,action_boundary_penalty,policy_loss,value_loss,entropy,adaptation_loss,alpha,z_teacher_mean,z_teacher_std,z_student_mean,z_student_std,z_error,log_std_mean,score_progress,score_yaw_tracking,score_orientation,score_pitch_rate,score_roll_rate,score_yaw_rate,score_lateral_drift,score_vertical_bounce,score_slip,score_energy,score_clearance,score_gait_stability,score_action_smoothness,score_action_magnitude,score_action_boundary_margin,score_survival,gait_pronk_ratio,gait_trot_ratio,gait_bound_ratio,gait_pace_ratio,gait_switch_rate,flat_trot_efficiency_trot_ratio,flat_trot_efficiency_count,flat_trot_efficiency_gait_switch_rate,flat_trot_efficiency_pronk_ratio,flat_trot_efficiency_bound_ratio,flat_trot_efficiency_pace_ratio,ramp_up_trot_robustness_trot_ratio,ramp_up_trot_robustness_count,ramp_up_trot_robustness_gait_switch_rate,ramp_up_trot_robustness_pronk_ratio,ramp_up_trot_robustness_bound_ratio,ramp_up_trot_robustness_pace_ratio,rough_slope_trot_robustness_trot_ratio,rough_slope_trot_robustness_count,rough_slope_trot_robustness_gait_switch_rate,rough_slope_trot_robustness_pronk_ratio,rough_slope_trot_robustness_bound_ratio,rough_slope_trot_robustness_pace_ratio,push_lateral_pace_recovery_pace_ratio,push_lateral_pace_recovery_count,push_lateral_pace_recovery_gait_switch_rate,push_lateral_pace_recovery_pronk_ratio,push_lateral_pace_recovery_trot_ratio,push_lateral_pace_recovery_bound_ratio,stepping_stones_easy_bound_highspeed_bound_ratio,stepping_stones_easy_bound_highspeed_count,stepping_stones_easy_bound_highspeed_gait_switch_rate,stepping_stones_easy_bound_highspeed_pronk_ratio,stepping_stones_easy_bound_highspeed_trot_ratio,stepping_stones_easy_bound_highspeed_pace_ratio,frequency_mean,duration_mean,footswing_height_mean,stance_width_mean,body_pitch_mean,action_clip_rate,flat_trot_efficiency_action_clip_rate,flat_trot_efficiency_frequency_mean,flat_trot_efficiency_duration_mean,flat_trot_efficiency_footswing_height_mean,flat_trot_efficiency_stance_width_mean,flat_trot_efficiency_body_pitch_mean,ramp_up_trot_robustness_action_clip_rate,ramp_up_trot_robustness_frequency_mean,ramp_up_trot_robustness_duration_mean,ramp_up_trot_robustness_footswing_height_mean,ramp_up_trot_robustness_stance_width_mean,ramp_up_trot_robustness_body_pitch_mean,rough_slope_trot_robustness_action_clip_rate,rough_slope_trot_robustness_frequency_mean,rough_slope_trot_robustness_duration_mean,rough_slope_trot_robustness_footswing_height_mean,rough_slope_trot_robustness_stance_width_mean,rough_slope_trot_robustness_body_pitch_mean,push_lateral_pace_recovery_action_clip_rate,push_lateral_pace_recovery_frequency_mean,push_lateral_pace_recovery_duration_mean,push_lateral_pace_recovery_footswing_height_mean,push_lateral_pace_recovery_stance_width_mean,push_lateral_pace_recovery_body_pitch_mean,stepping_stones_easy_bound_highspeed_action_clip_rate,stepping_stones_easy_bound_highspeed_frequency_mean,stepping_stones_easy_bound_highspeed_duration_mean,stepping_stones_easy_bound_highspeed_footswing_height_mean,stepping_stones_easy_bound_highspeed_stance_width_mean,stepping_stones_easy_bound_highspeed_body_pitch_mean
0,0.7539335787296295,0.0025634765625,0.00019531250291038305,0.4887059023603797,0.7539335787296295,0.37103271484375,0.036085620944504626,0.13362664449959993,0.07020402466878295,1.1745794759522141,0.75439453125,0.12060546875,0.0,-0.017865736183011904,39.18490767478943,1.3472831919789314,0.046205636812373996,1.0,0.010971065610647202,0.11710776388645172,0.00860150158405304,0.15172019600868225,0.019050730392336845,-0.6931471824645996,0.5595603825058788,0.44325373601168394,0.6803594771772623,0.2945729438215494,0.3085320182144642,0.5928697353228927,0.3847389710135758,0.4415393108720309,0.6946030166000128,0.43598549300804734,0.75439453125,0.7914334181696177,0.7616217331960797,1.0,1.0,0.9996826183050871,0.2412109375,0.25,0.2674560546875,0.2413330078125,0.22479838132858276,0.2788461744785309,52,0.22642679512500763,0.2343750149011612,0.25661057233810425,0.23016828298568726,0.2444853037595749,51,0.2226438820362091,0.262254923582077,0.27818629145622253,0.21507354080677032,0.24754902720451355,51,0.22454142570495605,0.24264706671237946,0.28125,0.22855393588542938,0.2671568691730499,51,0.22580644488334656,0.22181373834609985,0.24080882966518402,0.2702206075191498,0.2512255012989044,51,0.22454142570495605,0.2450980544090271,0.23774510622024536,0.2659313678741455,2.873046875,0.5,0.09968750178813934,0.3546093702316284,0.0,0.0,0.0,2.884916067123413,0.5,0.09947115182876587,0.35433894395828247,0.0,0.0,2.892463445663452,0.5,0.09973037987947464,0.35466301441192627,0.0,0.0,2.885723114013672,0.5,0.10039215534925461,0.35549023747444153,0.0,0.0,2.866421699523926,0.5,0.10149510204792023,0.3568688929080963,0.0,0.0,2.867034435272217,0.5,0.10068626701831818,0.35585784912109375,0.0
1,0.7591134067624807,0.024658203125,0.004589843807480065,0.45250248443335295,0.7591134067624807,0.37396240234375,0.030834735836833715,0.11110900831408799,0.04967513051815331,3.4381245151162148,0.743896484375,0.1192626953125,0.0,-0.013231590914074332,22.827687859535217,1.3355842605233192,0.015022425970528275,1.0,0.011649892665445805,0.1168883815407753,0.009134436026215553,0.13441716134548187,0.01105695404112339,-0.6931471824645996,0.6054029259830713,0.482708559371531,0.6941645946353674,0.3133546859025955,0.331632093526423,0.6358104851096869,0.30417978996410966,0.45961814280599356,0.7205175589770079,0.45767875388264656,0.743896484375,0.7937555089592934,0.7642757445573807,1.0,1.0,0.9996582083404064,0.2618408203125,0.2503662109375,0.265380859375,0.222412109375,0.24105341732501984,0.2475961595773697,52,0.23821339011192322,0.2788461744785309,0.27163463830947876,0.20192308723926544,0.2297794222831726,51,0.24098670482635498,0.26409316062927246,0.2647058963775635,0.24142158031463623,0.28370100259780884,51,0.24541428685188293,0.24632354080677032,0.2653186321258545,0.20465686917304993,0.23284314572811127,51,0.24225172400474548,0.2616421580314636,0.24693627655506134,0.25857844948768616,0.2665441334247589,51,0.23845666646957397,0.25796568393707275,0.24387255311012268,0.23161765933036804,2.8828125,0.5,0.09953124821186066,0.35441407561302185,0.0,0.0,0.0,2.899038553237915,0.5,0.09894230216741562,0.353677898645401,0.0,0.0,2.879289388656616,0.5,0.10024509578943253,0.3553064167499542,0.0,0.0,2.897671699523926,0.5,0.09879902005195618,0.35349881649017334,0.0,0.0,2.8835785388946533,0.5,0.0996568575501442,0.3545711040496826,0.0,0.0,2.8841912746429443,0.5,0.09992647171020508,0.35490813851356506,0.0
2,0.7554387580603361,0.0194091796875,0.003637695397628704,0.4295989153906703,0.7554387580603361,0.375732421875,0.033530438668094575,0.11214854987338185,0.06173727917484939,3.4478877931833267,0.7481689453125,0.11785888671875,0.0,-0.00819947340642102,31.824872493743896,1.3233516663312912,0.009834938333369792,1.0,0.009598801843822002,0.11669400334358215,0.009989023208618164,0.12346364557743073,0.008294852450489998,-0.6931471824645996,0.6216746997088194,0.47707147989422083,0.6830813810229301,0.31107751559466124,0.32385368552058935,0.6274228077381849,0.27524004597216845,0.47317532543092966,0.7156561147421598,0.45812457613646984,0.7481689453125,0.7961831595748663,0.7670503910630941,1.0,1.0,0.9997558631002903,0.2501220703125,0.2535400390625,0.26611328125,0.230224609375,0.2358870953321457,0.24278846383094788,52,0.2388337403535843,0.23016828298568726,0.293870210647583,0.23317308723926544,0.25857844948768616,51,0.23276406526565552,0.24693627655506134,0.2616421580314636,0.23284314572811127,0.26348039507865906,51,0.23719164729118347,0.2395833432674408,0.27879902720451355,0.21813726425170898,0.23835785686969757,51,0.24098670482635498,0.25857844948768616,0.24693627655506134,0.2561274468898773,0.2395833432674408,51,0.22960150241851807,0.2757353186607361,0.2561274468898773,0.22855393588542938,2.87890625,0.5,0.09984374046325684,0.3548046946525574,0.0,0.0,0.0,2.883413553237915,0.5,0.1010817214846611,0.35635221004486084,0.0,0.0,2.8835785388946533,0.5,0.099779412150383,0.35472428798675537,0.0,0.0,2.8909313678741455,0.5,0.09987745434045792,0.3548468053340912,0.0,0.0,2.8808212280273438,0.5,0.099779412150383,0.35472428798675537,0.0,0.0,2.885723114013672,0.5,0.09872549027204514,0.3534068763256073,0.0
3,0.759101327508688,0.016845703125,0.0032226563162112143,0.4137593638151884,0.759101327508688,0.37481689453125,0.029915445018559694,0.11189320962876081,0.05515850428491831,3.505630739033222,0.7440185546875,0.11871337890625,0.0,-0.008590881014242768,36.357141613960266,1.309589922428131,0.007960853952681646,1.0,0.009529732167720795,0.11717402189970016,0.00943414494395256,0.1178157851099968,0.007095819339156151,-0.6931471824645996,0.6349037829786539,0.47719667106866837,0.6971776001155376,0.31794640235602856,0.32842473592609167,0.628534996882081,0.2822569985873997,0.47408599872142076,0.7113437186926603,0.4553214218467474,0.7440185546875,0.7947054654359818,0.7653614766895771,1.0,1.0,0.9998535178601742,0.25439453125,0.257568359375,0.258544921875,0.2294921875,0.23664313554763794,0.2524038553237915,52,0.2388337403535843,0.26742789149284363,0.2764423191547394,0.20372596383094788,0.24264706671237946,51,0.23719164729118347,0.2610294222831726,0.2549019753932953,0.24142158031463623,0.2610294222831726,51,0.23655913770198822,0.23161765933036804,0.2714460790157318,0.23590686917304993,0.24571079015731812,51,0.23972168564796448,0.23835785686969757,0.2763480544090271,0.2395833432674408,0.25,51,0.23086653649806976,0.27328431606292725,0.2555147111415863,0.22120098769664764,2.90234375,0.5,0.10062499344348907,0.3557812571525574,0.0,0.0,0.0,2.898137092590332,0.5,0.09920673817396164,0.35400843620300293,0.0,0.0,2.879289388656616,0.5,0.09985294193029404,0.354816198348999,0.0,0.0,2.882046699523926,0.5,0.10029411315917969,0.3553677201271057,0.0,0.0,2.8771448135375977,0.5,0.09941176325082779,0.3542647063732147,0.0,0.0,2.889399528503418,0.5,0.09884803742170334,0.35356006026268005,0.0
4,0.7553563676774502,0.01904296875,0.0036376953721628524,0.438845562748611,0.7553563676774502,0.37017822265625,0.03147405287018046,0.11640043486841023,0.05621585622429848,3.490503638982773,0.751953125,0.11871337890625,0.0,-0.008764821774093434,45.40829944610596,1.2972584068775177,0.0070561241009272635,1.0,0.010301382280886173,0.11699903756380081,0.009727012366056442,0.11501341313123703,0.006444810424000025,-0.6931471824645996,0.6119248084723949,0.46638066694140434,0.6906085107475519,0.31000813003629446,0.32520204316824675,0.6182850636541843,0.28486394975334406,0.4749563029035926,0.7118513192981482,0.4499342134222388,0.751953125,0.7947054617106915,0.7653614785522223,1.0,1.0,0.9998291041702032,0.2357177734375,0.2603759765625,0.2769775390625,0.2269287109375,0.23550906777381897,0.25961539149284363,52,0.2338709682226181,0.23617789149284363,0.2884615361690521,0.21574519574642181,0.2671568691730499,51,0.23402908444404602,0.2389705926179886,0.27267158031463623,0.22120098769664764,0.25857844948768616,51,0.23972168564796448,0.23651961982250214,0.2879902124404907,0.21691177785396576,0.25245100259780884,51,0.23719164729118347,0.19485294818878174,0.27757352590560913,0.2751225531101227,0.2604166865348816,51,0.23276406526565552,0.2720588445663452,0.2389705926179886,0.22855393588542938,2.880859375,0.5,0.09937499463558197,0.3542187511920929,0.0,0.0,0.0,2.892127513885498,0.5,0.10016826540231705,0.35521039366722107,0.0,0.0,2.889399528503418,0.5,0.09975489974021912,0.35469362139701843,0.0,0.0,2.8915441036224365,0.5,0.10019608587026596,0.35524511337280273,0.0,0.0,2.873774528503418,0.5,0.10110294818878174,0.3563787043094635,0.0,0.0,2.885723114013672,0.5,0.09955882281064987,0.3544485569000244,0.0
5,0.7518958635628223,0.0198974609375,0.003613281325669959,0.4576712306588888,0.7518958635628223,0.3720703125,0.03750958014279604,0.11318812007084489,0.05624134570825845,3.4650246649980545,0.7569580078125,0.11798095703125,0.0,-0.011502289969939739,47.971246004104614,1.2794477120041847,0.006489639054052532,1.0,0.010346758179366589,0.11683984845876694,0.01116537768393755,0.11302362382411957,0.005853457376360893,-0.6931471824645996,0.6045634727925062,0.468107208609581,0.6770656555891037,0.3036807319149375,0.32340523041784763,0.6199703998863697,0.27187990583479404,0.4656938835978508,0.7093394435942173,0.4463608767837286,0.7569580078125,0.7959720697253942,0.7668091095983982,1.0,1.0,0.9996337927877903,0.2337646484375,0.2523193359375,0.2861328125,0.227783203125,0.2348790317773819,0.25120192766189575,52,0.231389582157135,0.25,0.27524039149284363,0.22355769574642181,0.24693627655506134,51,0.23339657485485077,0.21629902720451355,0.28492647409439087,0.25183823704719543,0.2665441334247589,51,0.23719164729118347,0.22549019753932953,0.3014706075191498,0.20649510622024536,0.23223039507865906,51,0.23908917605876923,0.2389705926179886,0.24203431606292725,0.2867647111415863,0.2824755012989044,51,0.23339657485485077,0.23774510622024536,0.2549019753932953,0.2248774617910385,2.869140625,0.5,0.10234375298023224,0.35792970657348633,0.0,0.0,0.0,2.888221263885498,0.5,0.09995191544294357,0.35493990778923035,0.0,0.0,2.8740808963775635,0.5,0.10147059708833694,0.3568382263183594,0.0,0.0,2.8967525959014893,0.5,0.10031863301992416,0.3553982973098755,0.0,0.0,2.883884906768799,0.5,0.10075981169939041,0.3559497892856598,0.0,0.0,2.887561321258545,0.5,0.10029411315917969,0.35536766052246094,0.0
6,0.7563909403979778,0.0201416015625,0.0038330078750732355,0.4397420082241297,0.7563909403979778,0.37548828125,0.03262288367841393,0.1148173208348453,0.058031338383443654,3.5534338280558586,0.758544921875,0.117431640625,0.0,-0.013373306224821135,45.543519496917725,1.26712766289711,0.00568181776907295,1.0,0.01069732941687107,0.1170479953289032,0.010209266096353531,0.1103387102484703,0.005198141559958458,-0.6931471824645996,0.612935608252883,0.4686482949182391,0.6912811174988747,0.3151310831308365,0.3303947476670146,0.6217055562883615,0.298453152179718,0.47803229559212923,0.7122164722532034,0.4521509390324354,0.758544921875,0.7969220131635666,0.7678948491811752,1.0,1.0,0.9998046904802322,0.239501953125,0.243408203125,0.273681640625,0.243408203125,0.23626510798931122,0.23858174681663513,52,0.24193547666072845,0.2475961595773697,0.27704328298568726,0.2367788553237915,0.25306373834609985,51,0.23402908444404602,0.24264706671237946,0.24938726425170898,0.2549019753932953,0.23651961982250214,51,0.23213155567646027,0.21997550129890442,0.2873774468898773,0.2561274468898773,0.2450980544090271,51,0.23782415688037872,0.21752451360225677,0.2549019753932953,0.2824755012989044,0.2720588445663452,51,0.23529410362243652,0.2696078419685364,0.2340686321258545,0.2242647111415863,2.876953125,0.5,0.1015625,0.35695314407348633,0.0,0.0,0.0,2.881610631942749,0.5,0.10055288672447205,0.3556911051273346,0.0,0.0,2.872549057006836,0.5,0.10017156600952148,0.3552144467830658,0.0,0.0,2.871936321258545,0.5,0.10174019634723663,0.3571752905845642,0.0,0.0,2.877451181411743,0.5,0.10110294818878174,0.3563786745071411,0.0,0.0,2.8878676891326904,0.5,0.09985294193029404,0.354816198348999,0.0
7,0.7573999520391226,0.017333984375,0.0032470703754370334,0.44678326789289713,0.7573999520391226,0.3809814453125,0.034196057182271034,0.11348785809241235,0.05447275971528143,3.334803529083729,0.75164794921875,0.11749267578125,0.0,-0.010681946892873384,36.61390292644501,1.269215814769268,0.005051972926594317,1.0,0.011410307139158249,0.11634556204080582,0.011257434263825417,0.10964072495698929,0.004672763869166374,-0.6931471824645996,0.6221190094947815,0.47790419962257147,0.684430681169033,0.315910579636693,0.32992433942854404,0.6290624421089888,0.2856788272038102,0.4801130499690771,0.7220713458955288,0.45457660779356956,0.75164794921875,0.7968164626508951,0.7677742075175047,1.0,1.0,0.9997802767902613,0.2489013671875,0.247802734375,0.275146484375,0.2281494140625,0.23601309955120087,0.2265625149011612,52,0.2363523542881012,0.23497596383094788,0.30108174681663513,0.23737981915473938,0.2591911852359772,51,0.23719164729118347,0.24264706671237946,0.2818627655506134,0.21629902720451355,0.25,51,0.23276406526565552,0.25306373834609985,0.24693627655506134,0.25,0.19669118523597717,51,0.24035419523715973,0.2647058963775635,0.2512255012989044,0.2873774468898773,0.25796568393707275,51,0.23339657485485077,0.24938726425170898,0.25245100259780884,0.240196093916893,2.88671875,0.5,0.10109374672174454,0.35636720061302185,0.0,0.0,0.0,2.881310224533081,0.5,0.10153845697641373,0.35692310333251953,0.0,0.0,2.891850709915161,0.5,0.09992646425962448,0.35490813851356506,0.0,0.0,2.875,0.5,0.09987745434045792,0.3548468053340912,0.0,0.0,2.9016544818878174,0.5,0.09936275333166122,0.3542034924030304,0.0,0.0,2.8799021244049072,0.5,0.09992646425962448,0.3549080789089203,0.0
8,0.7598358429968357,0.0186767578125,0.0035400391407165444,0.4213970275595784,0.7598358429968357,0.381591796875,0.02966659632511437,0.10790063044987619,0.05491560057271272,3.449240379035473,0.7513427734375,0.11712646484375,0.0,-0.012393296681693755,36.78323698043823,1.2545213401317596,0.004567276744637638,1.0,0.010770278982818127,0.11675082892179489,0.009976670145988464,0.10805374383926392,0.0043048011139035225,-0.6931471824645996,0.6282931957393885,0.48564107064157724,0.7007595151662827,0.3175875060260296,0.33736124634742737,0.6366476602852345,0.27836371632292867,0.47232482489198446,0.7210983000695705,0.4612950272858143,0.7513427734375,0.7974497694522142,0.7684980276972055,1.0,1.0,0.9998046904802322,0.2396240234375,0.2576904296875,0.2664794921875,0.2362060546875,0.23273688554763794,0.22596155107021332,52,0.2363523542881012,0.25360578298568726,0.25961539149284363,0.2608173191547394,0.2591911852359772,51,0.2277039736509323,0.21507354080677032,0.2873774468898773,0.23835785686969757,0.23161765933036804,51,0.23592661321163177,0.2653186321258545,0.2720588445663452,0.23100490868091583,0.2187500149011612,51,0.23213155567646027,0.22732843458652496,0.28921568393707275,0.2647058963775635,0.24877451360225677,51,0.23149904608726501,0.23651961982250214,0.28308823704719543,0.23161765933036804,2.890625,0.5,0.10062499344348907,0.3557812571525574,0.0,0.0,0.0,2.869591474533081,0.5,0.10081730037927628,0.3560216724872589,0.0,0.0,2.8808212280273438,0.5,0.1010294109582901,0.35628679394721985,0.0,0.0,2.88449764251709,0.5,0.10012254863977432,0.35515323281288147,0.0,0.0,2.890625,0.5,0.09933823347091675,0.35417282581329346,0.0,0.0,2.8841912746429443,0.5,0.09921568632125854,0.3540196120738983,0.0
9,0.7561803739517927,0.017578125,0.003320312569485395,0.44183610659092665,0.7561803739517927,0.37701416015625,0.03441621962701902,0.1107753689866513,0.05818824237212539,3.5284837633371353,0.752685546875,0.11895751953125,0.0,-0.01197141211014241,36.24252104759216,1.244165264070034,0.004432078218087554,1.0,0.010417301207780838,0.11687061935663223,0.010239329189062119,0.10773865878582001,0.004208574071526527,-0.6931471824645996,0.6205961965024471,0.47819242533296347,0.6881479881703854,0.3203247347846627,0.326219511218369,0.6279408987611532,0.2699491619132459,0.47435157652944326,0.7166311517357826,0.4539715340360999,0.752685546875,0.7942832577973604,0.7648789249360561,1.0,1.0,0.9998046904802322,0.240234375,0.25439453125,0.2711181640625,0.2342529296875,0.23790322244167328,0.24278846383094788,52,0.22828784584999084,0.24579328298568726,0.265625,0.24579328298568726,0.2506127655506134,51,0.24225172400474548,0.24693627655506134,0.2671568691730499,0.2352941334247589,0.25,51,0.23782415688037872,0.2346813827753067,0.25183823704719543,0.26348039507865906,0.2138480395078659,51,0.24288424849510193,0.23161765933036804,0.2561274468898773,0.2984068691730499,0.27267158031463623,51,0.23845666646957397,0.24203431606292725,0.27267158031463623,0.21262255311012268,2.89453125,0.5,0.09859374910593033,0.3532422184944153,0.0,0.0,0.0,2.877103567123413,0.5,0.10045673698186874,0.3555709421634674,0.0,0.0,2.8823530673980713,0.5,0.10009804368019104,0.35512256622314453,0.0,0.0,2.868259906768799,0.5,0.10061274468898773,0.3557659387588501,0.0,0.0,2.893076181411743,0.5,0.10049019008874893,0.35561275482177734,0.0,0.0,2.893688917160034,0.5,0.09941176325082779,0.3542647361755371,0.0
