iteration,reward,done_rate,edge_reset_rate,vx_err,weighted_metric_reward,selector_reference_penalty,orientation_penalty,slip_penalty,lateral_velocity_penalty,lateral_position_penalty,clearance_reward,gait_switch_penalty,action_boundary_penalty,policy_loss,value_loss,entropy,adaptation_loss,alpha,z_teacher_mean,z_teacher_std,z_student_mean,z_student_std,z_error,log_std_mean,score_progress,score_yaw_tracking,score_orientation,score_pitch_rate,score_roll_rate,score_yaw_rate,score_lateral_drift,score_vertical_bounce,score_slip,score_energy,score_clearance,score_gait_stability,score_action_smoothness,score_action_magnitude,score_action_boundary_margin,score_survival,gait_pronk_ratio,gait_trot_ratio,gait_bound_ratio,gait_pace_ratio,gait_switch_rate,flat_trot_efficiency_trot_ratio,flat_trot_efficiency_count,flat_trot_efficiency_gait_switch_rate,flat_trot_efficiency_pronk_ratio,flat_trot_efficiency_bound_ratio,flat_trot_efficiency_pace_ratio,ramp_up_trot_robustness_trot_ratio,ramp_up_trot_robustness_count,ramp_up_trot_robustness_gait_switch_rate,ramp_up_trot_robustness_pronk_ratio,ramp_up_trot_robustness_bound_ratio,ramp_up_trot_robustness_pace_ratio,rough_slope_trot_robustness_trot_ratio,rough_slope_trot_robustness_count,rough_slope_trot_robustness_gait_switch_rate,rough_slope_trot_robustness_pronk_ratio,rough_slope_trot_robustness_bound_ratio,rough_slope_trot_robustness_pace_ratio,push_lateral_pace_recovery_pace_ratio,push_lateral_pace_recovery_count,push_lateral_pace_recovery_gait_switch_rate,push_lateral_pace_recovery_pronk_ratio,push_lateral_pace_recovery_trot_ratio,push_lateral_pace_recovery_bound_ratio,stepping_stones_easy_bound_highspeed_bound_ratio,stepping_stones_easy_bound_highspeed_count,stepping_stones_easy_bound_highspeed_gait_switch_rate,stepping_stones_easy_bound_highspeed_pronk_ratio,stepping_stones_easy_bound_highspeed_trot_ratio,stepping_stones_easy_bound_highspeed_pace_ratio,frequency_mean,duration_mean,footswing_height_mean,stance_width_mean,body_pitch_mean,action_clip_rate,flat_trot_efficiency_action_clip_rate,flat_trot_efficiency_frequency_mean,flat_trot_efficiency_duration_mean,flat_trot_efficiency_footswing_height_mean,flat_trot_efficiency_stance_width_mean,flat_trot_efficiency_body_pitch_mean,ramp_up_trot_robustness_action_clip_rate,ramp_up_trot_robustness_frequency_mean,ramp_up_trot_robustness_duration_mean,ramp_up_trot_robustness_footswing_height_mean,ramp_up_trot_robustness_stance_width_mean,ramp_up_trot_robustness_body_pitch_mean,rough_slope_trot_robustness_action_clip_rate,rough_slope_trot_robustness_frequency_mean,rough_slope_trot_robustness_duration_mean,rough_slope_trot_robustness_footswing_height_mean,rough_slope_trot_robustness_stance_width_mean,rough_slope_trot_robustness_body_pitch_mean,push_lateral_pace_recovery_action_clip_rate,push_lateral_pace_recovery_frequency_mean,push_lateral_pace_recovery_duration_mean,push_lateral_pace_recovery_footswing_height_mean,push_lateral_pace_recovery_stance_width_mean,push_lateral_pace_recovery_body_pitch_mean,stepping_stones_easy_bound_highspeed_action_clip_rate,stepping_stones_easy_bound_highspeed_frequency_mean,stepping_stones_easy_bound_highspeed_duration_mean,stepping_stones_easy_bound_highspeed_footswing_height_mean,stepping_stones_easy_bound_highspeed_stance_width_mean,stepping_stones_easy_bound_highspeed_body_pitch_mean
0,0.7565183117985725,0.002685546875,0.00019531250109139364,0.4803509460762143,0.7565183117985725,0.386474609375,0.030363232996023726,0.13210775452898815,0.06311754137277603,1.0430733946509463,0.74920654296875,0.12054443359375,0.0,-0.018494602118153125,40.383198857307434,1.3438172563910484,0.04581412172410637,1.0,-0.03414874151349068,0.11760654300451279,-0.036077648401260376,0.1521715223789215,0.019721921533346176,-0.6931471824645996,0.5611587469466031,0.4487923327833414,0.6917930450290442,0.2966758473776281,0.3185384930111468,0.5995199829339981,0.3996553523465991,0.4221505453751888,0.6907959086820483,0.44101721281185746,0.74920654296875,0.7915389640256763,0.7617423734627664,1.0,1.0,0.9996582046151161,0.286865234375,0.2147216796875,0.24169921875,0.2567138671875,0.22454635798931122,0.21514423191547394,52,0.2270471453666687,0.27944713830947876,0.2578125,0.2475961595773697,0.23345589637756348,51,0.23086653649806976,0.2818627655506134,0.2352941334247589,0.24938726425170898,0.21262255311012268,51,0.22327639162540436,0.3026960790157318,0.24264706671237946,0.24203431606292725,0.2555147111415863,51,0.22201137244701385,0.28370100259780884,0.20710785686969757,0.25367647409439087,0.2187500149011612,51,0.21948133409023285,0.2867647111415863,0.20526961982250214,0.28921568393707275,2.86328125,0.5,0.10265624523162842,0.35832032561302185,0.0,0.0,0.0,2.87620210647583,0.5,0.10021635890007019,0.35527047514915466,0.0,0.0,2.8753063678741455,0.5,0.0993872582912445,0.35423409938812256,0.0,0.0,2.8789830207824707,0.5,0.0993872582912445,0.35423409938812256,0.0,0.0,2.8722426891326904,0.5,0.10036764293909073,0.3554595708847046,0.0,0.0,2.8553922176361084,0.5,0.10031863301992416,0.3553982973098755,0.0
1,0.758509811013937,0.0245361328125,0.004736328190119821,0.43438461422920227,0.758509811013937,0.38330078125,0.028352468856610358,0.10763475368730724,0.053531834040768445,3.6233120411634445,0.74884033203125,0.11968994140625,0.0,-0.011541686137206852,22.394347667694092,1.3371508792042732,0.01598573208320886,1.0,-0.03450604900717735,0.1161012053489685,-0.03428448736667633,0.12997397780418396,0.012262439355254173,-0.6931471824645996,0.6147623304277658,0.4852927001193166,0.7044812422245741,0.3247847147285938,0.32878186739981174,0.638898566365242,0.28816261421889067,0.4544925056397915,0.7171238083392382,0.4588949913159013,0.74884033203125,0.7930166758596897,0.7634312827140093,1.0,1.0,0.9998291041702032,0.2774658203125,0.224853515625,0.245849609375,0.2518310546875,0.24080140888690948,0.21995192766189575,52,0.24131514132022858,0.2818509638309479,0.24399039149284363,0.25420674681663513,0.22794118523597717,51,0.24098670482635498,0.26409316062927246,0.24264706671237946,0.2653186321258545,0.23039215803146362,51,0.23972168564796448,0.26409316062927246,0.2604166865348816,0.2450980544090271,0.24754902720451355,51,0.24288424849510193,0.2873774468898773,0.2242647111415863,0.24080882966518402,0.24142158031463623,51,0.23908917605876923,0.28982844948768616,0.22181373834609985,0.24693627655506134,2.87890625,0.5,0.10046874731779099,0.3555859327316284,0.0,0.0,0.0,2.872896671295166,0.5,0.0999278873205185,0.35490989685058594,0.0,0.0,2.8673408031463623,0.5,0.10031862556934357,0.3553982973098755,0.0,0.0,2.877451181411743,0.5,0.10022059082984924,0.3552757501602173,0.0,0.0,2.876225709915161,0.5,0.09953431785106659,0.35441792011260986,0.0,0.0,2.8765320777893066,0.5,0.09953431785106659,0.35441792011260986,0.0
2,0.7564877513796091,0.01806640625,0.003540039157087449,0.4414647798985243,0.7564877513796091,0.3741455078125,0.031445554399397224,0.11164282308891416,0.058661181945353746,3.408989667892456,0.7496337890625,0.11962890625,0.0,-0.007385393779259175,30.583558082580566,1.322162352502346,0.011580245394725353,1.0,-0.03392462059855461,0.1167726218700409,-0.03404480218887329,0.11685492843389511,0.009900211356580257,-0.6931471824645996,0.6119218170642853,0.4793793177232146,0.6941563673317432,0.3155854633077979,0.3267394509166479,0.6288969703018665,0.28981066728010774,0.4799426067620516,0.7121219541877508,0.4524067798629403,0.7496337890625,0.7931222096085548,0.7635519225150347,1.0,1.0,0.9999267589300871,0.2503662109375,0.2503662109375,0.24658203125,0.252685546875,0.23802922666072845,0.2632211744785309,52,0.23449131846427917,0.24819712340831757,0.25961539149284363,0.2289663553237915,0.2352941334247589,51,0.23845666646957397,0.24877451360225677,0.2395833432674408,0.2763480544090271,0.2696078419685364,51,0.23466159403324127,0.23284314572811127,0.2450980544090271,0.25245100259780884,0.2555147111415863,51,0.24667930603027344,0.25367647409439087,0.23713235557079315,0.25367647409439087,0.2346813827753067,51,0.23592661321163177,0.26838237047195435,0.24632354080677032,0.2506127655506134,2.865234375,0.5,0.0989062488079071,0.3536328375339508,0.0,0.0,0.0,2.885516881942749,0.5,0.0995432659983635,0.35442912578582764,0.0,0.0,2.861826181411743,0.5,0.10063724964857101,0.35579660534858704,0.0,0.0,2.873774528503418,0.5,0.0999019593000412,0.3548774719238281,0.0,0.0,2.8722426891326904,0.5,0.10036764293909073,0.355459600687027,0.0,0.0,2.8746936321258545,0.5,0.09941176325082779,0.3542647361755371,0.0
3,0.7611475773155689,0.0191650390625,0.003735351641807938,0.4204409793019295,0.7611475773155689,0.37451171875,0.029920990928076208,0.1127669750712812,0.05463705840520561,3.3648685812950134,0.74676513671875,0.11798095703125,0.0,-0.007597947464091703,36.543519020080566,1.308750107884407,0.00939238240243867,1.0,-0.034572869539260864,0.11693824082612991,-0.03515339270234108,0.11356169730424881,0.008453999646008015,-0.6931471824645996,0.6305882465094328,0.4818254718557,0.7002943456172943,0.3232655534520745,0.3279851768165827,0.6342341750860214,0.3006923943758011,0.472103183157742,0.713619202375412,0.45448962692171335,0.74676513671875,0.795972066000104,0.766809118911624,1.0,1.0,0.9999023452401161,0.254150390625,0.2523193359375,0.2391357421875,0.25439453125,0.23651713132858276,0.25600963830947876,52,0.24131514132022858,0.24399039149284363,0.22836539149284363,0.27163463830947876,0.2555147111415863,51,0.23402908444404602,0.26409316062927246,0.23284314572811127,0.24754902720451355,0.24387255311012268,51,0.23276406526565552,0.262254923582077,0.2450980544090271,0.24877451360225677,0.2506127655506134,51,0.23845666646957397,0.2506127655506134,0.25796568393707275,0.24080882966518402,0.24877451360225677,51,0.23592661321163177,0.25,0.24816177785396576,0.25306373834609985,2.87890625,0.5,0.10078124701976776,0.35597658157348633,0.0,0.0,0.0,2.864182710647583,0.5,0.10000000149011612,0.35500001907348633,0.0,0.0,2.876225709915161,0.5,0.09921567887067795,0.3540196120738983,0.0,0.0,2.875612735748291,0.5,0.09975489974021912,0.35469362139701843,0.0,0.0,2.8746936321258545,0.5,0.09965686500072479,0.3545711040496826,0.0,0.0,2.8734681606292725,0.5,0.10007353127002716,0.35509195923805237,0.0
4,0.7561069037765265,0.0167236328125,0.0031494141348957783,0.4441421125084162,0.7561069037765265,0.37060546875,0.033111855445895344,0.12419718969613314,0.05710248916875571,3.238659806549549,0.74871826171875,0.1182861328125,0.0,-0.005418431974248961,40.95097851753235,1.2952210754156113,0.008386725501623005,1.0,-0.03437557443976402,0.11595095694065094,-0.0345596969127655,0.10963046550750732,0.007797639816999435,-0.6931471824645996,0.6152704656124115,0.4698943803086877,0.6871551126241684,0.31229226011782885,0.32527317106723785,0.6209418512880802,0.28302468452602625,0.4749229596927762,0.7085678242146969,0.449292927980423,0.74871826171875,0.7954443152993917,0.7662059366703033,1.0,1.0,0.9998046904802322,0.2486572265625,0.25390625,0.263671875,0.2337646484375,0.23651713132858276,0.2710336744785309,52,0.2363523542881012,0.262620210647583,0.23557692766189575,0.23076924681663513,0.23161765933036804,51,0.23276406526565552,0.23835785686969757,0.26348039507865906,0.2665441334247589,0.2720588445663452,51,0.23845666646957397,0.26348039507865906,0.25857844948768616,0.20588235557079315,0.2248774617910385,51,0.24414926767349243,0.2647058963775635,0.24325981736183167,0.2671568691730499,0.29411765933036804,51,0.23086653649806976,0.2138480395078659,0.2512255012989044,0.24080882966518402,2.869140625,0.5,0.10015624761581421,0.3551953434944153,0.0,0.0,0.0,2.884615421295166,0.5,0.09865384548902512,0.35331735014915466,0.0,0.0,2.8667280673980713,0.5,0.10120097547769547,0.3565012514591217,0.0,0.0,2.8970589637756348,0.5,0.09857843816280365,0.35322311520576477,0.0,0.0,2.887561321258545,0.5,0.09968136996030807,0.35460174083709717,0.0,0.0,2.8795957565307617,0.5,0.1013970598578453,0.3567463457584381,0.0
5,0.7616319544613361,0.0185546875,0.0035400391134317033,0.4250961896032095,0.7616319544613361,0.36676025390625,0.030140331364236772,0.10749130533076823,0.050396601436659694,3.3919645473361015,0.74102783203125,0.11810302734375,0.0,-0.011187894298927858,47.690105676651,1.2696485593914986,0.00724497638293542,1.0,-0.034488290548324585,0.11622196435928345,-0.03450174629688263,0.10694390535354614,0.006656286306679249,-0.6931471824645996,0.6251728665083647,0.4839268885552883,0.6987525634467602,0.3186757965013385,0.3354952000081539,0.6364630460739136,0.2976618316024542,0.48353227134793997,0.7203217931091785,0.45656168926507235,0.74102783203125,0.7957609556615353,0.7665678430348635,1.0,1.0,0.9998291041702032,0.2373046875,0.2806396484375,0.2528076171875,0.229248046875,0.23689515888690948,0.30889424681663513,52,0.23573200404644012,0.22175481915473938,0.22716346383094788,0.2421875149011612,0.280637264251709,51,0.23972168564796448,0.23345589637756348,0.25306373834609985,0.23284314572811127,0.2659313678741455,51,0.23466159403324127,0.2659313678741455,0.2708333432674408,0.19730393588542938,0.21446079015731812,51,0.23972168564796448,0.2340686321258545,0.29963237047195435,0.25183823704719543,0.2616421580314636,51,0.23466159403324127,0.23161765933036804,0.24754902720451355,0.2591911852359772,2.880859375,0.5,0.09953124821186066,0.35441407561302185,0.0,0.0,0.0,2.87890625,0.5,0.0987740308046341,0.35346758365631104,0.0,0.0,2.8835785388946533,0.5,0.09943627566099167,0.35429537296295166,0.0,0.0,2.901348114013672,0.5,0.09872549027204514,0.3534068763256073,0.0,0.0,2.8927698135375977,0.5,0.09865196794271469,0.35331496596336365,0.0,0.0,2.8704044818878174,0.5,0.10083333402872086,0.35604172945022583,0.0
6,0.7576734442263842,0.0185546875,0.003540039144354523,0.42305312771350145,0.7576734442263842,0.36700439453125,0.03137390466872603,0.11248447839170694,0.05537984205875546,3.6060549169778824,0.73455810546875,0.1192626953125,0.0,-0.011028079126845114,46.22878885269165,1.268095687031746,0.006760066928109154,1.0,-0.034451961517333984,0.11640310287475586,-0.03507428243756294,0.10609070211648941,0.006261037662625313,-0.6931471824645996,0.6271975040435791,0.4826678493991494,0.6941744051873684,0.3214271515607834,0.329791521653533,0.6342710480093956,0.2757190424017608,0.4786537531763315,0.7140141911804676,0.4546386441215873,0.73455810546875,0.7937555182725191,0.7642757426947355,1.0,1.0,0.9998291041702032,0.240966796875,0.2899169921875,0.2586669921875,0.21044921875,0.23828125,0.30108174681663513,52,0.23263026773929596,0.2319711595773697,0.2554086744785309,0.21153846383094788,0.29534316062927246,51,0.23655913770198822,0.2395833432674408,0.25367647409439087,0.21139706671237946,0.2659313678741455,51,0.23592661321163177,0.26348039507865906,0.26838237047195435,0.20220589637756348,0.20526961982250214,51,0.24288424849510193,0.24142158031463623,0.29901960492134094,0.2542892098426819,0.2616421580314636,51,0.24351675808429718,0.22855393588542938,0.2879902124404907,0.22181373834609985,2.880859375,0.5,0.1003125011920929,0.35539063811302185,0.0,0.0,0.0,2.894230842590332,0.5,0.0986778736114502,0.35334739089012146,0.0,0.0,2.894301652908325,0.5,0.09860294312238693,0.35325369238853455,0.0,0.0,2.898897171020508,0.5,0.09882353246212006,0.3535293936729431,0.0,0.0,2.8973653316497803,0.5,0.09838235378265381,0.3529779613018036,0.0,0.0,2.8890931606292725,0.5,0.09933823347091675,0.35417282581329346,0.0
7,0.758870230987668,0.0179443359375,0.0034667969594011083,0.43353472277522087,0.758870230987668,0.364013671875,0.031988042348530143,0.11819684458896518,0.06537301046773791,3.5613004192709923,0.7381591796875,0.1177978515625,0.0,-0.011474964645458385,39.89074659347534,1.246373139321804,0.006166288134409115,1.0,-0.033426813781261444,0.11567676812410355,-0.033948592841625214,0.10370053350925446,0.005722740665078163,-0.6931471824645996,0.6220365222543478,0.4802676187828183,0.6959908157587051,0.32230530958622694,0.32594938576221466,0.6293025258928537,0.2848597881384194,0.48355071246623993,0.71816361322999,0.4551683636382222,0.7381591796875,0.7962887119501829,0.7671710271388292,1.0,1.0,0.9998779315501451,0.235595703125,0.2880859375,0.24072265625,0.235595703125,0.23702116310596466,0.2866586744785309,52,0.23449131846427917,0.23737981915473938,0.2187500149011612,0.2572115361690521,0.2977941334247589,51,0.23908917605876923,0.24754902720451355,0.19914215803146362,0.2555147111415863,0.2879902124404907,51,0.23402908444404602,0.22058823704719543,0.2591911852359772,0.23223039507865906,0.2132353037595749,51,0.23782415688037872,0.23835785686969757,0.29534316062927246,0.25306373834609985,0.27389708161354065,51,0.23972168564796448,0.2340686321258545,0.27267158031463623,0.2193627506494522,2.8828125,0.5,0.09953124821186066,0.35441407561302185,0.0,0.0,0.0,2.871394395828247,0.5,0.09903845936059952,0.35379812121391296,0.0,0.0,2.8722426891326904,0.5,0.09818628430366516,0.3527328670024872,0.0,0.0,2.883884906768799,0.5,0.0996568575501442,0.3545711040496826,0.0,0.0,2.8933825492858887,0.5,0.09865196794271469,0.35331496596336365,0.0,0.0,2.8903186321258545,0.5,0.09973039478063583,0.35466304421424866,0.0
8,0.7632697410881519,0.0205078125,0.0038818360426375875,0.43208353128284216,0.7632697410881519,0.3662109375,0.029232292145024985,0.10539740417152643,0.051069708773866296,3.2721853777766228,0.74298095703125,0.1182861328125,0.0,-0.0113961239985656,40.84886121749878,1.2473968267440796,0.005695241561625153,1.0,-0.033812880516052246,0.1156010627746582,-0.03373401612043381,0.10289692133665085,0.005382345989346504,-0.6931471824645996,0.6202092431485653,0.4898106921464205,0.6986643709242344,0.3166569685563445,0.337994652800262,0.6409998163580894,0.31390135176479816,0.47952185943722725,0.7234789356589317,0.4591954592615366,0.74298095703125,0.7954443115741014,0.766205932945013,1.0,1.0,0.9997802749276161,0.2349853515625,0.279052734375,0.2703857421875,0.215576171875,0.23891128599643707,0.31430289149284363,52,0.23263026773929596,0.22475962340831757,0.24879808723926544,0.21213942766189575,0.26838237047195435,51,0.23719164729118347,0.23835785686969757,0.2542892098426819,0.2389705926179886,0.2512255012989044,51,0.23592661321163177,0.2542892098426819,0.28002452850341797,0.21446079015731812,0.20404411852359772,51,0.24161921441555023,0.23774510622024536,0.2879902124404907,0.2702206075191498,0.29901960492134094,51,0.2473118156194687,0.21997550129890442,0.27267158031463623,0.2083333432674408,2.892578125,0.5,0.09968750178813934,0.3546094000339508,0.0,0.0,0.0,2.893930435180664,0.5,0.09843749552965164,0.35304689407348633,0.0,0.0,2.8805148601531982,0.5,0.09973037987947464,0.35466301441192627,0.0,0.0,2.8927698135375977,0.5,0.099779412150383,0.35472428798675537,0.0,0.0,2.8979780673980713,0.5,0.09897058457136154,0.3537132441997528,0.0,0.0,2.8958334922790527,0.5,0.10029411315917969,0.35536766052246094,0.0
9,0.7665141094475985,0.0179443359375,0.0034667969594011083,0.3981658164411783,0.7665141094475985,0.362548828125,0.026895321265328676,0.10805289587005973,0.0480134739773348,3.2192040756344795,0.73822021484375,0.11700439453125,0.0,-0.010561085568042472,37.27927017211914,1.2401591166853905,0.005389672704041004,1.0,-0.0343305803835392,0.1169322207570076,-0.034780509769916534,0.10241828113794327,0.005133717320859432,-0.6931471824645996,0.649297084659338,0.4917496023699641,0.7050071861594915,0.3227181462571025,0.3347565857693553,0.6439632158726454,0.3013787781819701,0.49016649182885885,0.7241713646799326,0.46523462887853384,0.73822021484375,0.7976608593016863,0.7687393017113209,1.0,1.0,0.9998779315501451,0.2322998046875,0.291259765625,0.2694091796875,0.20703125,0.23374494910240173,0.3070913553237915,52,0.23511165380477905,0.21754808723926544,0.26382213830947876,0.21153846383094788,0.2879902124404907,51,0.23276406526565552,0.2567402124404907,0.24571079015731812,0.20955882966518402,0.27267158031463623,51,0.23213155567646027,0.2340686321258545,0.2708333432674408,0.22242647409439087,0.19485294818878174,51,0.23529410362243652,0.22181373834609985,0.3278186321258545,0.2555147111415863,0.31127452850341797,51,0.23339657485485077,0.23161765933036804,0.2604166865348816,0.19669118523597717,2.900390625,0.5,0.0989062488079071,0.3536328077316284,0.0,0.0,0.0,2.894230842590332,0.5,0.09901442378759384,0.35376808047294617,0.0,0.0,2.8952207565307617,0.5,0.09821078926324844,0.35276350378990173,0.0,0.0,2.888786792755127,0.5,0.09973039478063583,0.35466301441192627,0.0,0.0,2.902573585510254,0.5,0.0980147048830986,0.35251837968826294,0.0,0.0,2.9016544818878174,0.5,0.10031863301992416,0.3553982973098755,0.0
