iteration,reward,done_rate,edge_reset_rate,vx_err,weighted_metric_reward,selector_reference_penalty,orientation_penalty,slip_penalty,lateral_velocity_penalty,lateral_position_penalty,clearance_reward,gait_switch_penalty,action_boundary_penalty,policy_loss,value_loss,entropy,adaptation_loss,alpha,z_teacher_mean,z_teacher_std,z_student_mean,z_student_std,z_error,log_std_mean,score_progress,score_yaw_tracking,score_orientation,score_pitch_rate,score_roll_rate,score_yaw_rate,score_lateral_drift,score_vertical_bounce,score_slip,score_energy,score_clearance,score_gait_stability,score_action_smoothness,score_action_magnitude,score_action_boundary_margin,score_survival,gait_pronk_ratio,gait_trot_ratio,gait_bound_ratio,gait_pace_ratio,gait_switch_rate,push_lateral_pace_recovery_pace_ratio,push_lateral_pace_recovery_count,push_lateral_pace_recovery_gait_switch_rate,push_lateral_pace_recovery_pronk_ratio,push_lateral_pace_recovery_trot_ratio,push_lateral_pace_recovery_bound_ratio,frequency_mean,duration_mean,footswing_height_mean,stance_width_mean,body_pitch_mean,action_clip_rate,push_lateral_pace_recovery_action_clip_rate,push_lateral_pace_recovery_frequency_mean,push_lateral_pace_recovery_duration_mean,push_lateral_pace_recovery_footswing_height_mean,push_lateral_pace_recovery_stance_width_mean,push_lateral_pace_recovery_body_pitch_mean
0,0.7215265352278948,0.001220703125,9.765625327418093e-05,0.4941023802384734,0.7215265352278948,0.3692626953125,0.0376914163280162,0.1160299638286233,0.12500730447936803,1.4140980857517889,0.75897216796875,0.12060546875,0.0,-0.01992034533759579,35.8929797410965,1.339208260178566,0.038951509865000844,1.0,-0.0007548409048467875,0.1055920273065567,-0.0010275766253471375,0.15489841997623444,0.01415005512535572,-0.6931471824645996,0.5413096917327493,0.43211653642356396,0.6907184943556786,0.295118176843971,0.3024522829800844,0.5821262523531914,0.3372160005092155,0.42751358887471724,0.6841866001486778,0.42320380406454206,0.75897216796875,0.7914334181696177,0.7616217378526926,1.0,1.0,0.9998535178601742,0.241943359375,0.2401123046875,0.2564697265625,0.261474609375,0.22454635798931122,0.261474609375,256,0.22454635798931122,0.241943359375,0.2401123046875,0.2564697265625,2.853515625,0.5,0.1003124937415123,0.35539063811302185,0.0,0.0,0.0,2.8692626953125,0.5,0.10071776807308197,0.3558972179889679,0.0
1,0.7478390950709581,0.0284423828125,0.0053955079238221515,0.40179242473095655,0.7478390950709581,0.3743896484375,0.01979368695174344,0.07976177742239088,0.0559033565223217,3.3583833500742912,0.76043701171875,0.1202392578125,0.0,-0.013104122859658673,18.90075933933258,1.3222513943910599,0.011726140277460217,1.0,-0.000492835184559226,0.1058015450835228,-0.0015153569402173162,0.14050480723381042,0.007886245846748352,-0.6931471824645996,0.6430989522486925,0.5142037682235241,0.7592839878052473,0.3232431998476386,0.33624587021768093,0.6707777976989746,0.32454327680170536,0.47088352777063847,0.7181700002402067,0.446561474353075,0.76043701171875,0.7920667212456465,0.7623455505818129,1.0,1.0,0.9997070357203484,0.2296142578125,0.24951171875,0.2696533203125,0.251220703125,0.24243950843811035,0.251220703125,256,0.24243950843811035,0.2296142578125,0.24951171875,0.2696533203125,2.875,0.5,0.10078124701976776,0.35597658157348633,0.0,0.0,0.0,2.8743896484375,0.5,0.10083495825529099,0.3560436964035034,0.0
2,0.7260807603597641,0.0223388671875,0.004174804749709438,0.4173102183267474,0.7260807603597641,0.369384765625,0.0289861643104814,0.09931661863811314,0.08784250484313816,3.6671861484646797,0.7547607421875,0.1192626953125,0.0,-0.008644322399049997,26.466828227043152,1.3085790202021599,0.006575208273716271,1.0,-0.0006467140046879649,0.10557035356760025,-0.0011307806707918644,0.1263146996498108,0.005053768865764141,-0.6931471824645996,0.6275074239820242,0.49296558275818825,0.7307329680770636,0.3230289500206709,0.3215313842520118,0.6462846286594868,0.24249125830829144,0.470759860239923,0.7090579010546207,0.43999199382960796,0.7547607421875,0.7937555089592934,0.7642757445573807,1.0,1.0,0.9997070338577032,0.22509765625,0.265380859375,0.248291015625,0.26123046875,0.24080140888690948,0.26123046875,256,0.24080140888690948,0.22509765625,0.265380859375,0.248291015625,2.876953125,0.5,0.09921874105930328,0.35402345657348633,0.0,0.0,0.0,2.869384765625,0.5,0.10038085281848907,0.3554760813713074,0.0
3,0.7424954976886511,0.0198974609375,0.003857421959764906,0.3644327437505126,0.7424954976886511,0.37628173828125,0.0236874099355191,0.08844124129973352,0.06504521821625531,3.323915332555771,0.7415771484375,0.11749267578125,0.0,-0.006862232577987015,31.105346083641052,1.2976894304156303,0.004409720088005997,1.0,-0.0006326544098556042,0.10566610097885132,-0.0010659466497600079,0.11914665997028351,0.0036897866521030664,-0.6931471824645996,0.6685689650475979,0.4992097392678261,0.7526873163878918,0.3299442194402218,0.3366344943642616,0.6561855487525463,0.2873536697588861,0.4765669060871005,0.7060026600956917,0.44315341114997864,0.7415771484375,0.7968164663761854,0.7677742075175047,1.0,1.0,0.9998779315501451,0.2337646484375,0.2830810546875,0.2357177734375,0.2474365234375,0.23576107621192932,0.2474365234375,256,0.23576107621192932,0.2337646484375,0.2830810546875,0.2357177734375,2.873046875,0.5,0.0990624949336052,0.3538281321525574,0.0,0.0,0.0,2.87628173828125,0.5,0.09932616353034973,0.3541577160358429,0.0
4,0.7427466604858637,0.0225830078125,0.0043212891341681825,0.38414598908275366,0.7427466604858637,0.36663818359375,0.02068973728455603,0.08906062436290085,0.06797889643348753,3.139622248709202,0.75091552734375,0.1197509765625,0.0,-0.009217185957822949,37.991355419158936,1.2785420268774033,0.00338616622320842,1.0,-0.0007032246794551611,0.10546707361936569,-0.00047446798998862505,0.11654718965291977,0.0029248958453536034,-0.6931471824645996,0.6495526749640703,0.49524072371423244,0.7511271331459284,0.33254354633390903,0.3295775540173054,0.6534191090613604,0.30665547866374254,0.47388041112571955,0.7080105431377888,0.4448800105601549,0.75091552734375,0.7929111123085022,0.7633106485009193,1.0,1.0,0.9998046904802322,0.2332763671875,0.264892578125,0.235107421875,0.2667236328125,0.24080140888690948,0.2667236328125,256,0.24080140888690948,0.2332763671875,0.264892578125,0.235107421875,2.8828125,0.5,0.09828124940395355,0.3528515696525574,0.0,0.0,0.0,2.86663818359375,0.5,0.10007324069738388,0.35509157180786133,0.0
5,0.7436109930276871,0.0244140625,0.004833984432480065,0.3729043807834387,0.7436109930276871,0.36590576171875,0.018828137166565284,0.08720954065211117,0.05947902973275632,3.4925239011645317,0.749755859375,0.1195068359375,0.0,-0.014152940842905082,38.93685817718506,1.2620924562215805,0.002682154896319844,1.0,-0.0004548255819827318,0.10587724298238754,-0.0005478073144331574,0.1150340735912323,0.002297312254086137,-0.6931471824645996,0.6561285462230444,0.504593450576067,0.7626895681023598,0.331645087338984,0.3357348907738924,0.6628631353378296,0.2930487343110144,0.48139082361012697,0.7093561813235283,0.44968187157064676,0.749755859375,0.7933333143591881,0.7637932039797306,1.0,1.0,0.9999511726200581,0.24169921875,0.2587890625,0.2313232421875,0.2681884765625,0.23966732621192932,0.2681884765625,256,0.23966732621192932,0.24169921875,0.2587890625,0.2313232421875,2.849609375,0.5,0.10140624642372131,0.3567578196525574,0.0,0.0,0.0,2.86590576171875,0.5,0.09998046606779099,0.3549756109714508,0.0
6,0.7403978817164898,0.0216064453125,0.004199218823487172,0.3876724010333419,0.7403978817164898,0.373046875,0.024916376220062375,0.099159479374066,0.07485505833756179,3.286579303443432,0.7491455078125,0.119140625,0.0,-0.011075378220994025,31.280970692634583,1.254954494535923,0.0022401463938876987,1.0,-0.00047892332077026367,0.10594417154788971,-0.0006097218720242381,0.11299595981836319,0.001905904384329915,-0.6931471824645996,0.6493181716650724,0.497787200845778,0.7495338208973408,0.3271628702059388,0.3313405327498913,0.6554235406219959,0.2923791781067848,0.4681253246963024,0.7080861572176218,0.4479358112439513,0.7491455078125,0.7939666155725718,0.7645170111209154,1.0,1.0,0.9998779315501451,0.22900390625,0.272705078125,0.244384765625,0.25390625,0.23891128599643707,0.25390625,256,0.23891128599643707,0.22900390625,0.272705078125,0.244384765625,2.880859375,0.5,0.09921874105930328,0.35402345657348633,0.0,0.0,0.0,2.873046875,0.5,0.09993163496255875,0.3549145460128784,0.0
7,0.7421452924609184,0.02197265625,0.004223632891807938,0.4072078252211213,0.7421452924609184,0.3702392578125,0.025338666746392846,0.0895562336081639,0.07550584769342095,3.0392369627952576,0.7540283203125,0.118896484375,0.0,-0.012525592872407287,30.286544799804688,1.2517312839627266,0.001931045604578685,1.0,-0.0006620420608669519,0.10576006025075912,-0.00044194451766088605,0.11158128082752228,0.001663834205828607,-0.6931471824645996,0.6418850794434547,0.5003563286736608,0.749150563031435,0.3273473707959056,0.3346366649493575,0.6567662544548512,0.3061190713196993,0.47531999088823795,0.7151725757867098,0.4439123868942261,0.7540283203125,0.794388810172677,0.7649995777755976,1.0,1.0,0.9998291041702032,0.239013671875,0.2529296875,0.24853515625,0.259521484375,0.23991934955120087,0.259521484375,256,0.23991934955120087,0.239013671875,0.2529296875,0.24853515625,2.884765625,0.5,0.09781249612569809,0.3522656559944153,0.0,0.0,0.0,2.8702392578125,0.5,0.10032226145267487,0.3554028272628784,0.0
8,0.7441259622573853,0.02294921875,0.004370117287180619,0.3908484997227788,0.7441259622573853,0.359130859375,0.022710717865265906,0.08942320290952921,0.06447562633547932,3.028468795120716,0.76318359375,0.119384765625,0.0,-0.011598227079957724,29.60425901412964,1.237786926329136,0.0015696496411692351,1.0,-0.00068075698800385,0.10557860136032104,-0.000743356067687273,0.11050239205360413,0.0013772796373814344,-0.6931471824645996,0.646017674356699,0.5018364880234003,0.747827410697937,0.32167214434593916,0.33246543910354376,0.6588851753622293,0.31553968973457813,0.47311978228390217,0.7098855711519718,0.4432554077357054,0.76318359375,0.7935444209724665,0.7640344705432653,1.0,1.0,0.9997802767902613,0.22998046875,0.24365234375,0.24462890625,0.28173828125,0.24105341732501984,0.28173828125,256,0.24105341732501984,0.22998046875,0.24365234375,0.24462890625,2.833984375,0.5,0.10343749821186066,0.35929688811302185,0.0,0.0,0.0,2.859130859375,0.5,0.10105468332767487,0.3563183546066284,0.0
9,0.7411372903734446,0.02294921875,0.004370117307189503,0.3839149195700884,0.7411372903734446,0.3709716796875,0.022715497121680528,0.09596547391265631,0.0643549639498815,3.385743588209152,0.75244140625,0.12103271484375,0.0,-0.012358942272840068,25.270841360092163,1.2272784039378166,0.0012675714169745333,1.0,-0.0006156323943287134,0.10570388287305832,-0.0002744518860708922,0.10937380790710449,0.0011253166012465954,-0.6931471824645996,0.649989016354084,0.5020075421780348,0.7494394462555647,0.3246541107073426,0.33470418956130743,0.6596729271113873,0.29647370520979166,0.47879400849342346,0.7125613447278738,0.4477281216531992,0.75244140625,0.7906945627182722,0.7607772890478373,1.0,1.0,0.9997802767902613,0.2291259765625,0.2659912109375,0.246826171875,0.258056640625,0.2421875,0.258056640625,256,0.2421875,0.2291259765625,0.2659912109375,0.246826171875,2.859375,0.5,0.10218749195337296,0.3577343821525574,0.0,0.0,0.0,2.8709716796875,0.5,0.10019531100988388,0.35524415969848633,0.0
