gait,gait_id,grid_mode,frequency_residual,frequency,duration_residual,duration,footswing_height_residual,footswing_height,stance_width_residual,stance_width,body_pitch_residual,body_pitch,task_id,condition,cmd_vx,target_gait,samples,reward_mean,weighted_metric_reward_mean,measured_vx_mean,vx_abs_error_mean,vy_abs_mean,yaw_abs_mean,lateral_offset_abs_mean,lateral_vel_abs_mean,lateral_vel_sq_mean,base_z_vel_abs_mean,base_z_vel_sq_mean,roll_rate_abs_mean,roll_rate_sq_mean,pitch_rate_abs_mean,pitch_rate_sq_mean,yaw_rate_abs_mean,yaw_rate_sq_mean,gravity_x_sq_mean,gravity_y_sq_mean,torque_penalty_mean,slip_penalty_mean,mechanical_power_abs_mean,positive_mechanical_power_mean,contact_force_mean_mean,stance_contact_force_mean_mean,peak_contact_force_mean,swing_foot_clearance_mean_mean,scuffing_ratio_mean,foot_impact_vel_sum_mean,foot_impact_vel_sq_sum_mean,foot_impact_count_mean,forward_distance_mean,target_forward_distance_mean,actual_frequency_mean,actual_duration_mean,actual_footswing_height_mean,actual_stance_width_mean,actual_body_pitch_mean,score_progress,score_yaw_tracking,score_orientation,score_pitch_rate,score_roll_rate,score_yaw_rate,score_lateral_drift,score_vertical_bounce,score_slip,score_energy,score_clearance,score_gait_stability,score_action_smoothness,score_action_magnitude,score_action_boundary_margin,score_survival,done_rate,edge_reset_rate,fall_rate,foot_impact_rate,foot_impact_vel_mean,foot_impact_vel_rms,lateral_vel_rms,base_z_vel_rms,roll_rate_rms,pitch_rate_rms,yaw_rate_rms,orientation_rms,forward_distance_ratio,progress_deficit,transport_cost_proxy,progress_score,yaw_score,orientation_score,lateral_score,slip_score,energy_score,impact_score,scuffing_score,smoothness_score,survival_score,neutral_score
pronking,0.0,action_space,-1.0,2.5999999046325684,0.0,0.5,0.0,0.07999999821186066,0.0,0.33000001311302185,1.0,0.03999999910593033,flat_trot_efficiency,flat,0.5,trotting,1000.0,0.7229733467102051,0.7229733467102051,0.48444491624832153,0.0664767473936081,0.03558150678873062,0.10833097249269485,1.9901986122131348,0.03558150678873062,0.003258345415815711,0.45673254132270813,0.2873763144016266,0.4853280484676361,0.4881216883659363,0.5190926790237427,0.4416479468345642,0.10833097249269485,0.028426069766283035,0.0023410769645124674,0.0009204003727063537,0.3511119484901428,0.006050033960491419,122.4994888305664,80.62870025634766,35.554283142089844,38.23902130126953,238.67025756835938,0.033784862607717514,0.12066666781902313,0.6864083409309387,2.1959309577941895,1.0260000228881836,0.00968889705836773,0.01000003982335329,2.605989694595337,0.5,0.08000031858682632,0.33000147342681885,0.039400093257427216,0.95853590965271,0.8601090312004089,0.9389482736587524,0.47398632764816284,0.5600700378417969,0.9306850433349609,0.2936241030693054,0.2229020595550537,0.9262588620185852,0.5942458510398865,0.5,0.991353452205658,0.9864065647125244,0.21479371190071106,0.24446885287761688,1.0,0.010000000707805157,0.003000000026077032,0.007000000216066837,1.026,0.6690139621786672,1.4629707099961127,0.05708191846649612,0.5360749149154683,0.6986570606284147,0.6645659838079017,0.16860032552247056,0.05710934544554701,0.048444485291838646,0.0015557138249278069,252.86567104313346,0.982478678226471,0.8892685770988464,0.9368523955345154,0.12804602086544037,0.8860333561897278,0.4954821765422821,0.5856277942657471,0.5469852685928345,0.9864065647125244,0.9929999997839332,0.917421931574742
pronking,0.0,action_space,-1.0,2.5999999046325684,0.0,0.5,1.0,0.10999999940395355,-1.0,0.2900000214576721,1.0,0.03999999910593033,flat_trot_efficiency,flat,1.0,trotting,1000.0,0.6944704055786133,0.6944704055786133,0.8907215595245361,0.13549703359603882,0.046489737927913666,0.1010713204741478,1.6063830852508545,0.046489737927913666,0.005711226724088192,0.4753197729587555,0.31695595383644104,0.49112021923065186,0.5340309143066406,0.41173693537712097,0.39632704854011536,0.1010713204741478,0.027331115677952766,0.0020783592481166124,0.0011293892748653889,0.3631193935871124,0.009664562530815601,177.76651000976562,122.55298614501953,35.823150634765625,38.98811340332031,333.8053283691406,0.03892992436885834,0.1145000010728836,0.7935431599617004,2.8267886638641357,1.037000060081482,0.017814433202147484,0.02000007964670658,2.609591245651245,0.5,0.10928031802177429,0.290959894657135,0.039040081202983856,0.89787757396698,0.8715336322784424,0.9445368051528931,0.6113734841346741,0.5725489258766174,0.9366326332092285,0.39268943667411804,0.21525885164737701,0.875800609588623,0.5881847143173218,0.8660001754760742,0.986165463924408,0.9733217358589172,0.056638170033693314,0.11374121904373169,1.0,0.01600000075995922,0.003000000026077032,0.013000000268220901,1.037,0.7652295957765791,1.651038822692942,0.07557265857496474,0.5629884135898723,0.7307741883144482,0.6295451123947475,0.16532124992859437,0.05663698899996363,0.08907216601073742,0.010928232222795486,199.57584736655159,0.9291939735412598,0.9028903841972351,0.9378596544265747,0.17895737290382385,0.8242418766021729,0.4837249517440796,0.5058665871620178,0.5641133785247803,0.9733217358589172,0.9869999997317791,0.8920833235979079
trotting,1.0,action_space,0.0,3.0,0.0,0.5,1.0,0.10999999940395355,-1.0,0.2900000214576721,1.0,0.03999999910593033,flat_trot_efficiency,flat,1.5,trotting,1000.0,0.7233743667602539,0.7233743667602539,1.3271692991256714,0.20190975069999695,0.07078123092651367,0.20120900869369507,1.5498638153076172,0.07078123092651367,0.012972486205399036,0.14264288544654846,0.08891574293375015,0.46668773889541626,0.5764520764350891,0.4274095296859741,0.3850495219230652,0.20120900869369507,0.0873391255736351,0.0020837723277509212,0.0017444001277908683,0.39247268438339233,0.024552328512072563,216.11474609375,164.61465454101562,34.19025421142578,68.78008270263672,515.7568359375,0.07140466570854187,0.15025003254413605,0.6932603120803833,2.0948469638824463,1.1660000085830688,0.026543404906988144,0.029999924823641777,3.000000238418579,0.5,0.10883026570081711,0.29155999422073364,0.03844001144170761,0.8393645286560059,0.6882318258285522,0.935431957244873,0.586161196231842,0.5899887084960938,0.8190836906433105,0.3612695336341858,0.7770547866821289,0.7351834774017334,0.4831640422344208,0.8603752255439758,1.0,0.9693149924278259,0.12130188196897507,0.2092342972755432,1.0,0.026000000536441803,0.009999999776482582,0.01600000075995922,1.166,0.5945628249624786,1.3403767051422255,0.11389682263083126,0.2981874292014171,0.7592444115270716,0.6205235869191962,0.2955319366390629,0.061872226851324735,0.13271702453494072,0.017282599583268166,162.83886783406209,0.8495315313339233,0.6670764088630676,0.9262941479682922,0.1637665182352066,0.6119855642318726,0.45614463090896606,0.6381688117980957,0.47177639603614807,0.9693149924278259,0.9839999992400408,0.8279232578476271
trotting,1.0,action_space,1.0,3.4000000953674316,0.0,0.5,1.0,0.10999999940395355,0.0,0.33000001311302185,1.0,0.03999999910593033,flat_trot_efficiency,flat,2.0,trotting,1000.0,0.706802248954773,0.706802248954773,1.6922298669815063,0.33888566493988037,0.08517876267433167,0.23755696415901184,1.3819983005523682,0.08517876267433167,0.0173100084066391,0.1604822725057602,0.10217416286468506,0.5513080358505249,0.5632184147834778,0.42457273602485657,0.40766823291778564,0.23755696415901184,0.10936950147151947,0.002683042548596859,0.0023886803537607193,0.4939127266407013,0.033415425568819046,306.4400329589844,231.46377563476562,34.59062194824219,68.61921691894531,416.9440612792969,0.07515453547239304,0.15066668391227722,0.8756512403488159,2.873983383178711,1.2990000247955322,0.033844612538814545,0.04000015929341316,3.3808135986328125,0.5,0.108560711145401,0.33000147342681885,0.03808063268661499,0.7617702484130859,0.6196213960647583,0.9237021803855896,0.6158627271652222,0.4819205403327942,0.7742708921432495,0.3887408971786499,0.7498334050178528,0.6792559623718262,0.4094775319099426,0.8570061326026917,1.0,0.9622341394424438,0.1283527910709381,0.23653286695480347,1.0,0.03200000151991844,0.009000000543892384,0.023000001907348633,1.299,0.6740963695781611,1.487433414789047,0.13156750513192494,0.3196469347024699,0.7504787903621779,0.6384890233338281,0.3307106007849151,0.07121602981322098,0.16922306269407272,0.030777733772993088,181.08652904560356,0.6316789388656616,0.5687392950057983,0.9035403728485107,0.1776040643453598,0.5125748515129089,0.37238559126853943,0.5751556754112244,0.47079455852508545,0.9622341394424438,0.9769999980926514,0.7394509160518646
pronking,0.0,action_space,0.0,3.0,0.0,0.5,0.0,0.07999999821186066,0.0,0.33000001311302185,1.0,0.03999999910593033,ramp_up_trot_robustness,ramp_up,0.5,trotting,1000.0,0.827145516872406,0.827145516872406,0.5075266361236572,0.0712127685546875,0.04769102483987808,0.10588274896144867,1.582298994064331,0.04769102483987808,0.008483431302011013,0.45042192935943604,0.30830246210098267,0.5049352645874023,0.5957959294319153,0.4155704975128174,0.3445546329021454,0.10588274896144867,0.043219320476055145,0.0028887083753943443,0.001971607096493244,0.3369368314743042,0.006978061515837908,128.25994873046875,87.47755432128906,34.73204803466797,36.312828063964844,527.2779541015625,0.04221607744693756,0.03491666913032532,0.7957285642623901,2.4877142906188965,1.184000015258789,0.01015053316950798,0.01000003982335329,3.000000238418579,0.5,0.08000031858682632,0.33000147342681885,0.039458416402339935,0.9500008821487427,0.8759739398956299,0.9260135889053345,0.5985695123672485,0.5472944974899292,0.9357837438583374,0.40251943469047546,0.2302713841199875,0.9087791442871094,0.6102167367935181,0.5,0.9922181367874146,0.9893555045127869,0.4592737853527069,0.47787052392959595,1.0,0.009000000543892384,0.0020000000949949026,0.007000000216066837,1.184,0.6720680030616554,1.449520572922106,0.0921055443608636,0.5552499095911522,0.7718781830262565,0.5869877621400171,0.20789256955469848,0.06971596281977026,0.0507526658475399,0.0,252.71569923912057,0.9799193143844604,0.893944501876831,0.9073687791824341,0.1734323501586914,0.8697397708892822,0.5097302198410034,0.5913912057876587,0.839806854724884,0.9893555045127869,0.9929999997839332,0.8917450994157639
pronking,0.0,action_space,1.0,3.4000000953674316,0.0,0.5,-1.0,0.04999999701976776,-1.0,0.2900000214576721,1.0,0.03999999910593033,ramp_up_trot_robustness,ramp_up,1.0,trotting,1000.0,0.7465417385101318,0.7465417385101318,0.9186224937438965,0.1255388855934143,0.07507888972759247,0.1497306227684021,1.3102545738220215,0.07507888972759247,0.018022343516349792,0.4373610019683838,0.333962619304657,0.514178991317749,0.6840534806251526,0.37406015396118164,0.40602055191993713,0.1497306227684021,0.06081059202551842,0.003736348357051611,0.0020628031343221664,0.3221744894981384,0.01459571160376072,148.3936767578125,94.52934265136719,33.48509979248047,36.4095573425293,368.6943054199219,0.04646863415837288,0.0638333410024643,0.700131893157959,2.0791802406311035,1.2990000247955322,0.01837245002388954,0.02000007964670658,3.3892111778259277,0.5,0.050809916108846664,0.29107987880706787,0.038920044898986816,0.9012010097503662,0.7807049751281738,0.9048234224319458,0.6512113809585571,0.5287492871284485,0.8829647898674011,0.41804033517837524,0.25956737995147705,0.8502676486968994,0.6198784708976746,0.13512492179870605,0.9844361543655396,0.9699870347976685,0.058622680604457855,0.12286357581615448,1.0,0.018000001087784767,0.005000000353902578,0.013000000268220901,1.299,0.5389775958219063,1.2651484486866367,0.13424732219433574,0.5778949898594528,0.8270752569295932,0.6371974198942877,0.24659803735131067,0.07615216012283418,0.09186225011944771,0.008138148114085197,161.5393458884573,0.9389058947563171,0.7991611957550049,0.8904903531074524,0.18811506032943726,0.7468326091766357,0.5250042080879211,0.6702194213867188,0.726754367351532,0.9699870347976685,0.9869999997317791,0.8634860880481892
pronking,0.0,action_space,1.0,3.4000000953674316,0.0,0.5,1.0,0.10999999940395355,-1.0,0.2900000214576721,1.0,0.03999999910593033,ramp_up_trot_robustness,ramp_up,1.5,trotting,1000.0,0.7269251346588135,0.7269251346588135,1.2954214811325073,0.22596165537834167,0.09424235671758652,0.18302953243255615,1.4097633361816406,0.09424235671758652,0.023454567417502403,0.4413371682167053,0.36814647912979126,0.6487327814102173,1.216559886932373,0.5417835712432861,0.6076380014419556,0.18302953243255615,0.07476334273815155,0.005119329318404198,0.002914637792855501,0.3856162130832672,0.01963985152542591,233.52194213867188,162.28170776367188,32.754573822021484,36.71584701538086,367.721923828125,0.057423993945121765,0.053833335638046265,0.9150395393371582,3.40230655670166,1.2850000858306885,0.02590843290090561,0.029999924823641777,3.384486198425293,0.5,0.1088360846042633,0.2915520966053009,0.0384477823972702,0.8183170557022095,0.7232319116592407,0.8856102228164673,0.481550395488739,0.47065871953964233,0.8471333384513855,0.3939977288246155,0.27726173400878906,0.8042815923690796,0.5536221265792847,0.8604480028152466,0.9775188565254211,0.9566848278045654,0.0665028840303421,0.15857160091400146,1.0,0.026000000536441803,0.004000000189989805,0.02200000174343586,1.285,0.7120929881292558,1.6271783116685443,0.15314884073182664,0.6067507553598852,1.1029777363720326,0.7795113863452897,0.2734288622990476,0.08963239989679903,0.12954216450452805,0.02045745961368084,180.26715284551094,0.8152710199356079,0.7153394222259521,0.8515650629997253,0.15276497602462769,0.6751657724380493,0.4624427855014801,0.515856146812439,0.7640159130096436,0.9566848278045654,0.9779999982565641,0.7953710856919106
pronking,0.0,action_space,1.0,3.4000000953674316,0.0,0.5,1.0,0.10999999940395355,0.0,0.33000001311302185,1.0,0.03999999910593033,ramp_up_trot_robustness,ramp_up,2.0,trotting,1000.0,0.6997504234313965,0.6997504234313965,1.5811653137207031,0.44535762071609497,0.12929667532444,0.23973014950752258,1.246774673461914,0.12929667532444,0.038573846220970154,0.4369763135910034,0.3770008087158203,0.7589637041091919,1.390784502029419,0.836538553237915,1.3375587463378906,0.23973014950752258,0.12642532587051392,0.010909287258982658,0.004256227985024452,0.4685976207256317,0.032750651240348816,318.5263671875,224.94931030273438,33.51941680908203,38.16518783569336,512.5359497070312,0.06315566599369049,0.06016667187213898,1.1339881420135498,4.507345199584961,1.2620000839233398,0.03162330389022827,0.04000015929341316,3.3820037841796875,0.5,0.10864995419979095,0.33000147342681885,0.03819964453577995,0.6581340432167053,0.6405448913574219,0.8073263168334961,0.33682501316070557,0.4193233847618103,0.7845738530158997,0.36263781785964966,0.3076338469982147,0.7635688185691833,0.49194058775901794,0.8581218719482422,0.9740602374076843,0.9543907046318054,0.12601107358932495,0.22749419510364532,1.0,0.030000001192092896,0.007000000216066837,0.023000001907348633,1.262,0.8985643099680567,1.8898647883538406,0.19640225615040718,0.6140039158798748,1.1793152682931816,1.1565287485998308,0.35556339219682603,0.12314834649319134,0.15811651945114136,0.041884277015924454,201.45038878823044,0.4523162543773651,0.5628706812858582,0.7383699417114258,0.132887601852417,0.5194352865219116,0.39172500371932983,0.4094676971435547,0.7402011156082153,0.9543907046318054,0.9769999980926514,0.6436430468009069
pronking,0.0,action_space,0.0,3.0,0.0,0.5,-1.0,0.04999999701976776,-1.0,0.2900000214576721,1.0,0.03999999910593033,rough_slope_trot_robustness,rough_slope,0.5,trotting,1000.0,0.748677134513855,0.748677134513855,0.45498982071876526,0.09296159446239471,0.07312365621328354,0.20855554938316345,1.4398283958435059,0.07312365621328354,0.009928412735462189,0.4523355960845947,0.2806199789047241,0.47008204460144043,0.45026612281799316,0.40098249912261963,0.28779304027557373,0.20855554938316345,0.07640749216079712,0.004559189081192017,0.001615489600226283,0.30469489097595215,0.009944476187229156,108.08927917480469,68.35113525390625,34.73027801513672,38.20780563354492,497.3538513183594,0.03981385380029678,0.06066667288541794,0.5598938465118408,1.4061201810836792,1.1680001020431519,0.009099796414375305,0.01000003982335329,3.000000238418579,0.5,0.050449881702661514,0.2906000018119812,0.039400093257427216,0.9315686225891113,0.6582621932029724,0.8925176858901978,0.6095612049102783,0.5664485096931458,0.8045122623443604,0.4130513072013855,0.2191416323184967,0.9141160249710083,0.6413844227790833,0.1306249499320984,0.991353452205658,0.9847970008850098,0.10248073935508728,0.13630077242851257,1.0,0.010000000707805157,0.004000000189989805,0.006000000052154064,1.168,0.4793611291336687,1.0972100816823833,0.09964142078203315,0.5297357632864937,0.6710187201695592,0.5364634566077858,0.2764190517326856,0.07857912369973528,0.045498982071876526,0.004501217044889927,237.56417012594218,0.9660232067108154,0.6472943425178528,0.8838273286819458,0.19429130852222443,0.8196404576301575,0.5436825156211853,0.7401018142700195,0.73835289478302,0.9847970008850098,0.9939999999478459,0.8418035758659244
pronking,0.0,action_space,1.0,3.4000000953674316,0.0,0.5,1.0,0.10999999940395355,1.0,0.3700000047683716,1.0,0.03999999910593033,rough_slope_trot_robustness,rough_slope,1.0,trotting,1000.0,0.7254447937011719,0.7254447937011719,0.9012019634246826,0.16614282131195068,0.08304578065872192,0.2497541308403015,1.4239532947540283,0.08304578065872192,0.013773493468761444,0.4113346338272095,0.2570660710334778,0.4935819208621979,0.5500108599662781,0.5406942367553711,0.5928394794464111,0.2497541308403015,0.10623183846473694,0.0062637049704790115,0.00167068000882864,0.32879167795181274,0.019833054393529892,168.2816162109375,112.72407531738281,34.649383544921875,40.19358825683594,257.095947265625,0.04824817180633545,0.0650000125169754,0.9515495896339417,3.1931605339050293,1.3200000524520874,0.01802404224872589,0.02000007964670658,3.3898115158081055,0.5,0.10923531651496887,0.3689796030521393,0.038980066776275635,0.8638321161270142,0.5898218154907227,0.8708500862121582,0.5108927488327026,0.5695549249649048,0.7564307451248169,0.42026782035827637,0.26434457302093506,0.8568329811096191,0.6077061891555786,0.8654376268386841,0.9853007793426514,0.9716543555259705,0.05763041973114014,0.11830243468284607,1.0,0.017000000923871994,0.0020000000949949026,0.015000000596046448,1.32,0.7208708792021781,1.555333113626099,0.11736052772871057,0.5070168350592293,0.7416271704611948,0.7699606999363092,0.32593226054617075,0.0890751647728347,0.09012021124362946,0.00988018698990345,186.73019261015128,0.8954635858535767,0.5359195470809937,0.8532627820968628,0.1827889233827591,0.6725619435310364,0.5181018710136414,0.5462026000022888,0.7225273251533508,0.9716543555259705,0.9849999994039536,0.7833714485168458
