gait,gait_id,grid_mode,frequency_residual,frequency,duration_residual,duration,footswing_height_residual,footswing_height,stance_width_residual,stance_width,body_pitch_residual,body_pitch,task_id,condition,cmd_vx,target_gait,samples,reward_mean,weighted_metric_reward_mean,measured_vx_mean,vx_abs_error_mean,vy_abs_mean,yaw_abs_mean,lateral_offset_abs_mean,lateral_vel_abs_mean,lateral_vel_sq_mean,base_z_vel_abs_mean,base_z_vel_sq_mean,roll_rate_abs_mean,roll_rate_sq_mean,pitch_rate_abs_mean,pitch_rate_sq_mean,yaw_rate_abs_mean,yaw_rate_sq_mean,gravity_x_sq_mean,gravity_y_sq_mean,torque_penalty_mean,slip_penalty_mean,mechanical_power_abs_mean,positive_mechanical_power_mean,contact_force_mean_mean,stance_contact_force_mean_mean,peak_contact_force_mean,swing_foot_clearance_mean_mean,scuffing_ratio_mean,foot_impact_vel_sum_mean,foot_impact_vel_sq_sum_mean,foot_impact_count_mean,forward_distance_mean,target_forward_distance_mean,actual_frequency_mean,actual_duration_mean,actual_footswing_height_mean,actual_stance_width_mean,actual_body_pitch_mean,score_progress,score_yaw_tracking,score_orientation,score_pitch_rate,score_roll_rate,score_yaw_rate,score_lateral_drift,score_vertical_bounce,score_slip,score_energy,score_clearance,score_gait_stability,score_action_smoothness,score_action_magnitude,score_action_boundary_margin,score_survival,done_rate,edge_reset_rate,fall_rate,foot_impact_rate,foot_impact_vel_mean,foot_impact_vel_rms,lateral_vel_rms,base_z_vel_rms,roll_rate_rms,pitch_rate_rms,yaw_rate_rms,orientation_rms,forward_distance_ratio,progress_deficit,transport_cost_proxy,progress_score,yaw_score,orientation_score,lateral_score,slip_score,energy_score,impact_score,scuffing_score,smoothness_score,survival_score,neutral_score
pronking,0,action_space,-1.0,2.5999999046325684,0.0,0.5,-1.0,0.04999999701976776,-1.0,0.2900000214576721,-1.0,-0.03999999910593033,stepping_stones_easy_bound_highspeed,stepping_stones_easy,2.0,bounding,1000,0.5534437298774719,0.5534437298774719,1.0649523735046387,0.9350583553314209,0.15676164627075195,0.5848038792610168,1.535844326019287,0.15676164627075195,0.046490348875522614,0.43231111764907837,0.280346155166626,1.1779463291168213,4.173903465270996,1.2815186977386475,3.0327820777893066,0.5848038792610168,0.8035354614257812,0.05031615123152733,0.028028786182403564,0.6079486608505249,0.22197067737579346,357.5203857421875,265.69427490234375,33.078697204589844,45.858158111572266,343.4360656738281,0.07195096462965012,0.1314166635274887,0.7426684498786926,2.5937938690185547,0.9130000472068787,0.02129904180765152,0.04000015929341316,2.613661766052246,0.5,0.05102512612938881,0.2913668155670166,-0.038633137941360474,0.2803176939487457,0.4156199097633362,0.6008388996124268,0.25864213705062866,0.33305105566978455,0.5430270433425903,0.314655601978302,0.2716691195964813,0.6472159624099731,0.4316760301589966,0.137814462184906,0.9801128506660461,0.9617512226104736,0.06347724050283432,0.14397916197776794,0.9991999864578247,0.023000001907348633,0.004000000189989805,0.01900000125169754,0.913,0.8134374545411761,1.685513934615045,0.2156162073581729,0.5294772470717,2.0430133296850994,1.7414884661660286,0.8964013952609519,0.27990165668307665,0.1064952090382576,0.09350558742880821,335.71490579022617,0.0302779171615839,0.032713882625103,0.20869138836860657,0.08495349436998367,0.011802858673036098,0.2964438796043396,0.4915265738964081,0.5183610320091248,0.9617512226104736,0.9809999987483025,0.44755057049425023
pronking,0,action_space,-1.0,2.5999999046325684,0.0,0.5,-1.0,0.04999999701976776,-1.0,0.2900000214576721,0.0,0.0,stepping_stones_easy_bound_highspeed,stepping_stones_easy,2.0,bounding,1000,0.5663195848464966,0.5663195848464966,1.0911905765533447,0.9092907905578613,0.1620347499847412,0.5293477773666382,1.7372686862945557,0.1620347499847412,0.047894835472106934,0.41854575276374817,0.26869383454322815,1.0888097286224365,2.9586071968078613,1.2371585369110107,2.7669873237609863,0.5293477773666382,0.6008768677711487,0.03713538497686386,0.018672626465559006,0.5933835506439209,0.24830350279808044,345.37847900390625,255.55978393554688,32.882808685302734,45.44548797607422,312.1373291015625,0.06898114085197449,0.13324998319149017,0.6551472544670105,2.1627018451690674,0.940000057220459,0.021823816001415253,0.04000015929341316,2.6139369010925293,0.5,0.05104576051235199,0.2913944125175476,0.0,0.3108576536178589,0.41160184144973755,0.6391013860702515,0.26501545310020447,0.3449513912200928,0.5559048652648926,0.28285035490989685,0.2861180901527405,0.6369062662124634,0.44013670086860657,0.13807296752929688,0.9792481660842896,0.9638310670852661,0.11835207045078278,0.19422361254692078,0.9988000392913818,0.024000000208616257,0.005000000353902578,0.01900000125169754,0.94,0.6969651242519946,1.5168211651261772,0.21884888729922053,0.5183568602258758,1.7200602305756219,1.6634263806255407,0.7751624783044834,0.23623719318181646,0.10911908000707626,0.09088171645998955,316.5152691245055,0.036617133766412735,0.06068306416273117,0.3275350332260132,0.06753121316432953,0.00697048706933856,0.3052063584327698,0.5625998973846436,0.5136311054229736,0.9638310670852661,0.9809999987483025,0.4665792988319146
pronking,0,action_space,-1.0,2.5999999046325684,0.0,0.5,-1.0,0.04999999701976776,-1.0,0.2900000214576721,1.0,0.03999999910593033,stepping_stones_easy_bound_highspeed,stepping_stones_easy,2.0,bounding,1000,0.5615794062614441,0.5615794062614441,1.1027052402496338,0.898461103439331,0.15833204984664917,0.5382985472679138,1.5979506969451904,0.15833204984664917,0.05077330768108368,0.4154234528541565,0.2590334415435791,1.076341152191162,2.8069896697998047,1.2830160856246948,3.005768299102783,0.5382985472679138,0.611154317855835,0.03914885222911835,0.02439400553703308,0.5856211185455322,0.2543926537036896,334.1297302246094,249.76535034179688,33.03675842285156,45.44068145751953,335.06597900390625,0.06713666021823883,0.12324998527765274,0.6317779421806335,2.147130012512207,0.9560000896453857,0.022054100409150124,0.04000015929341316,2.613192558288574,0.5,0.05098992586135864,0.2913198173046112,0.038680046796798706,0.31220728158950806,0.41431814432144165,0.6460765600204468,0.26029518246650696,0.339870423078537,0.5524733066558838,0.3217388391494751,0.27792757749557495,0.6238287091255188,0.4446867108345032,0.1373749077320099,0.9809775352478027,0.9633173942565918,0.06259170919656754,0.14110824465751648,0.9996000528335571,0.02199999988079071,0.005000000353902578,0.017000000923871994,0.956,0.660855600524647,1.4986500644384413,0.22532933160395183,0.508953280315177,1.6754073145954105,1.7337151724267694,0.7817635946089041,0.2520770869518914,0.11027050204575062,0.0897302944213152,303.0091070837462,0.039599865674972534,0.055152490735054016,0.2805910110473633,0.07328370958566666,0.006171255838125944,0.30998164415359497,0.5703597068786621,0.5399655699729919,0.9633173942565918,0.982999999076128,0.4689075078227018
pronking,0,action_space,-1.0,2.5999999046325684,0.0,0.5,-1.0,0.04999999701976776,0.0,0.33000001311302185,-1.0,-0.03999999910593033,stepping_stones_easy_bound_highspeed,stepping_stones_easy,2.0,bounding,1000,0.559638261795044,0.559638261795044,1.0421503782272339,0.9584299325942993,0.17264828085899353,0.5882871747016907,1.4757261276245117,0.17264828085899353,0.05488929897546768,0.41552305221557617,0.2580610513687134,1.251089334487915,4.465282440185547,1.2751978635787964,3.0189433097839355,0.5882871747016907,0.7644162774085999,0.0465499684214592,0.021269425749778748,0.5677022933959961,0.2944777011871338,312.2835998535156,225.80564880371094,33.42889404296875,47.16120910644531,476.320556640625,0.06563875079154968,0.1379166692495346,0.7264111042022705,2.4530892372131348,0.9950000643730164,0.02084299921989441,0.04000015929341316,2.6113929748535156,0.5,0.050854988396167755,0.33000147342681885,-0.038859982043504715,0.2571038007736206,0.39642369747161865,0.5905416011810303,0.2572437524795532,0.3290085792541504,0.5267806053161621,0.33861875534057617,0.2807377278804779,0.6114077568054199,0.4434472620487213,0.13568809628486633,0.9835715293884277,0.9711142182350159,0.11306840181350708,0.17733129858970642,0.9998000264167786,0.01900000125169754,0.0020000000949949026,0.017000000923871994,0.995,0.7300614400125628,1.570164461977482,0.23428465373444263,0.5079970977955616,2.1131214920551886,1.7375106646532952,0.874309028552605,0.26042157009594646,0.10421499609947205,0.09578580036759377,299.6531080137691,0.02536584436893463,0.03140406310558319,0.25758954882621765,0.07626722007989883,0.00276821106672287,0.32129210233688354,0.539909303188324,0.5017850995063782,0.9711142182350159,0.982999999076128,0.45451400879966586
pronking,0,action_space,-1.0,2.5999999046325684,0.0,0.5,-1.0,0.04999999701976776,0.0,0.33000001311302185,0.0,0.0,stepping_stones_easy_bound_highspeed,stepping_stones_easy,2.0,bounding,1000,0.5903909206390381,0.5903909206390381,1.094538927078247,0.907302975654602,0.1677667796611786,0.5790574550628662,1.387142300605774,0.1677667796611786,0.05650623142719269,0.41812580823898315,0.2720171809196472,1.1850860118865967,3.724583387374878,1.2700812816619873,2.981344223022461,0.5790574550628662,0.7273067831993103,0.03801276907324791,0.02102423459291458,0.5809241533279419,0.23243975639343262,332.7398681640625,251.30227661132812,33.00731658935547,45.8724479675293,449.1810302734375,0.06687858700752258,0.13091665506362915,0.5923572778701782,1.9842363595962524,0.9520000219345093,0.021890781819820404,0.04000015929341316,2.613058567047119,0.5,0.050979919731616974,0.33000147342681885,0.0,0.3080069422721863,0.3912893235683441,0.6373859643936157,0.25083112716674805,0.3409402370452881,0.530849814414978,0.339547336101532,0.2773756980895996,0.6398388147354126,0.44204598665237427,0.13725000619888306,0.9809775352478027,0.9701456427574158,0.23003633320331573,0.2936525344848633,0.9994000196456909,0.023000001907348633,0.0020000000949949026,0.021000001579523087,0.952,0.6222239903041294,1.4437042139143874,0.23771039402430993,0.5215526636109217,1.9299179742607917,1.7266569500113393,0.8528228322455434,0.2429753149317076,0.10945390909910202,0.09054688736796379,304.00003136688383,0.037149880081415176,0.03497662767767906,0.3070513904094696,0.08067980408668518,0.009573129005730152,0.31290730834007263,0.5938844680786133,0.5196585655212402,0.9701456427574158,0.9789999984204769,0.4700211398303509
pronking,0,action_space,-1.0,2.5999999046325684,0.0,0.5,-1.0,0.04999999701976776,0.0,0.33000001311302185,1.0,0.03999999910593033,stepping_stones_easy_bound_highspeed,stepping_stones_easy,2.0,bounding,1000,0.5736293196678162,0.5736293196678162,1.1241178512573242,0.8767520189285278,0.17385506629943848,0.5662823915481567,1.42488431930542,0.17385506629943848,0.05752527341246605,0.4207674264907837,0.26611411571502686,1.0870916843414307,3.262697219848633,1.1928250789642334,2.550802230834961,0.5662823915481567,0.7469503879547119,0.0326041579246521,0.02369241788983345,0.5816580057144165,0.23667922616004944,331.1586608886719,243.54672241210938,33.374656677246094,46.5421142578125,596.6406860351562,0.06518623232841492,0.12800002098083496,0.6344007253646851,2.0845136642456055,0.9600000381469727,0.022482356056571007,0.04000015929341316,2.61289381980896,0.5,0.0509675070643425,0.33000147342681885,0.03870992735028267,0.3057824373245239,0.4248647093772888,0.6624842882156372,0.26942771673202515,0.35077983140945435,0.5537495017051697,0.34213611483573914,0.27411842346191406,0.64151930809021,0.4491144120693207,0.137094646692276,0.9809775352478027,0.966825008392334,0.11618339270353317,0.18691286444664001,0.9995999932289124,0.02200000174343586,0.005000000353902578,0.017000000923871994,0.96,0.6608340581258138,1.4735563810737358,0.23984426908405806,0.5158624969069052,1.806293780050364,1.5971231107322192,0.8642629159895222,0.23726899463369744,0.11241178028285503,0.08758901618421078,294.59425496914884,0.04619995877146721,0.040487680584192276,0.3243502080440521,0.07612413913011551,0.008794889785349369,0.3124483823776245,0.5810943841934204,0.5272923707962036,0.966825008392334,0.982999999076128,0.474261778161714
pronking,0,action_space,-1.0,2.5999999046325684,0.0,0.5,-1.0,0.04999999701976776,1.0,0.3700000047683716,-1.0,-0.03999999910593033,stepping_stones_easy_bound_highspeed,stepping_stones_easy,2.0,bounding,1000,0.558005690574646,0.558005690574646,1.0980191230773926,0.9023185968399048,0.15975365042686462,0.5584636926651001,1.329413652420044,0.15975365042686462,0.04811761528253555,0.4299805760383606,0.2837439775466919,1.056558609008789,2.959282875061035,1.2567112445831299,2.8330655097961426,0.5584636926651001,0.6889994144439697,0.037569090723991394,0.019566182047128677,0.5720230937004089,0.2996578514575958,321.7118835449219,238.04983520507812,33.11122512817383,44.87745666503906,314.5514831542969,0.06466204673051834,0.1380833387374878,0.6225337982177734,2.0956871509552,0.9639999866485596,0.021960390731692314,0.04000015929341316,2.614217758178711,0.5,0.05106678605079651,0.36857715249061584,-0.0385776050388813,0.2815687656402588,0.39739733934402466,0.6151162385940552,0.2654268741607666,0.35039955377578735,0.5347181558609009,0.3502364456653595,0.2768862843513489,0.634944498538971,0.44236525893211365,0.1383354663848877,0.9792481660842896,0.9600971937179565,0.0644381046295166,0.1482045203447342,0.9992001056671143,0.024000000208616257,0.0020000000949949026,0.02199999988079071,0.964,0.6457818375583506,1.4744318167622608,0.21935727770588226,0.5326762408317944,1.7202566305819127,1.6831712657350537,0.8300598860588131,0.23902985748880845,0.10980195365846157,0.09019884280860424,292.99296959716645,0.038514699786901474,0.04420944303274155,0.3189549446105957,0.1010877937078476,0.002495772670954466,0.31852757930755615,0.5807195901870728,0.5013670921325684,0.9600971937179565,0.9780000001192093,0.4691537995087473
pronking,0,action_space,-1.0,2.5999999046325684,0.0,0.5,-1.0,0.04999999701976776,1.0,0.3700000047683716,0.0,0.0,stepping_stones_easy_bound_highspeed,stepping_stones_easy,2.0,bounding,1000,0.5650482177734375,0.5650482177734375,1.0962531566619873,0.9048019647598267,0.16858190298080444,0.5443879961967468,1.7237825393676758,0.16858190298080444,0.0553344190120697,0.4161979556083679,0.26729142665863037,1.0665591955184937,2.786510467529297,1.2226040363311768,2.764636278152466,0.5443879961967468,0.6246128678321838,0.03807079419493675,0.0228272657841444,0.5898701548576355,0.2986353635787964,331.72088623046875,241.87503051757812,33.928367614746094,47.58606719970703,679.3883056640625,0.06646166741847992,0.13374997675418854,0.711923360824585,2.3498635292053223,0.9390000104904175,0.021925047039985657,0.04000015929341316,2.6136093139648438,0.5,0.05102117732167244,0.36863768100738525,0.0,0.30660638213157654,0.4040771722793579,0.6280112266540527,0.2721659541130066,0.3574220836162567,0.5376718640327454,0.2870248854160309,0.28724658489227295,0.6350215673446655,0.43442314863204956,0.1377660632133484,0.9801127910614014,0.9651578664779663,0.11753545701503754,0.19285355508327484,0.9989999532699585,0.023000001907348633,0.0010000000474974513,0.02199999988079071,0.939,0.7581718209198616,1.5819345139553105,0.2352326912061113,0.5170023468598864,1.6692844178058144,1.6627195428431296,0.7903245332344073,0.2467753228730157,0.10962523519992828,0.09037556126713753,302.59514804092805,0.03782949224114418,0.05163358151912689,0.29583269357681274,0.058985061943531036,0.002547335810959339,0.3073585331439972,0.5349247455596924,0.5123486518859863,0.9651578664779663,0.9780000001192093,0.45876078895832373
pronking,0,action_space,-1.0,2.5999999046325684,0.0,0.5,-1.0,0.04999999701976776,1.0,0.3700000047683716,1.0,0.03999999910593033,stepping_stones_easy_bound_highspeed,stepping_stones_easy,2.0,bounding,1000,0.5708129405975342,0.5708129405975342,1.1296002864837646,0.8715943098068237,0.16551968455314636,0.5447956323623657,1.2331814765930176,0.16551968455314636,0.05128870904445648,0.4220322370529175,0.26717981696128845,1.0949655771255493,3.2799861431121826,1.241618275642395,2.8510687351226807,0.5447956323623657,0.7139749526977539,0.03685826063156128,0.021390356123447418,0.5905086398124695,0.2857387065887451,331.526123046875,243.71356201171875,33.78502655029297,46.17357635498047,655.2645263671875,0.0631406307220459,0.12858332693576813,0.6540458798408508,2.271284580230713,0.9610000848770142,0.022592008113861084,0.04000015929341316,2.614048480987549,0.5,0.05105409026145935,0.36859411001205444,0.038594458252191544,0.3248107433319092,0.4177168607711792,0.6526888608932495,0.2626175880432129,0.3422423303127289,0.5552421808242798,0.38757580518722534,0.2695433795452118,0.6312751770019531,0.44331932067871094,0.13817712664604187,0.9792481660842896,0.9603533744812012,0.06426648050546646,0.14591018855571747,0.9992001056671143,0.024000000208616257,0.007000000216066837,0.017000000923871994,0.961,0.6805888006267885,1.5373547385229778,0.22647010629320702,0.5168943963338047,1.811073202030272,1.6885108039697823,0.8449703856927495,0.24134750206912997,0.11296004056930542,0.08704075589776039,293.4897653743114,0.04789680242538452,0.05140484496951103,0.311931312084198,0.10445951670408249,0.003296895185485482,0.30696630477905273,0.5538480281829834,0.5257567763328552,0.9603533744812012,0.982999999076128,0.47294732477319873
pronking,0,action_space,-1.0,2.5999999046325684,0.0,0.5,0.0,0.07999999821186066,-1.0,0.2900000214576721,-1.0,-0.03999999910593033,stepping_stones_easy_bound_highspeed,stepping_stones_easy,2.0,bounding,1000,0.5841179490089417,0.5841179490089417,1.0069971084594727,0.9933613538742065,0.1910630166530609,0.6138948798179626,1.590322494506836,0.1910630166530609,0.06858086585998535,0.4297470450401306,0.2921134829521179,1.441082239151001,5.535275459289551,1.27738356590271,3.1803998947143555,0.6138948798179626,0.8746907711029053,0.0538325272500515,0.0501658171415329,0.6827979683876038,0.24932152032852173,445.0237731933594,348.3465576171875,30.45138168334961,45.47523498535156,677.7395629882812,0.09032799303531647,0.12283332645893097,0.6017879247665405,2.080723285675049,0.8830000162124634,0.02013993263244629,0.04000015929341316,2.6147077083587646,0.5,0.08000031858682632,0.29147136211395264,-0.03852854669094086,0.28509461879730225,0.38741111755371094,0.5722100734710693,0.27462732791900635,0.2993927597999573,0.5194647908210754,0.2730458080768585,0.2781897783279419,0.6501419544219971,0.4006795287132263,0.5,0.9783835411071777,0.962124228477478,0.11977542191743851,0.20091605186462402,0.9977999925613403,0.02500000037252903,0.003000000026077032,0.02199999988079071,0.883,0.6815264346510476,1.5350650970704047,0.26187948728372246,0.540475238056396,2.3527166126181775,1.7833675713980994,0.9352490422892211,0.3224877430098459,0.10069966316223145,0.09930113330483437,441.9315303438825,0.01931125856935978,0.023082762956619263,0.1249343603849411,0.05171849578619003,0.00683000311255455,0.25522851943969727,0.5548229813575745,0.5410916209220886,0.962124228477478,0.9780000001192093,0.441061361447761
