gait,gait_id,grid_mode,frequency_residual,frequency,duration_residual,duration,footswing_height_residual,footswing_height,stance_width_residual,stance_width,body_pitch_residual,body_pitch,task_id,condition,cmd_vx,target_gait,samples,reward_mean,weighted_metric_reward_mean,measured_vx_mean,vx_abs_error_mean,vy_abs_mean,yaw_abs_mean,lateral_offset_abs_mean,lateral_vel_abs_mean,lateral_vel_sq_mean,base_z_vel_abs_mean,base_z_vel_sq_mean,roll_rate_abs_mean,roll_rate_sq_mean,pitch_rate_abs_mean,pitch_rate_sq_mean,yaw_rate_abs_mean,yaw_rate_sq_mean,gravity_x_sq_mean,gravity_y_sq_mean,torque_penalty_mean,slip_penalty_mean,mechanical_power_abs_mean,positive_mechanical_power_mean,contact_force_mean_mean,stance_contact_force_mean_mean,peak_contact_force_mean,swing_foot_clearance_mean_mean,scuffing_ratio_mean,foot_impact_vel_sum_mean,foot_impact_vel_sq_sum_mean,foot_impact_count_mean,forward_distance_mean,target_forward_distance_mean,actual_frequency_mean,actual_duration_mean,actual_footswing_height_mean,actual_stance_width_mean,actual_body_pitch_mean,score_progress,score_yaw_tracking,score_orientation,score_pitch_rate,score_roll_rate,score_yaw_rate,score_lateral_drift,score_vertical_bounce,score_slip,score_energy,score_clearance,score_gait_stability,score_action_smoothness,score_action_magnitude,score_action_boundary_margin,score_survival,done_rate,edge_reset_rate,fall_rate,foot_impact_rate,foot_impact_vel_mean,foot_impact_vel_rms,lateral_vel_rms,base_z_vel_rms,roll_rate_rms,pitch_rate_rms,yaw_rate_rms,orientation_rms,forward_distance_ratio,progress_deficit,transport_cost_proxy,progress_score,yaw_score,orientation_score,lateral_score,slip_score,energy_score,impact_score,scuffing_score,smoothness_score,survival_score,neutral_score
pronking,0.0,action_space,-1.0,2.5999999046325684,0.0,0.5,-1.0,0.04999999701976776,0.0,0.33000001311302185,1.0,0.03999999910593033,flat_trot_efficiency,flat,0.5,trotting,1000.0,0.7223822474479675,0.7223822474479675,0.4535166919231415,0.07150038331747055,0.04496293514966965,0.09679344296455383,1.2123818397521973,0.04496293514966965,0.005359728820621967,0.4656265676021576,0.29211315512657166,0.4449422061443329,0.40801143646240234,0.4404047727584839,0.35839223861694336,0.09679344296455383,0.018252355977892876,0.0020758549217134714,0.0010450267000123858,0.32366204261779785,0.006135472562164068,111.66468811035156,70.8602294921875,36.249942779541016,38.27991485595703,217.7102508544922,0.0307881198823452,0.11516667902469635,0.5556343793869019,1.4922494888305664,1.0410001277923584,0.009070335887372494,0.01000003982335329,2.605989694595337,0.5,0.050449881702661514,0.33000147342681885,0.039400093257427216,0.9506258964538574,0.8762553930282593,0.9425219893455505,0.5633004307746887,0.6084815263748169,0.9417381286621094,0.48480236530303955,0.2154233604669571,0.9302778244018555,0.6180638074874878,0.1306249499320984,0.991353452205658,0.9847970008850098,0.10248072445392609,0.13630084693431854,1.0,0.010000000707805157,0.0,0.010000000707805157,1.041,0.5337505652054815,1.1972789312602194,0.07321016883344804,0.540474934781042,0.6387577290823199,0.5986586996085026,0.13510128044505307,0.05586485139804685,0.04535167943686247,0.004648519679903984,246.21957713802436,0.9797584414482117,0.9105652570724487,0.9394904375076294,0.2672484815120697,0.8845206499099731,0.5234445929527283,0.6988150477409363,0.5622361302375793,0.9847970008850098,0.9899999992921948,0.9194009682039419
trotting,1.0,action_space,-1.0,2.5999999046325684,0.0,0.5,-1.0,0.04999999701976776,-1.0,0.2900000214576721,1.0,0.03999999910593033,flat_trot_efficiency,flat,0.5,trotting,1000.0,0.7664825916290283,0.7664825916290283,0.5142642259597778,0.0650719478726387,0.057413361966609955,0.11996728181838989,1.5931874513626099,0.057413361966609955,0.007282912731170654,0.07303118705749512,0.03621421381831169,0.44668304920196533,0.3580467402935028,0.2744860053062439,0.13612960278987885,0.11996728181838989,0.02508445270359516,0.0007209101459011436,0.0008580940193496644,0.2960996627807617,0.011318685486912727,68.88862609863281,48.75566101074219,35.14703369140625,67.84320831298828,321.5814208984375,0.05304470658302307,0.19883334636688232,0.4295499920845032,0.8862199187278748,1.0290000438690186,0.010285284370183945,0.01000003982335329,2.606205463409424,0.5,0.05046607553958893,0.29062163829803467,0.03937850147485733,0.9577821493148804,0.8250476121902466,0.9712994694709778,0.7260235548019409,0.541367769241333,0.9140505194664001,0.40224170684814453,0.9030138254165649,0.9077053070068359,0.5645699501037598,0.13082745671272278,1.0,0.9854400753974915,0.05088948458433151,0.08901673555374146,1.0,0.010000000707805157,0.0020000000949949026,0.00800000037997961,1.029,0.4174441086423409,0.9280322079759054,0.08533998319176454,0.1903003253237148,0.5983700696838895,0.3689574539020439,0.15838072074465112,0.039736685383292954,0.051426421850919724,0.0,133.95570335475912,0.9832051992416382,0.8659557104110718,0.9689133763313293,0.1757231205701828,0.7974200248718262,0.5531094670295715,0.8062906861305237,0.3700316548347473,0.9854400753974915,0.9919999996200204,0.9141902902225654
bounding,2.0,action_space,-1.0,2.5999999046325684,0.0,0.5,-1.0,0.08999999612569809,-1.0,0.3400000035762787,1.0,0.03999999910593033,flat_trot_efficiency,flat,0.5,trotting,1000.0,0.730853796005249,0.730853796005249,0.5026134252548218,0.14873364567756653,0.04161371290683746,0.14878159761428833,1.6506223678588867,0.04161371290683746,0.004641578532755375,0.09819507598876953,0.04830186069011688,0.38799014687538147,0.31524717807769775,1.6326422691345215,3.9480419158935547,0.14878159761428833,0.037034664303064346,0.014552263543009758,0.0006186270620673895,0.3374336361885071,0.013884209096431732,116.82342529296875,74.89112854003906,36.09502410888672,67.29959106445312,285.7269592285156,0.06308004260063171,0.1587500125169754,0.5165597200393677,1.145500659942627,1.0350000858306885,0.010052269324660301,0.01000003982335329,2.605989694595337,0.5,0.09045007824897766,0.34059828519821167,0.03940010815858841,0.8810127973556519,0.7744919657707214,0.7589826583862305,0.1766783893108368,0.6118929386138916,0.8900154829025269,0.38941603899002075,0.8570759296417236,0.8183093667030334,0.5374534130096436,0.6306248903274536,0.9913535118103027,0.9833260774612427,0.05068463832139969,0.08637399971485138,1.0,0.010000000707805157,0.004000000189989805,0.0060000005178153515,1.035,0.4990914902249396,1.0520284571891625,0.06812913130779942,0.21977684293418376,0.5614687685683841,1.9869680208532685,0.19244392508745073,0.1231701692987273,0.050261346623301506,0.0,232.43196345927294,0.9153152108192444,0.8014283776283264,0.738290548324585,0.17491520941257477,0.7575360536575317,0.509223997592926,0.7582888007164001,0.452146053314209,0.9833260774612427,0.9939999994821846,0.8537340497225523
pacing,3.0,action_space,1.0,2.9000000953674316,0.0,0.5,1.0,0.11999999731779099,-1.0,0.3400000035762787,1.0,0.03999999910593033,flat_trot_efficiency,flat,0.5,trotting,1000.0,0.7195709943771362,0.7195709943771362,0.4936221241950989,0.057060908526182175,0.17780593037605286,0.1094704195857048,1.1554546356201172,0.17780593037605286,0.04635392501950264,0.10012224316596985,0.03966754674911499,0.8534294366836548,1.1027495861053467,0.2556517720222473,0.11493782699108124,0.1094704195857048,0.027015969157218933,0.0008194976253435016,0.0023031141608953476,0.2780435085296631,0.028651274740695953,109.43380737304688,86.7950439453125,35.0754508972168,69.21676635742188,312.585205078125,0.0691673755645752,0.1524166762828827,0.6351978182792664,1.6835432052612305,1.1470000743865967,0.009872441180050373,0.01000003982335329,2.8940114974975586,0.5,0.11999969929456711,0.34059834480285645,0.03940010070800781,0.9266088008880615,0.8525130748748779,0.9453467130661011,0.7513960599899292,0.3075050413608551,0.9258263111114502,0.32687461376190186,0.8416078090667725,0.6825423240661621,0.5930039286613464,1.0,0.991353452205658,0.9833260774612427,0.0506846159696579,0.08637423813343048,1.0,0.010000000707805157,0.0020000000949949026,0.00800000037997961,1.147,0.5537905439461639,1.2115194580942104,0.2152996168586991,0.19916713270295125,1.0501188438007132,0.33902481766248505,0.16436535266660957,0.05588033452153673,0.049362205900251865,0.0006379932165145874,221.69550757371306,0.9870606660842896,0.8870643973350525,0.9394579529762268,0.12461414933204651,0.563817024230957,0.5734485983848572,0.6928478479385376,0.46669310331344604,0.9833260774612427,0.9919999996200204,0.8827456913888454
pronking,0.0,action_space,1.0,3.4000000953674316,0.0,0.5,-1.0,0.04999999701976776,0.0,0.33000001311302185,1.0,0.03999999910593033,flat_trot_efficiency,flat,1.0,trotting,1000.0,0.7087904214859009,0.7087904214859009,0.8716334104537964,0.1391744464635849,0.042409636080265045,0.1156700998544693,1.6059856414794922,0.042409636080265045,0.00546248909085989,0.3881186246871948,0.21883657574653625,0.414983332157135,0.3155694007873535,0.3341289758682251,0.28204405307769775,0.1156700998544693,0.022661922499537468,0.0013806073693558574,0.000803826900664717,0.3353017568588257,0.012576509267091751,141.93212890625,98.45281982421875,34.60828399658203,36.510433197021484,182.4859161376953,0.031914666295051575,0.14250001311302185,0.6915821433067322,1.9285345077514648,1.3370001316070557,0.017432663589715958,0.02000007964670658,3.390411853790283,0.5,0.05071990191936493,0.33000147342681885,0.03904009610414505,0.8982185125350952,0.8440231084823608,0.9614995121955872,0.6943972110748291,0.5817114114761353,0.9253182411193848,0.4204733967781067,0.27171552181243896,0.8671048879623413,0.6097649931907654,0.13399991393089294,0.986165463924408,0.975675106048584,0.10953866690397263,0.1636510044336319,1.0,0.017000000923871994,0.003000000026077032,0.014000000432133675,1.337,0.5172640929582321,1.201013790108178,0.07390865369400183,0.46779971755713606,0.5617556415269486,0.5310781986465813,0.15053877407345082,0.046737931811544405,0.08716331794857979,0.012837080284953117,162.8346587040029,0.9254472851753235,0.8747687339782715,0.9572519063949585,0.17992134392261505,0.7776100039482117,0.5113998651504517,0.6972519159317017,0.49041658639907837,0.975675106048584,0.9859999995678663,0.888800607820352
trotting,1.0,action_space,-1.0,2.5999999046325684,0.0,0.5,-1.0,0.04999999701976776,-1.0,0.2900000214576721,1.0,0.03999999910593033,flat_trot_efficiency,flat,1.0,trotting,1000.0,0.7482261061668396,0.7482261061668396,0.9308158159255981,0.12167803198099136,0.06264860183000565,0.15886752307415009,1.485727071762085,0.06264860183000565,0.00892103835940361,0.10302205383777618,0.06280972063541412,0.5146832466125488,0.4749654531478882,0.40461263060569763,0.29225584864616394,0.15886752307415009,0.05924581363797188,0.0017176548717543483,0.0013500784989446402,0.3342282772064209,0.013208793476223946,115.45314025878906,80.34562683105469,35.021568298339844,68.32108306884766,389.125244140625,0.054713644087314606,0.2043333500623703,0.4924459457397461,1.1803593635559082,1.0260000228881836,0.018616313114762306,0.02000007964670658,2.6110074520111084,0.5,0.05082612484693527,0.29110145568847656,0.03889843448996544,0.9018803834915161,0.7623797655105591,0.9477163553237915,0.5778380036354065,0.5014868974685669,0.8711417317390442,0.40540122985839844,0.8599216938018799,0.8454487323760986,0.5314198732376099,0.13532739877700806,1.0,0.9740076065063477,0.058827534317970276,0.1255062222480774,1.0,0.018000001087784767,0.007000000216066837,0.010999999940395355,1.026,0.47996678640503165,1.0725892661770062,0.09445124858573131,0.25061867575145735,0.6891773742280635,0.5406069261914463,0.2434046294505753,0.05538712278769307,0.09308156557381153,0.0069188326597213745,124.03435597404744,0.9424973726272583,0.7769425511360168,0.940489649772644,0.18935194611549377,0.7678384780883789,0.5124989748001099,0.7500526309013367,0.35999441146850586,0.9740076065063477,0.9890000000596046,0.8866878298918407
bounding,2.0,action_space,1.0,3.4000000953674316,0.0,0.5,-1.0,0.08999999612569809,-1.0,0.3400000035762787,1.0,0.03999999910593033,flat_trot_efficiency,flat,1.0,trotting,1000.0,0.7024712562561035,0.7024712562561035,0.9405218362808228,0.1540142297744751,0.06530807912349701,0.17122048139572144,1.6376197338104248,0.06530807912349701,0.010577887296676636,0.12294228374958038,0.08199632912874222,0.4484134316444397,0.3695976734161377,1.6539217233657837,3.885382652282715,0.17122048139572144,0.049991048872470856,0.009353894740343094,0.0012065863702446222,0.37366390228271484,0.034812282770872116,157.45346069335938,102.74124145507812,35.752540588378906,68.04595184326172,363.3615417480469,0.05758003145456314,0.19975000619888306,0.7083469033241272,1.6094005107879639,1.3220000267028809,0.018810443580150604,0.02000007964670658,3.388014793395996,0.5,0.09089969098567963,0.34119850397109985,0.038800470530986786,0.8802617788314819,0.7211260795593262,0.8251017332077026,0.15718725323677063,0.5532491207122803,0.8520690202713013,0.3687756657600403,0.8274440765380859,0.6160105466842651,0.5054589509963989,0.6362460851669312,0.9827068448066711,0.9666522741317749,0.0606045126914978,0.1319674253463745,1.0,0.020000001415610313,0.007000000216066837,0.013000000268220901,1.322,0.5358145709477827,1.1033576833816434,0.10284885656475057,0.28635001157454526,0.6079454526650707,1.971137400660521,0.2235867815244695,0.10276420150318746,0.09405221790075302,0.005948180332779884,167.41074435442096,0.9094806909561157,0.7458994388580322,0.8096043467521667,0.157366544008255,0.49845314025878906,0.47363048791885376,0.7376030087471008,0.36833956837654114,0.9666522741317749,0.9869999997317791,0.818620823820432
pacing,3.0,action_space,1.0,2.9000000953674316,0.0,0.5,0.0,0.11999999731779099,-1.0,0.3400000035762787,1.0,0.03999999910593033,flat_trot_efficiency,flat,1.0,trotting,1000.0,0.7025809288024902,0.7025809288024902,0.936220645904541,0.11759153008460999,0.18514835834503174,0.1497127115726471,1.329614281654358,0.18514835834503174,0.05021824687719345,0.13975486159324646,0.0676107257604599,0.8835570216178894,1.2457146644592285,0.31755661964416504,0.2791638970375061,0.1497127115726471,0.0565681979060173,0.0013846619985997677,0.0027849916368722916,0.34058791399002075,0.031018272042274475,155.39248657226562,118.28492736816406,34.65239715576172,67.95362854003906,199.95582580566406,0.07124719023704529,0.1485833376646042,0.6800483465194702,1.8970561027526855,1.1349999904632568,0.018724411725997925,0.02000007964670658,2.889080047607422,0.5,0.11999969929456711,0.34109175205230713,0.038907088339328766,0.8687262535095215,0.7939183115959167,0.9303014278411865,0.7182419300079346,0.2962726652622223,0.8909041881561279,0.28138741850852966,0.7610408067703247,0.6262989044189453,0.538953959941864,1.0,0.9844361543655396,0.9725581407546997,0.1120557114481926,0.17459791898727417,1.0,0.018000001087784767,0.004000000189989805,0.014000000432133675,1.135,0.5991615329019824,1.2928321225492752,0.2240942812237596,0.2600206256443129,1.1161158830781097,0.5283596285083731,0.2378406985905005,0.06457285525259092,0.09362205862998962,0.0063783396035432816,165.9784872850473,0.9461907744407654,0.7992040514945984,0.9199894666671753,0.09690936654806137,0.537747859954834,0.5060216188430786,0.6584585309028625,0.47572433948516846,0.9725581407546997,0.9859999995678663,0.8536499058206876
pronking,0.0,action_space,0.0,3.0,0.0,0.5,1.0,0.10999999940395355,-1.0,0.2900000214576721,1.0,0.03999999910593033,flat_trot_efficiency,flat,1.5,trotting,1000.0,0.6820836067199707,0.6820836067199707,1.2588518857955933,0.24483622610569,0.060136690735816956,0.1391332596540451,1.6526856422424316,0.060136690735816956,0.008249953389167786,0.4345274865627289,0.2747907340526581,0.5837925672531128,0.7404420971870422,0.4986704885959625,0.5491681098937988,0.1391332596540451,0.041331373155117035,0.002983673010021448,0.0012147333472967148,0.4166361689567566,0.020747380331158638,227.52685546875,163.169921875,35.255828857421875,39.982662200927734,404.80963134765625,0.04053100571036339,0.14091667532920837,0.8715443015098572,3.156566619873047,1.1740000247955322,0.02517704851925373,0.029999924823641777,3.000000238418579,0.5,0.10892993211746216,0.29142695665359497,0.03857291489839554,0.8134778738021851,0.7987731695175171,0.9344966411590576,0.5595098733901978,0.5015376806259155,0.9005335569381714,0.35225775837898254,0.2497875988483429,0.7994422316551208,0.5481220483779907,0.8616209030151367,0.9792481660842896,0.9635890126228333,0.11878567188978195,0.19829285144805908,1.0,0.024000000208616257,0.006000000052154064,0.018000001087784767,1.174,0.742371593260887,1.6397340557654885,0.09082925403837569,0.5242048588602152,0.8604894521067892,0.7410587762747289,0.20330118827768084,0.06479511059731408,0.12588524259626865,0.02411438152194023,180.74156144664568,0.7868016362190247,0.8240033984184265,0.9194605350494385,0.16240133345127106,0.6603748798370361,0.43462473154067993,0.5105932354927063,0.4943144619464874,0.9635890126228333,0.9819999989122152,0.8200895364085833
trotting,1.0,action_space,-1.0,2.5999999046325684,0.0,0.5,1.0,0.10999999940395355,0.0,0.33000001311302185,0.0,0.0,flat_trot_efficiency,flat,1.5,trotting,1000.0,0.7411466836929321,0.7411466836929321,1.3065690994262695,0.20505166053771973,0.08357135951519012,0.23004058003425598,1.3424255847930908,0.08357135951519012,0.016439225524663925,0.1560969352722168,0.09546788036823273,0.5796982049942017,0.6087149381637573,0.5065751075744629,0.4637967646121979,0.23004058003425598,0.09858223050832748,0.0028209430165588856,0.0019095380557700992,0.39521971344947815,0.02001815102994442,216.37928771972656,162.50433349609375,34.72011947631836,68.68351745605469,466.389404296875,0.07571610808372498,0.16091668605804443,0.6792206764221191,2.1920063495635986,1.0150001049041748,0.02613137662410736,0.029999924823641777,2.6149935722351074,0.5,0.10887525975704193,0.33000147342681885,0.0,0.8338403105735779,0.6364127397537231,0.9190585613250732,0.4970715045928955,0.4707472622394562,0.7853685617446899,0.41355717182159424,0.7575496435165405,0.7391538619995117,0.48252469301223755,0.8609375953674316,1.0,0.9781495332717896,0.23413947224617004,0.30832821130752563,1.0,0.026000000536441803,0.003000000026077032,0.023000001907348633,1.015,0.6691829587438424,1.4695618956609386,0.12821554322571005,0.30897877009308056,0.7802018573188334,0.681026258386707,0.31397807329227223,0.06877849280355731,0.1306568831205368,0.01934274099767208,165.60875947145954,0.8451976776123047,0.5890839099884033,0.9097279906272888,0.18801940977573395,0.6700767278671265,0.45364540815353394,0.5828047394752502,0.44727420806884766,0.9781495332717896,0.9769999980926514,0.827673572699229
