task_id,cmd_vx,rank_by_neutral,gait,neutral_score,gap_to_best_neutral,live_weighted_reward,vx_abs_error,fall_rate,lateral_offset_abs,scuffing_ratio,foot_impact_vel_sum,transport_cost_proxy,frequency,duration,footswing_height,stance_width,body_pitch
flat_trot_efficiency,0.50,1,pronking,0.919401,0.000000,0.722382,0.071500,0.010000,1.212382,0.115167,0.555634,246.219577,2.605990,0.500000,0.050450,0.330001,0.039400
flat_trot_efficiency,0.50,2,trotting,0.914190,0.005211,0.766483,0.065072,0.008000,1.593187,0.198833,0.429550,133.955703,2.606205,0.500000,0.050466,0.290622,0.039379
flat_trot_efficiency,0.50,3,pacing,0.882746,0.036655,0.719571,0.057061,0.008000,1.155455,0.152417,0.635198,221.695508,2.894011,0.500000,0.120000,0.340598,0.039400
flat_trot_efficiency,0.50,4,bounding,0.853734,0.065667,0.730854,0.148734,0.006000,1.650622,0.158750,0.516560,232.431963,2.605990,0.500000,0.090450,0.340598,0.039400
flat_trot_efficiency,1.00,1,pronking,0.888801,0.000000,0.708790,0.139174,0.014000,1.605986,0.142500,0.691582,162.834659,3.390412,0.500000,0.050720,0.330001,0.039040
flat_trot_efficiency,1.00,2,trotting,0.886688,0.002113,0.748226,0.121678,0.011000,1.485727,0.204333,0.492446,124.034356,2.611007,0.500000,0.050826,0.291101,0.038898
flat_trot_efficiency,1.00,3,pacing,0.853650,0.035151,0.702581,0.117592,0.014000,1.329614,0.148583,0.680048,165.978487,2.889080,0.500000,0.120000,0.341092,0.038907
flat_trot_efficiency,1.00,4,bounding,0.818621,0.070180,0.702471,0.154014,0.013000,1.637620,0.199750,0.708347,167.410744,3.388015,0.500000,0.090900,0.341199,0.038800
flat_trot_efficiency,1.50,1,trotting,0.827674,0.000000,0.741147,0.205052,0.023000,1.342426,0.160917,0.679221,165.608759,2.614994,0.500000,0.108875,0.330001,0.000000
flat_trot_efficiency,1.50,2,pronking,0.820090,0.007584,0.682084,0.244836,0.018000,1.652686,0.140917,0.871544,180.741561,3.000000,0.500000,0.108930,0.291427,0.038573
flat_trot_efficiency,1.50,3,pacing,0.784265,0.043408,0.696044,0.240068,0.022000,1.588915,0.129500,0.723689,179.966555,2.884408,0.500000,0.120000,0.380001,0.038440
flat_trot_efficiency,1.50,4,bounding,0.755946,0.071728,0.704953,0.243298,0.018000,1.625919,0.154083,0.921581,191.935216,3.384409,0.500000,0.120000,0.341559,0.000000
flat_trot_efficiency,2.00,1,trotting,0.743454,0.000000,0.705094,0.343690,0.025000,1.456455,0.149083,0.908138,184.199458,3.380335,0.500000,0.108525,0.291967,0.000000
flat_trot_efficiency,2.00,2,pronking,0.687955,0.055499,0.671473,0.455039,0.026000,1.467204,0.147417,0.921534,190.858579,3.380901,0.500000,0.108567,0.330001,0.038089
flat_trot_efficiency,2.00,3,pacing,0.684581,0.058873,0.648915,0.387921,0.023000,1.215552,0.126083,0.778379,189.523864,2.880794,0.500000,0.120000,0.380001,-0.038079
flat_trot_efficiency,2.00,4,bounding,0.662550,0.080904,0.648291,0.389612,0.027000,1.418750,0.144750,1.125403,214.597862,3.381231,0.500000,0.120000,0.341877,-0.038122
push_lateral_pace_recovery,1.20,1,pronking,0.732790,0.000000,0.746994,0.170266,0.016000,1.205391,0.128167,0.989953,183.664819,3.387982,0.500000,0.109098,0.368797,0.000000
push_lateral_pace_recovery,1.20,2,trotting,0.714140,0.018650,0.744159,0.161786,0.018000,1.034179,0.199167,0.672078,140.352057,3.386793,0.500000,0.050991,0.291322,0.038678
push_lateral_pace_recovery,1.20,3,bounding,0.688643,0.044147,0.723085,0.191452,0.019000,1.136862,0.158583,0.859912,191.319843,3.386123,0.500000,0.120000,0.380001,0.038611
push_lateral_pace_recovery,1.20,4,pacing,0.670932,0.061858,0.681234,0.168083,0.017000,1.528062,0.132083,0.716850,169.732809,2.887331,0.500000,0.120000,0.380001,0.038732
push_lateral_pace_recovery,1.50,1,pronking,0.710027,0.000000,0.740404,0.249155,0.019000,1.147969,0.149750,0.751691,187.234653,2.615595,0.500000,0.108830,0.368439,0.000000
push_lateral_pace_recovery,1.50,2,trotting,0.697730,0.012297,0.734733,0.216649,0.022000,1.189441,0.168917,0.771051,161.357269,3.383560,0.500000,0.080000,0.291645,0.038355
push_lateral_pace_recovery,1.50,3,bounding,0.647833,0.062194,0.751576,0.262318,0.018000,1.283137,0.140167,0.858773,198.086539,3.000000,0.500000,0.120000,0.380001,0.038445
