task_id,cmd_vx,top_gait,second_gait,neutral_margin,margin_label,target_type_recommendation,top_soft_prob_temp0p03,top_neutral,second_neutral,top_live_reward,second_live_reward,top_best_params,second_best_params
flat_trot_efficiency,0.50,pronking,trotting,0.005211,tie_or_noise,soft_tie,0.444981,0.919401,0.914190,0.722382,0.766483,"f=2.61, d=0.50, foot=0.050, width=0.330, pitch=0.039","f=2.61, d=0.50, foot=0.050, width=0.291, pitch=0.039"
flat_trot_efficiency,1.00,pronking,trotting,0.002113,tie_or_noise,soft_tie,0.427674,0.888801,0.886688,0.708790,0.748226,"f=3.39, d=0.50, foot=0.051, width=0.330, pitch=0.039","f=2.61, d=0.50, foot=0.051, width=0.291, pitch=0.039"
flat_trot_efficiency,1.50,trotting,pronking,0.007584,tie_or_noise,soft_tie,0.475408,0.827674,0.820090,0.741147,0.682084,"f=2.61, d=0.50, foot=0.109, width=0.330, pitch=0.000","f=3.00, d=0.50, foot=0.109, width=0.291, pitch=0.039"
flat_trot_efficiency,2.00,trotting,pronking,0.055499,clear_advantage,hard_or_sharp_soft,0.732505,0.743454,0.687955,0.705094,0.671473,"f=3.38, d=0.50, foot=0.109, width=0.292, pitch=0.000","f=3.38, d=0.50, foot=0.109, width=0.330, pitch=0.038"
push_lateral_pace_recovery,1.20,pronking,trotting,0.018650,weak_advantage,soft_preference,0.528030,0.732790,0.714140,0.746994,0.744159,"f=3.39, d=0.50, foot=0.109, width=0.369, pitch=0.000","f=3.39, d=0.50, foot=0.051, width=0.291, pitch=0.039"
push_lateral_pace_recovery,1.50,pronking,trotting,0.012297,weak_advantage,soft_preference,0.522473,0.710027,0.697730,0.740404,0.734733,"f=2.62, d=0.50, foot=0.109, width=0.368, pitch=0.000","f=3.38, d=0.50, foot=0.080, width=0.292, pitch=0.038"
push_lateral_pace_recovery,1.80,pronking,trotting,0.003160,tie_or_noise,soft_tie,0.415847,0.661526,0.658366,0.725231,0.739571,"f=2.62, d=0.50, foot=0.109, width=0.292, pitch=0.000","f=3.38, d=0.50, foot=0.080, width=0.368, pitch=0.000"
ramp_up_trot_robustness,0.50,pronking,trotting,0.006364,tie_or_noise,soft_tie,0.423252,0.891693,0.885329,0.798931,0.750898,"f=3.00, d=0.50, foot=0.050, width=0.330, pitch=0.039","f=2.61, d=0.50, foot=0.050, width=0.330, pitch=0.039"
ramp_up_trot_robustness,1.00,pronking,trotting,0.009146,tie_or_noise,soft_tie,0.487609,0.853870,0.844724,0.750966,0.720370,"f=3.39, d=0.50, foot=0.051, width=0.330, pitch=0.039","f=2.61, d=0.50, foot=0.109, width=0.369, pitch=0.039"
ramp_up_trot_robustness,1.50,pronking,trotting,0.013335,weak_advantage,soft_preference,0.522135,0.776433,0.763098,0.722706,0.709393,"f=3.00, d=0.50, foot=0.109, width=0.369, pitch=0.039","f=3.39, d=0.50, foot=0.051, width=0.330, pitch=0.039"
ramp_up_trot_robustness,2.00,pronking,trotting,0.019576,weak_advantage,soft_preference,0.605741,0.654758,0.635182,0.712562,0.698502,"f=3.00, d=0.50, foot=0.109, width=0.330, pitch=0.038","f=3.00, d=0.50, foot=0.051, width=0.292, pitch=0.000"
rough_slope_trot_robustness,0.50,pronking,trotting,0.010599,weak_advantage,soft_preference,0.512963,0.841523,0.830924,0.745198,0.730355,"f=3.39, d=0.50, foot=0.050, width=0.330, pitch=0.039","f=2.61, d=0.50, foot=0.050, width=0.291, pitch=0.039"
rough_slope_trot_robustness,1.00,pronking,trotting,0.009764,tie_or_noise,soft_tie,0.492551,0.783244,0.773481,0.772796,0.700360,"f=3.00, d=0.50, foot=0.080, width=0.330, pitch=0.039","f=3.39, d=0.50, foot=0.109, width=0.369, pitch=0.039"
rough_slope_trot_robustness,1.50,pronking,trotting,0.008654,tie_or_noise,soft_tie,0.383762,0.669597,0.660943,0.674544,0.676756,"f=3.39, d=0.50, foot=0.109, width=0.291, pitch=0.039","f=3.38, d=0.50, foot=0.080, width=0.368, pitch=0.038"
rough_slope_trot_robustness,2.00,trotting,pacing,0.031854,clear_advantage,hard_or_sharp_soft,0.714896,0.542754,0.510900,0.647185,0.619046,"f=2.62, d=0.50, foot=0.109, width=0.330, pitch=0.038","f=2.50, d=0.50, foot=0.120, width=0.342, pitch=0.000"
stepping_stones_easy_bound_highspeed,1.70,pacing,pronking,0.002460,tie_or_noise,soft_tie,0.318890,0.595277,0.592817,0.664387,0.684077,"f=2.89, d=0.50, foot=0.120, width=0.380, pitch=0.039","f=3.39, d=0.50, foot=0.109, width=0.369, pitch=0.000"
stepping_stones_easy_bound_highspeed,2.00,pacing,trotting,0.028495,weak_advantage,soft_preference,0.578493,0.565577,0.537082,0.715638,0.676105,"f=2.50, d=0.50, foot=0.120, width=0.380, pitch=0.038","f=2.62, d=0.50, foot=0.109, width=0.330, pitch=0.000"
