task_id,cmd_vx,gait,rank_by_neutral,neutral_score,soft_prob_temp0p03,best_frequency,best_duration,best_footswing_height,best_stance_width,best_body_pitch
flat_trot_efficiency,0.50,pronking,1,0.919401,0.444981,2.605990,0.500000,0.050450,0.330001,0.039400
flat_trot_efficiency,0.50,trotting,2,0.914190,0.374033,2.606205,0.500000,0.050466,0.290622,0.039379
flat_trot_efficiency,0.50,pacing,3,0.882746,0.131130,2.894011,0.500000,0.120000,0.340598,0.039400
flat_trot_efficiency,0.50,bounding,4,0.853734,0.049856,2.605990,0.500000,0.090450,0.340598,0.039400
flat_trot_efficiency,1.00,pronking,1,0.888801,0.427674,3.390412,0.500000,0.050720,0.330001,0.039040
flat_trot_efficiency,1.00,trotting,2,0.886688,0.398590,2.611007,0.500000,0.050826,0.291101,0.038898
flat_trot_efficiency,1.00,pacing,3,0.853650,0.132512,2.889080,0.500000,0.120000,0.341092,0.038907
flat_trot_efficiency,1.00,bounding,4,0.818621,0.041225,3.388015,0.500000,0.090900,0.341199,0.038800
flat_trot_efficiency,1.50,trotting,1,0.827674,0.475408,2.614994,0.500000,0.108875,0.330001,0.000000
flat_trot_efficiency,1.50,pronking,2,0.820090,0.369212,3.000000,0.500000,0.108930,0.291427,0.038573
flat_trot_efficiency,1.50,pacing,3,0.784265,0.111858,2.884408,0.500000,0.120000,0.380001,0.038440
flat_trot_efficiency,1.50,bounding,4,0.755946,0.043521,3.384409,0.500000,0.120000,0.341559,0.000000
flat_trot_efficiency,2.00,trotting,1,0.743454,0.732505,3.380335,0.500000,0.108525,0.291967,0.000000
flat_trot_efficiency,2.00,pronking,2,0.687955,0.115180,3.380901,0.500000,0.108567,0.330001,0.038089
flat_trot_efficiency,2.00,pacing,3,0.684581,0.102929,2.880794,0.500000,0.120000,0.380001,-0.038079
flat_trot_efficiency,2.00,bounding,4,0.662550,0.049386,3.381231,0.500000,0.120000,0.341877,-0.038122
push_lateral_pace_recovery,1.20,pronking,1,0.732790,0.528030,3.387982,0.500000,0.109098,0.368797,0.000000
push_lateral_pace_recovery,1.20,trotting,2,0.714140,0.283582,3.386793,0.500000,0.050991,0.291322,0.038678
push_lateral_pace_recovery,1.20,bounding,3,0.688643,0.121219,3.386123,0.500000,0.120000,0.380001,0.038611
push_lateral_pace_recovery,1.20,pacing,4,0.670932,0.067169,2.887331,0.500000,0.120000,0.380001,0.038732
push_lateral_pace_recovery,1.50,pronking,1,0.710027,0.522473,2.615595,0.500000,0.108830,0.368439,0.000000
push_lateral_pace_recovery,1.50,trotting,2,0.697730,0.346772,3.383560,0.500000,0.080000,0.291645,0.038355
push_lateral_pace_recovery,1.50,bounding,3,0.647833,0.065723,3.000000,0.500000,0.120000,0.380001,0.038445
push_lateral_pace_recovery,1.50,pacing,4,0.647516,0.065032,2.883781,0.500000,0.120000,0.341622,0.038377
push_lateral_pace_recovery,1.80,pronking,1,0.661526,0.415847,2.616436,0.500000,0.108767,0.291644,0.000000
push_lateral_pace_recovery,1.80,trotting,2,0.658366,0.374270,3.381385,0.500000,0.080000,0.368138,0.000000
push_lateral_pace_recovery,1.80,bounding,3,0.627242,0.132625,3.382470,0.500000,0.091315,0.341753,-0.038246
push_lateral_pace_recovery,1.80,pacing,4,0.611031,0.077258,2.881378,0.500000,0.120000,0.341862,0.000000
ramp_up_trot_robustness,0.50,pronking,1,0.891693,0.423252,3.000000,0.500000,0.050405,0.330001,0.039459
ramp_up_trot_robustness,0.50,trotting,2,0.885329,0.342354,2.605407,0.500000,0.050406,0.330001,0.039458
ramp_up_trot_robustness,0.50,pacing,3,0.869746,0.203647,2.500000,0.500000,0.120000,0.380001,0.000000
ramp_up_trot_robustness,0.50,bounding,4,0.813027,0.030746,2.605990,0.500000,0.090450,0.340598,0.000000
ramp_up_trot_robustness,1.00,pronking,1,0.853870,0.487609,3.389211,0.500000,0.050810,0.330001,0.038920
ramp_up_trot_robustness,1.00,trotting,2,0.844724,0.359476,2.610192,0.500000,0.109235,0.368980,0.038980
ramp_up_trot_robustness,1.00,pacing,3,0.811781,0.119885,2.500000,0.500000,0.120000,0.380001,0.000000
ramp_up_trot_robustness,1.00,bounding,4,0.773107,0.033030,3.389812,0.500000,0.120000,0.380001,0.038980
ramp_up_trot_robustness,1.50,pronking,1,0.776433,0.522135,3.000000,0.500000,0.108886,0.368514,0.038515
ramp_up_trot_robustness,1.50,trotting,2,0.763098,0.334767,3.385138,0.500000,0.051115,0.330001,0.038513
ramp_up_trot_robustness,1.50,pacing,3,0.731019,0.114907,2.500000,0.500000,0.120000,0.380001,0.038355
ramp_up_trot_robustness,1.50,bounding,4,0.688865,0.028191,3.000000,0.500000,0.091168,0.380001,0.000000
ramp_up_trot_robustness,2.00,pronking,1,0.654758,0.605741,3.000000,0.500000,0.108605,0.330001,0.038139
ramp_up_trot_robustness,2.00,trotting,2,0.635182,0.315425,3.000000,0.500000,0.051297,0.291729,0.000000
ramp_up_trot_robustness,2.00,pacing,3,0.588613,0.066795,2.881408,0.500000,0.120000,0.380001,0.038140
ramp_up_trot_robustness,2.00,bounding,4,0.537209,0.012039,3.000000,0.500000,0.091393,0.341857,-0.038143
rough_slope_trot_robustness,0.50,pronking,1,0.841523,0.512963,3.394614,0.500000,0.050405,0.330001,0.039460
rough_slope_trot_robustness,0.50,trotting,2,0.830924,0.360284,2.605389,0.500000,0.050405,0.290540,0.039460
rough_slope_trot_robustness,0.50,pacing,3,0.791466,0.096701,2.500000,0.500000,0.120000,0.340478,0.039520
rough_slope_trot_robustness,0.50,bounding,4,0.756405,0.030052,3.394586,0.500000,0.090407,0.380001,0.039457
rough_slope_trot_robustness,1.00,pronking,1,0.783244,0.492551,3.000000,0.500000,0.080000,0.330001,0.038920
rough_slope_trot_robustness,1.00,trotting,2,0.773481,0.355719,3.388971,0.500000,0.109172,0.368896,0.038896
rough_slope_trot_robustness,1.00,pacing,3,0.739080,0.113008,2.889210,0.500000,0.120000,0.341079,0.038920
rough_slope_trot_robustness,1.00,bounding,4,0.706949,0.038722,3.388611,0.500000,0.090855,0.380001,0.038860
rough_slope_trot_robustness,1.50,pronking,1,0.669597,0.383762,3.385661,0.500000,0.108924,0.291435,0.038565
rough_slope_trot_robustness,1.50,trotting,2,0.660943,0.287595,3.384993,0.500000,0.080000,0.368498,0.038498
rough_slope_trot_robustness,1.50,pacing,3,0.651825,0.212215,2.885223,0.500000,0.120000,0.380001,0.000000
rough_slope_trot_robustness,1.50,bounding,4,0.633815,0.116428,3.385608,0.500000,0.120000,0.341439,0.038560
rough_slope_trot_robustness,2.00,trotting,1,0.542754,0.714896,2.617991,0.500000,0.108651,0.330001,0.038200
rough_slope_trot_robustness,2.00,pacing,2,0.510900,0.247233,2.500000,0.500000,0.120000,0.341834,0.000000
rough_slope_trot_robustness,2.00,pronking,3,0.441403,0.024380,3.000000,0.500000,0.080000,0.368273,-0.038273
rough_slope_trot_robustness,2.00,bounding,4,0.423651,0.013491,3.000000,0.500000,0.120000,0.380001,-0.038320
stepping_stones_easy_bound_highspeed,1.70,pacing,1,0.595277,0.318890,2.885609,0.500000,0.120000,0.380001,0.038560
stepping_stones_easy_bound_highspeed,1.70,pronking,2,0.592817,0.293784,3.385609,0.500000,0.108920,0.368560,0.000000
stepping_stones_easy_bound_highspeed,1.70,trotting,3,0.581877,0.204015,2.614992,0.500000,0.108875,0.291500,0.000000
stepping_stones_easy_bound_highspeed,1.70,bounding,4,0.578667,0.183312,2.614520,0.500000,0.120000,0.341452,0.038547
stepping_stones_easy_bound_highspeed,2.00,pacing,1,0.565577,0.578493,2.500000,0.500000,0.120000,0.380001,0.038440
stepping_stones_easy_bound_highspeed,2.00,trotting,2,0.537082,0.223763,2.615022,0.500000,0.108873,0.330001,0.000000
stepping_stones_easy_bound_highspeed,2.00,bounding,3,0.518737,0.121399,2.615010,0.500000,0.120000,0.380001,0.000000
stepping_stones_easy_bound_highspeed,2.00,pronking,4,0.504822,0.076344,3.000000,0.500000,0.080000,0.330001,0.038622
