task_id,cmd_vx,top_gait,second_gait,metric,direction,top_value,second_value,raw_top_minus_second,favorable_gap_for_top
flat_trot_efficiency,0.50,pronking,trotting,neutral_score,higher_better,0.919401,0.914190,0.005211,0.005211
flat_trot_efficiency,0.50,pronking,trotting,weighted_metric_reward_mean,higher_better,0.722382,0.766483,-0.044100,-0.044100
flat_trot_efficiency,0.50,pronking,trotting,vx_abs_error_mean,lower_better,0.071500,0.065072,0.006428,-0.006428
flat_trot_efficiency,0.50,pronking,trotting,fall_rate,lower_better,0.010000,0.008000,0.002000,-0.002000
flat_trot_efficiency,0.50,pronking,trotting,lateral_offset_abs_mean,lower_better,1.212382,1.593187,-0.380806,0.380806
flat_trot_efficiency,0.50,pronking,trotting,scuffing_ratio_mean,lower_better,0.115167,0.198833,-0.083667,0.083667
flat_trot_efficiency,0.50,pronking,trotting,foot_impact_vel_sum_mean,lower_better,0.555634,0.429550,0.126084,-0.126084
flat_trot_efficiency,0.50,pronking,trotting,transport_cost_proxy,lower_better,246.219577,133.955703,112.263874,-112.263874
flat_trot_efficiency,0.50,pronking,trotting,score_progress,higher_better,0.950626,0.957782,-0.007156,-0.007156
flat_trot_efficiency,0.50,pronking,trotting,score_lateral_drift,higher_better,0.484802,0.402242,0.082561,0.082561
flat_trot_efficiency,0.50,pronking,trotting,score_energy,higher_better,0.618064,0.564570,0.053494,0.053494
flat_trot_efficiency,0.50,pronking,trotting,score_survival,higher_better,1.000000,1.000000,0.000000,0.000000
flat_trot_efficiency,1.00,pronking,trotting,neutral_score,higher_better,0.888801,0.886688,0.002113,0.002113
flat_trot_efficiency,1.00,pronking,trotting,weighted_metric_reward_mean,higher_better,0.708790,0.748226,-0.039436,-0.039436
flat_trot_efficiency,1.00,pronking,trotting,vx_abs_error_mean,lower_better,0.139174,0.121678,0.017496,-0.017496
flat_trot_efficiency,1.00,pronking,trotting,fall_rate,lower_better,0.014000,0.011000,0.003000,-0.003000
flat_trot_efficiency,1.00,pronking,trotting,lateral_offset_abs_mean,lower_better,1.605986,1.485727,0.120259,-0.120259
flat_trot_efficiency,1.00,pronking,trotting,scuffing_ratio_mean,lower_better,0.142500,0.204333,-0.061833,0.061833
flat_trot_efficiency,1.00,pronking,trotting,foot_impact_vel_sum_mean,lower_better,0.691582,0.492446,0.199136,-0.199136
flat_trot_efficiency,1.00,pronking,trotting,transport_cost_proxy,lower_better,162.834659,124.034356,38.800303,-38.800303
flat_trot_efficiency,1.00,pronking,trotting,score_progress,higher_better,0.898219,0.901880,-0.003662,-0.003662
flat_trot_efficiency,1.00,pronking,trotting,score_lateral_drift,higher_better,0.420473,0.405401,0.015072,0.015072
flat_trot_efficiency,1.00,pronking,trotting,score_energy,higher_better,0.609765,0.531420,0.078345,0.078345
flat_trot_efficiency,1.00,pronking,trotting,score_survival,higher_better,1.000000,1.000000,0.000000,0.000000
flat_trot_efficiency,1.50,trotting,pronking,neutral_score,higher_better,0.827674,0.820090,0.007584,0.007584
flat_trot_efficiency,1.50,trotting,pronking,weighted_metric_reward_mean,higher_better,0.741147,0.682084,0.059063,0.059063
flat_trot_efficiency,1.50,trotting,pronking,vx_abs_error_mean,lower_better,0.205052,0.244836,-0.039785,0.039785
flat_trot_efficiency,1.50,trotting,pronking,fall_rate,lower_better,0.023000,0.018000,0.005000,-0.005000
flat_trot_efficiency,1.50,trotting,pronking,lateral_offset_abs_mean,lower_better,1.342426,1.652686,-0.310260,0.310260
flat_trot_efficiency,1.50,trotting,pronking,scuffing_ratio_mean,lower_better,0.160917,0.140917,0.020000,-0.020000
flat_trot_efficiency,1.50,trotting,pronking,foot_impact_vel_sum_mean,lower_better,0.679221,0.871544,-0.192324,0.192324
flat_trot_efficiency,1.50,trotting,pronking,transport_cost_proxy,lower_better,165.608759,180.741561,-15.132802,15.132802
flat_trot_efficiency,1.50,trotting,pronking,score_progress,higher_better,0.833840,0.813478,0.020362,0.020362
flat_trot_efficiency,1.50,trotting,pronking,score_lateral_drift,higher_better,0.413557,0.352258,0.061299,0.061299
flat_trot_efficiency,1.50,trotting,pronking,score_energy,higher_better,0.482525,0.548122,-0.065597,-0.065597
flat_trot_efficiency,1.50,trotting,pronking,score_survival,higher_better,1.000000,1.000000,0.000000,0.000000
flat_trot_efficiency,2.00,trotting,pronking,neutral_score,higher_better,0.743454,0.687955,0.055499,0.055499
flat_trot_efficiency,2.00,trotting,pronking,weighted_metric_reward_mean,higher_better,0.705094,0.671473,0.033621,0.033621
flat_trot_efficiency,2.00,trotting,pronking,vx_abs_error_mean,lower_better,0.343690,0.455039,-0.111349,0.111349
flat_trot_efficiency,2.00,trotting,pronking,fall_rate,lower_better,0.025000,0.026000,-0.001000,0.001000
flat_trot_efficiency,2.00,trotting,pronking,lateral_offset_abs_mean,lower_better,1.456455,1.467204,-0.010749,0.010749
flat_trot_efficiency,2.00,trotting,pronking,scuffing_ratio_mean,lower_better,0.149083,0.147417,0.001667,-0.001667
flat_trot_efficiency,2.00,trotting,pronking,foot_impact_vel_sum_mean,lower_better,0.908138,0.921534,-0.013396,0.013396
flat_trot_efficiency,2.00,trotting,pronking,transport_cost_proxy,lower_better,184.199458,190.858579,-6.659121,6.659121
flat_trot_efficiency,2.00,trotting,pronking,score_progress,higher_better,0.756537,0.661101,0.095436,0.095436
flat_trot_efficiency,2.00,trotting,pronking,score_lateral_drift,higher_better,0.383507,0.397852,-0.014345,-0.014345
flat_trot_efficiency,2.00,trotting,pronking,score_energy,higher_better,0.414484,0.487780,-0.073296,-0.073296
flat_trot_efficiency,2.00,trotting,pronking,score_survival,higher_better,1.000000,1.000000,0.000000,0.000000
push_lateral_pace_recovery,1.20,pronking,trotting,neutral_score,higher_better,0.732790,0.714140,0.018650,0.018650
push_lateral_pace_recovery,1.20,pronking,trotting,weighted_metric_reward_mean,higher_better,0.746994,0.744159,0.002834,0.002834
push_lateral_pace_recovery,1.20,pronking,trotting,vx_abs_error_mean,lower_better,0.170266,0.161786,0.008480,-0.008480
push_lateral_pace_recovery,1.20,pronking,trotting,fall_rate,lower_better,0.016000,0.018000,-0.002000,0.002000
push_lateral_pace_recovery,1.20,pronking,trotting,lateral_offset_abs_mean,lower_better,1.205391,1.034179,0.171213,-0.171213
push_lateral_pace_recovery,1.20,pronking,trotting,scuffing_ratio_mean,lower_better,0.128167,0.199167,-0.071000,0.071000
push_lateral_pace_recovery,1.20,pronking,trotting,foot_impact_vel_sum_mean,lower_better,0.989953,0.672078,0.317875,-0.317875
push_lateral_pace_recovery,1.20,pronking,trotting,transport_cost_proxy,lower_better,183.664819,140.352057,43.312762,-43.312762
push_lateral_pace_recovery,1.20,pronking,trotting,score_progress,higher_better,0.868396,0.865993,0.002403,0.002403
push_lateral_pace_recovery,1.20,pronking,trotting,score_lateral_drift,higher_better,0.511317,0.561682,-0.050365,-0.050365
push_lateral_pace_recovery,1.20,pronking,trotting,score_energy,higher_better,0.555018,0.487059,0.067960,0.067960
push_lateral_pace_recovery,1.20,pronking,trotting,score_survival,higher_better,1.000000,1.000000,0.000000,0.000000
push_lateral_pace_recovery,1.50,pronking,trotting,neutral_score,higher_better,0.710027,0.697730,0.012297,0.012297
push_lateral_pace_recovery,1.50,pronking,trotting,weighted_metric_reward_mean,higher_better,0.740404,0.734733,0.005671,0.005671
push_lateral_pace_recovery,1.50,pronking,trotting,vx_abs_error_mean,lower_better,0.249155,0.216649,0.032506,-0.032506
push_lateral_pace_recovery,1.50,pronking,trotting,fall_rate,lower_better,0.019000,0.022000,-0.003000,0.003000
push_lateral_pace_recovery,1.50,pronking,trotting,lateral_offset_abs_mean,lower_better,1.147969,1.189441,-0.041472,0.041472
push_lateral_pace_recovery,1.50,pronking,trotting,scuffing_ratio_mean,lower_better,0.149750,0.168917,-0.019167,0.019167
push_lateral_pace_recovery,1.50,pronking,trotting,foot_impact_vel_sum_mean,lower_better,0.751691,0.771051,-0.019360,0.019360
push_lateral_pace_recovery,1.50,pronking,trotting,transport_cost_proxy,lower_better,187.234653,161.357269,25.877383,-25.877383
push_lateral_pace_recovery,1.50,pronking,trotting,score_progress,higher_better,0.805119,0.831471,-0.026352,-0.026352
push_lateral_pace_recovery,1.50,pronking,trotting,score_lateral_drift,higher_better,0.530996,0.472899,0.058098,0.058098
push_lateral_pace_recovery,1.50,pronking,trotting,score_energy,higher_better,0.528037,0.470902,0.057135,0.057135
push_lateral_pace_recovery,1.50,pronking,trotting,score_survival,higher_better,1.000000,1.000000,0.000000,0.000000
push_lateral_pace_recovery,1.80,pronking,trotting,neutral_score,higher_better,0.661526,0.658366,0.003160,0.003160
push_lateral_pace_recovery,1.80,pronking,trotting,weighted_metric_reward_mean,higher_better,0.725231,0.739571,-0.014340,-0.014340
push_lateral_pace_recovery,1.80,pronking,trotting,vx_abs_error_mean,lower_better,0.366365,0.302005,0.064361,-0.064361
push_lateral_pace_recovery,1.80,pronking,trotting,fall_rate,lower_better,0.024000,0.023000,0.001000,-0.001000
push_lateral_pace_recovery,1.80,pronking,trotting,lateral_offset_abs_mean,lower_better,1.275491,1.106905,0.168586,-0.168586
push_lateral_pace_recovery,1.80,pronking,trotting,scuffing_ratio_mean,lower_better,0.179167,0.164417,0.014750,-0.014750
push_lateral_pace_recovery,1.80,pronking,trotting,foot_impact_vel_sum_mean,lower_better,0.813031,0.889445,-0.076415,0.076415
push_lateral_pace_recovery,1.80,pronking,trotting,transport_cost_proxy,lower_better,186.419269,171.535868,14.883401,-14.883401
