candidate,task_id,condition,cmd_vx,rank,gait,score,soft_prob
balanced,flat_trot_efficiency,flat,0.5,1,pacing,0.7799751062623479,0.48668541781473457
balanced,flat_trot_efficiency,flat,0.5,2,pronking,0.7568854727189649,0.22541958856115216
balanced,flat_trot_efficiency,flat,0.5,3,trotting,0.7531922757964243,0.1993091106693821
balanced,flat_trot_efficiency,flat,0.5,4,bounding,0.7288657429204747,0.08858588295473124
balanced,flat_trot_efficiency,flat,1.0,1,pronking,0.7499054958874528,0.30514313546184985
balanced,flat_trot_efficiency,flat,1.0,2,trotting,0.7491427177055315,0.2974823881451007
balanced,flat_trot_efficiency,flat,1.0,3,pacing,0.7468750276348808,0.2758246546819338
balanced,flat_trot_efficiency,flat,1.0,4,bounding,0.7222917940128933,0.12154982171111568
balanced,flat_trot_efficiency,flat,1.5,1,trotting,0.7006026047874582,0.3726957295774666
balanced,flat_trot_efficiency,flat,1.5,2,pronking,0.6913120899010788,0.273438988119851
balanced,flat_trot_efficiency,flat,1.5,3,pacing,0.6848646703091535,0.22055884552381894
balanced,flat_trot_efficiency,flat,1.5,4,bounding,0.6697592497549274,0.13330643677886345
balanced,flat_trot_efficiency,flat,2.0,1,trotting,0.6435705955732952,0.4662103920888671
balanced,flat_trot_efficiency,flat,2.0,2,pronking,0.6202211636033925,0.2140741859807423
balanced,flat_trot_efficiency,flat,2.0,3,pacing,0.6183579662306742,0.2011832208396382
balanced,flat_trot_efficiency,flat,2.0,4,bounding,0.6024870249358091,0.11853220109075245
balanced,push_lateral_pace_recovery,push_lateral,1.2,1,trotting,0.7308314521881667,0.4029739686962128
balanced,push_lateral_pace_recovery,push_lateral,1.2,2,pronking,0.7148245604200797,0.23634885367668412
balanced,push_lateral_pace_recovery,push_lateral,1.2,3,pacing,0.7093530247834596,0.19694497714591896
balanced,push_lateral_pace_recovery,push_lateral,1.2,4,bounding,0.7038122582842004,0.16373220048118417
balanced,push_lateral_pace_recovery,push_lateral,1.5,1,trotting,0.7074962747367946,0.42023101118604644
balanced,push_lateral_pace_recovery,push_lateral,1.5,2,pronking,0.6957779834216291,0.28434687286195615
balanced,push_lateral_pace_recovery,push_lateral,1.5,3,pacing,0.6863782619888131,0.207861258029757
balanced,push_lateral_pace_recovery,push_lateral,1.5,4,bounding,0.6604421592571519,0.0875608579222404
balanced,push_lateral_pace_recovery,push_lateral,1.8,1,trotting,0.6680620679801161,0.4206136018202076
balanced,push_lateral_pace_recovery,push_lateral,1.8,2,pacing,0.6524374417283318,0.24985824243348753
balanced,push_lateral_pace_recovery,push_lateral,1.8,3,pronking,0.6480082111602481,0.21556289170771642
balanced,push_lateral_pace_recovery,push_lateral,1.8,4,bounding,0.6288874409415506,0.1139652640385884
balanced,ramp_up_trot_robustness,ramp_up,0.5,1,pacing,0.8037055309861898,0.4850610440564117
balanced,ramp_up_trot_robustness,ramp_up,0.5,2,pronking,0.7872158157215877,0.2799518352936792
balanced,ramp_up_trot_robustness,ramp_up,0.5,3,trotting,0.7742757706818256,0.1818682887507923
balanced,ramp_up_trot_robustness,ramp_up,0.5,4,bounding,0.7373532340269197,0.053118831899116974
balanced,ramp_up_trot_robustness,ramp_up,1.0,1,pacing,0.7577179885046049,0.3790064718716844
balanced,ramp_up_trot_robustness,ramp_up,1.0,2,pronking,0.7482999702068892,0.2768897293273821
balanced,ramp_up_trot_robustness,ramp_up,1.0,3,trotting,0.7415095519613136,0.22080325651546123
balanced,ramp_up_trot_robustness,ramp_up,1.0,4,bounding,0.7240301343189045,0.12330054228547221
balanced,ramp_up_trot_robustness,ramp_up,1.5,1,pronking,0.7034943423487924,0.3670148318162107
balanced,ramp_up_trot_robustness,ramp_up,1.5,2,pacing,0.6955809433351864,0.28191970427681473
balanced,ramp_up_trot_robustness,ramp_up,1.5,3,trotting,0.6945705639367753,0.2725829524679424
balanced,ramp_up_trot_robustness,ramp_up,1.5,4,bounding,0.6572185489941728,0.07848251143903212
balanced,ramp_up_trot_robustness,ramp_up,2.0,1,pronking,0.6192851957949725,0.426119504087498
balanced,ramp_up_trot_robustness,ramp_up,2.0,2,trotting,0.6117639740759677,0.33162753026359837
balanced,ramp_up_trot_robustness,ramp_up,2.0,3,pacing,0.5949621821669016,0.18941733681569387
balanced,ramp_up_trot_robustness,ramp_up,2.0,4,bounding,0.5566591733558611,0.05283562883320972
balanced,rough_slope_trot_robustness,rough_slope,0.5,1,pacing,0.7718490824442018,0.3564091436343387
balanced,rough_slope_trot_robustness,rough_slope,0.5,2,trotting,0.7653747764839367,0.28722593962718895
balanced,rough_slope_trot_robustness,rough_slope,0.5,3,pronking,0.764271472834728,0.27685457375365075
balanced,rough_slope_trot_robustness,rough_slope,0.5,4,bounding,0.726843315329064,0.07951034298482167
balanced,rough_slope_trot_robustness,rough_slope,1.0,1,pacing,0.7328512662513689,0.33809506628443997
balanced,rough_slope_trot_robustness,rough_slope,1.0,2,pronking,0.7262174945663322,0.27102237832041354
balanced,rough_slope_trot_robustness,rough_slope,1.0,3,trotting,0.7224576332352378,0.23909780239364312
balanced,rough_slope_trot_robustness,rough_slope,1.0,4,bounding,0.7088253552940759,0.15178475300150338
balanced,rough_slope_trot_robustness,rough_slope,1.5,1,pacing,0.6543628684499047,0.3525078606626309
balanced,rough_slope_trot_robustness,rough_slope,1.5,2,pronking,0.6479142709889195,0.28432548988836504
balanced,rough_slope_trot_robustness,rough_slope,1.5,3,trotting,0.640917170657353,0.22517615237375876
balanced,rough_slope_trot_robustness,rough_slope,1.5,4,bounding,0.6262262254276059,0.13799049707524527
balanced,rough_slope_trot_robustness,rough_slope,2.0,1,trotting,0.5527318146418442,0.517513492569807
balanced,rough_slope_trot_robustness,rough_slope,2.0,2,pacing,0.5407170427116481,0.34672889762097847
balanced,rough_slope_trot_robustness,rough_slope,2.0,3,bounding,0.49774283231659366,0.0827703180851125
balanced,rough_slope_trot_robustness,rough_slope,2.0,4,pronking,0.4843623099001971,0.052987291724102034
